cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Rio Branco,Aviário,casa,venda,2556.1,1954.0,3557.7,7,,setembro/2026
Rio Branco,Bosque,casa,venda,2296.7,1900.5,3292.9,15,,setembro/2026
Rio Branco,Conjunto Bela Vista,casa,venda,1492.5,1266.7,1723.1,5,,setembro/2026
Rio Branco,Conjunto Castelo Branco,casa,venda,1817.4,1586.9,2167.9,7,,setembro/2026
Rio Branco,Conjunto Guiomard Santos,casa,venda,1701.5,1504.9,2313.7,6,,setembro/2026
Rio Branco,Conjunto Universitário,casa,venda,2104.7,2070.8,2274.8,6,,setembro/2026
Rio Branco,Ecoville,casa,venda,8197.3,7899.3,8372.0,5,,setembro/2026
Rio Branco,Estação Experimental,casa,venda,3178.6,2754.2,4021.5,8,,setembro/2026
Rio Branco,Floresta Sul,casa,venda,3601.7,2707.9,5388.1,9,,setembro/2026
Rio Branco,Isaura Parente,casa,venda,2335.9,2195.4,2519.3,7,,setembro/2026
Rio Branco,Jardim Europa,casa,venda,3527.9,2540.0,5207.7,12,,setembro/2026
Rio Branco,Jardim Tropical,casa,venda,2434.8,1517.1,3025.0,7,,setembro/2026
Rio Branco,Loteamento Bonsucesso,casa,venda,4500.0,4444.4,4800.0,5,,setembro/2026
Rio Branco,Loteamento dos Engenheiros,casa,venda,2811.2,1545.3,3282.7,5,,setembro/2026
Rio Branco,Morada do Sol,casa,venda,2266.7,1880.3,3008.8,7,,setembro/2026
Rio Branco,Nova Esperança,casa,venda,2462.7,1752.9,3237.3,9,,setembro/2026
Rio Branco,Portal da Amazônia,casa,venda,4143.9,2638.9,5036.0,13,,setembro/2026
Rio Branco,Raimundo Melo,casa,venda,2000.0,1873.0,2240.4,7,,setembro/2026
Rio Branco,São Francisco,casa,venda,3846.2,2119.7,4441.9,7,,setembro/2026
Rio Branco,Floresta Sul,apartamento,venda,5665.0,5163.5,6137.7,6,8.77,setembro/2026
Rio Branco,Floresta Sul,apartamento,aluguel,41.4,34.1,49.5,6,8.77,setembro/2026
Rio Branco,Morada do Sol,apartamento,venda,5452.1,5251.2,5811.8,7,,setembro/2026
Rio Branco,Portal da Amazônia,apartamento,venda,5300.0,5140.8,7831.3,5,,setembro/2026
Rio Branco,Bosque,terreno,venda,946.2,796.4,1000.0,9,,setembro/2026
Rio Branco,Portal da Amazônia,terreno,venda,508.6,429.8,652.2,10,,setembro/2026
Rio Branco,Swiss Park,terreno,venda,777.8,726.7,800.0,5,,setembro/2026
Rio Branco,Bosque,sala,aluguel,50.0,34.2,58.3,9,,setembro/2026
Rio Branco,Centro,sala,aluguel,42.9,39.5,61.7,7,,setembro/2026
