cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Maceió,Antares,casa,venda,5000.0,3252.2,5930.9,68,7.32,setembro/2026
Maceió,Antares,casa,aluguel,30.5,26.7,34.8,11,7.32,setembro/2026
Maceió,Barro Duro,casa,venda,3556.7,3224.6,4140.4,24,6.95,setembro/2026
Maceió,Barro Duro,casa,aluguel,20.6,15.5,22.5,5,6.95,setembro/2026
Maceió,Benedito Bentes,casa,venda,2113.0,1784.6,3141.5,24,,setembro/2026
Maceió,Canaã,casa,venda,4110.8,2684.0,4713.2,6,,setembro/2026
Maceió,Centro,casa,venda,3529.4,2649.0,4109.6,13,,setembro/2026
Maceió,Cidade Universitária,casa,venda,2500.0,1708.3,3854.2,63,11.66,setembro/2026
Maceió,Cidade Universitária,casa,aluguel,24.3,19.1,27.1,10,11.66,setembro/2026
Maceió,Clima Bom,casa,venda,1596.8,1270.0,1783.7,14,,setembro/2026
Maceió,Cruz das Almas,casa,venda,5349.6,3833.3,6473.2,8,,setembro/2026
Maceió,Farol,casa,venda,3000.0,2090.7,3863.6,21,7.72,setembro/2026
Maceió,Farol,casa,aluguel,19.3,17.8,20.6,6,7.72,setembro/2026
Maceió,Feitosa,casa,venda,2954.5,2500.0,3750.0,25,,setembro/2026
Maceió,Garça Torta,casa,venda,8920.6,6250.0,12493.5,34,,setembro/2026
Maceió,Gruta de Lourdes,casa,venda,3403.1,2873.9,4488.9,42,,setembro/2026
Maceió,Guaxuma,casa,venda,7558.1,6993.4,8653.8,21,,setembro/2026
Maceió,Ipioca,casa,venda,3666.7,2272.7,4686.3,29,,setembro/2026
Maceió,Jacarecica,casa,venda,6380.8,4430.8,7283.7,12,,setembro/2026
Maceió,Jacintinho,casa,venda,2436.1,1882.2,2990.8,6,,setembro/2026
Maceió,Jardim Petrópolis,casa,venda,4445.5,3614.2,5211.2,66,8.31,setembro/2026
Maceió,Jardim Petrópolis,casa,aluguel,30.8,25.3,33.2,10,8.31,setembro/2026
Maceió,Jatiúca,casa,venda,5277.8,4372.5,9289.8,11,6.82,setembro/2026
Maceió,Jatiúca,casa,aluguel,30.0,27.9,44.6,8,6.82,setembro/2026
Maceió,Mangabeiras,casa,venda,5476.2,3927.2,6341.0,8,,setembro/2026
Maceió,Petrópolis,casa,venda,2154.2,1758.1,2565.7,6,,setembro/2026
Maceió,Pitanguinha,casa,venda,2761.9,2594.3,3344.3,7,,setembro/2026
