cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Manaus,Adrianópolis,apartamento,venda,9833.3,6669.0,11757.4,91,7.94,setembro/2026
Manaus,Adrianópolis,apartamento,aluguel,65.1,52.9,79.3,24,7.94,setembro/2026
Manaus,Aleixo,apartamento,venda,8547.0,7305.9,9941.5,53,8.16,setembro/2026
Manaus,Aleixo,apartamento,aluguel,58.1,47.2,64.2,12,8.16,setembro/2026
Manaus,Alvorada,apartamento,venda,6086.6,5608.6,6290.6,10,,setembro/2026
Manaus,Centro,apartamento,venda,4285.7,3000.0,5428.6,25,10.81,setembro/2026
Manaus,Centro,apartamento,aluguel,38.6,33.4,40.0,7,10.81,setembro/2026
Manaus,Chapada,apartamento,venda,5312.5,4409.7,7044.6,27,8.09,setembro/2026
Manaus,Chapada,apartamento,aluguel,35.8,34.2,43.2,8,8.09,setembro/2026
Manaus,Cidade Nova,apartamento,venda,5000.0,3571.4,5384.6,9,8.28,setembro/2026
Manaus,Cidade Nova,apartamento,aluguel,34.5,19.8,49.3,6,8.28,setembro/2026
Manaus,Colônia Santo Antônio,apartamento,venda,5190.1,4617.0,5507.4,8,,setembro/2026
Manaus,Colônia Terra Nova,apartamento,venda,4041.1,3421.1,4444.4,21,8.91,setembro/2026
Manaus,Colônia Terra Nova,apartamento,aluguel,30.0,26.7,34.9,9,8.91,setembro/2026
Manaus,Compensa,apartamento,venda,5000.0,3333.3,6129.0,9,,setembro/2026
Manaus,Coroado,apartamento,venda,5949.4,4767.2,7147.7,7,,setembro/2026
Manaus,Da Paz,apartamento,venda,5645.2,4033.3,6711.9,15,,setembro/2026
Manaus,Distrito Industrial I,apartamento,venda,4705.9,4285.7,5662.2,9,,setembro/2026
Manaus,Dom Pedro,apartamento,venda,7708.3,6943.1,9192.6,35,9.29,setembro/2026
Manaus,Dom Pedro,apartamento,aluguel,59.7,54.7,61.8,6,9.29,setembro/2026
Manaus,Dom Pedro I,apartamento,venda,7912.7,7057.5,9316.3,18,8.19,setembro/2026
Manaus,Dom Pedro I,apartamento,aluguel,54.0,49.4,61.0,8,8.19,setembro/2026
Manaus,Flores,apartamento,venda,6087.0,5035.5,6730.8,33,8.67,setembro/2026
Manaus,Flores,apartamento,aluguel,44.0,33.3,49.0,29,8.67,setembro/2026
Manaus,Gilberto Mestrinho,apartamento,venda,4777.8,4565.2,6363.6,5,,setembro/2026
Manaus,Japiim,apartamento,venda,4857.5,4155.0,6779.5,20,,setembro/2026
Manaus,Lago Azul,apartamento,venda,2901.4,2402.9,3943.4,46,,setembro/2026
