cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Camaçari,Abrantes,casa,venda,5677.4,2300.0,6295.0,23,,setembro/2026
Camaçari,Alphaville,casa,venda,6348.4,6087.8,7144.2,6,,setembro/2026
Camaçari,Alphaville (Abrantes),casa,venda,5980.0,4685.7,7241.4,37,9.21,setembro/2026
Camaçari,Alphaville (Abrantes),casa,aluguel,45.9,35.2,52.3,28,9.21,setembro/2026
Camaçari,Arembepe (Abrantes),casa,venda,5250.0,4108.3,5694.1,7,,setembro/2026
Camaçari,Barra do Jacuípe,casa,venda,3444.9,2339.7,4389.6,28,,setembro/2026
Camaçari,Barra do Jacuípe (Monte Gordo),casa,venda,2975.0,2044.9,5200.5,15,,setembro/2026
Camaçari,Boa União (Abrantes),casa,venda,3875.0,3489.6,5281.8,11,,setembro/2026
Camaçari,Busca Vida,casa,venda,8354.7,4603.4,11992.3,12,,setembro/2026
Camaçari,Busca Vida (Abrantes),casa,venda,4866.3,2909.1,9230.8,13,,setembro/2026
Camaçari,Catu de Abrantes,casa,venda,5161.5,4549.3,5811.4,12,,setembro/2026
Camaçari,Catu de Abrantes (Abrantes),casa,venda,5897.4,4557.7,8207.9,27,,setembro/2026
Camaçari,Guarajuba,casa,venda,9950.0,7063.9,11039.6,19,,setembro/2026
Camaçari,Guarajuba (Monte Gordo),casa,venda,8172.0,5495.9,10806.5,33,,setembro/2026
Camaçari,Interlagos (Abrantes),casa,venda,8333.3,4816.7,9871.8,7,,setembro/2026
Camaçari,Itacimirim,casa,venda,7657.9,3950.0,11816.7,18,,setembro/2026
Camaçari,Itacimirim (Monte Gordo),casa,venda,8673.5,6310.6,11071.4,45,,setembro/2026
Camaçari,Jardim Limoeiro,casa,venda,4266.4,3698.0,4676.3,10,,setembro/2026
Camaçari,Jauá,casa,venda,1807.2,1608.0,2140.5,10,,setembro/2026
Camaçari,Jauá (Abrantes),casa,venda,2975.3,2210.4,3890.3,8,,setembro/2026
Camaçari,Malícia (Abrantes),casa,venda,3125.0,2849.2,3576.9,5,,setembro/2026
Camaçari,Monte Gordo,casa,venda,3768.8,2500.0,9827.6,5,,setembro/2026
Camaçari,Nova Abrantes (Abrantes),casa,venda,3865.4,3266.0,4717.4,6,,setembro/2026
Camaçari,Vila de Abrantes (Abrantes),casa,venda,5131.0,4571.4,6184.0,25,,setembro/2026
Camaçari,Abrantes,apartamento,venda,4283.5,4071.4,5377.2,16,,setembro/2026
Camaçari,Alphaville (Abrantes),apartamento,venda,5000.0,4206.3,5340.9,9,,setembro/2026
Camaçari,Boa União (Abrantes),apartamento,venda,3888.9,3466.7,4500.0,9,,setembro/2026
Camaçari,Cajazeiras de Abrantes (Abrantes),apartamento,venda,3575.0,3547.6,4000.0,5,,setembro/2026
Camaçari,Catu de Abrantes (Abrantes),apartamento,venda,7853.9,3928.6,8475.6,13,,setembro/2026
Camaçari,Guarajuba,apartamento,venda,9846.2,9226.2,11412.7,11,,setembro/2026
Camaçari,Guarajuba (Monte Gordo),apartamento,venda,10744.0,8750.0,11888.5,16,,setembro/2026
Camaçari,Itacimirim,apartamento,venda,10833.3,8919.0,14512.2,33,,setembro/2026
Camaçari,Itacimirim (Monte Gordo),apartamento,venda,11072.3,8386.5,13737.7,60,,setembro/2026
Camaçari,Vila de Abrantes (Abrantes),apartamento,venda,7722.2,5379.0,9658.3,11,,setembro/2026
Camaçari,Abrantes,terreno,venda,584.6,335.2,964.3,8,,setembro/2026
Camaçari,Alphaville (Abrantes),terreno,venda,1082.5,989.9,1217.7,6,,setembro/2026
Camaçari,Alphaville Litoral Norte I,terreno,venda,1478.7,1349.2,1540.4,28,,setembro/2026
Camaçari,Arembepe (Abrantes),terreno,venda,220.0,220.0,250.0,5,,setembro/2026
Camaçari,Busca Vida,terreno,venda,790.0,643.8,850.0,5,,setembro/2026
Camaçari,Guarajuba (Monte Gordo),terreno,venda,1210.4,534.7,1604.2,8,,setembro/2026
Camaçari,Itacimirim (Monte Gordo),terreno,venda,810.0,603.6,1235.6,8,,setembro/2026
Camaçari,Vila de Abrantes (Abrantes),terreno,venda,1100.0,653.6,1274.5,5,,setembro/2026
