cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Salvador,Acupe,apartamento,venda,4722.2,3750.0,7285.7,17,,setembro/2026
Salvador,Acupe de Brotas,apartamento,venda,5000.0,3668.5,7727.8,79,,setembro/2026
Salvador,Águas Claras,apartamento,venda,3039.2,2738.1,3469.4,17,,setembro/2026
Salvador,Alphaville,apartamento,venda,10980.4,9664.4,12500.0,5,,setembro/2026
Salvador,Alphaville I,apartamento,venda,12831.9,11304.3,15270.9,109,6.65,setembro/2026
Salvador,Alphaville I,apartamento,aluguel,71.1,62.8,84.7,68,6.65,setembro/2026
Salvador,Alphaville II,apartamento,venda,8672.6,6241.5,12092.4,11,,setembro/2026
Salvador,Alto do Coqueirinho,apartamento,venda,4318.2,3714.3,4750.0,9,,setembro/2026
Salvador,Amaralina,apartamento,venda,6666.7,4533.3,12325.0,71,12.62,setembro/2026
Salvador,Amaralina,apartamento,aluguel,70.1,40.1,105.6,35,12.62,setembro/2026
Salvador,Aquárius,apartamento,venda,9990.0,8243.5,11968.6,75,7.3,setembro/2026
Salvador,Aquárius,apartamento,aluguel,60.8,58.5,65.8,13,7.3,setembro/2026
Salvador,Areia Branca,apartamento,venda,3227.5,2378.0,4031.2,48,,setembro/2026
Salvador,Arraial do Retiro,apartamento,venda,4166.7,2822.6,6190.5,9,,setembro/2026
Salvador,Barbalho,apartamento,venda,4473.7,3594.1,6250.0,41,,setembro/2026
Salvador,Barra,apartamento,venda,12943.3,6792.3,18045.5,292,7.31,setembro/2026
Salvador,Barra,apartamento,aluguel,78.9,53.8,105.1,155,7.31,setembro/2026
Salvador,Barreiras,apartamento,venda,2760.5,2563.8,3521.7,6,9.65,setembro/2026
Salvador,Barreiras,apartamento,aluguel,22.2,18.4,24.1,5,9.65,setembro/2026
Salvador,Barris,apartamento,venda,3444.4,3137.3,4210.5,17,,setembro/2026
Salvador,Boa Viagem,apartamento,venda,4333.3,3500.0,5416.7,6,,setembro/2026
Salvador,Boca da Mata,apartamento,venda,4303.8,3777.8,5128.2,17,,setembro/2026
Salvador,Boca do Rio,apartamento,venda,7222.2,5384.6,8923.1,65,6.91,setembro/2026
Salvador,Boca do Rio,apartamento,aluguel,41.6,29.3,58.7,22,6.91,setembro/2026
Salvador,Bonfim,apartamento,venda,3373.8,2453.5,4309.3,38,11.81,setembro/2026
Salvador,Bonfim,apartamento,aluguel,33.2,14.1,37.9,10,11.81,setembro/2026
Salvador,Brotas,apartamento,venda,5128.2,3727.4,7812.4,139,8.19,setembro/2026
Salvador,Brotas,apartamento,aluguel,35.0,24.5,53.0,35,8.19,setembro/2026
Salvador,Cabula,apartamento,venda,6853.1,4038.5,7916.7,77,7.67,setembro/2026
Salvador,Cabula,apartamento,aluguel,43.8,31.8,54.0,18,7.67,setembro/2026
Salvador,Cabula VI,apartamento,venda,3020.8,2649.0,3611.1,19,,setembro/2026
Salvador,Caixa Dágua,apartamento,venda,2391.3,2116.7,2666.7,9,,setembro/2026
Salvador,Cajazeiras,apartamento,venda,3000.0,1975.0,3804.3,33,,setembro/2026
Salvador,Cajazeiras XI,apartamento,venda,3333.3,1900.2,3667.5,11,,setembro/2026
Salvador,Caminho das Árvores,apartamento,venda,10980.8,8246.1,13152.3,282,7.84,setembro/2026
Salvador,Caminho das Árvores,apartamento,aluguel,71.7,55.2,92.2,164,7.84,setembro/2026
Salvador,Caminho de Areia,apartamento,venda,2926.8,2530.1,3500.0,21,,setembro/2026
Salvador,Campinas de Brotas,apartamento,venda,4285.7,3587.0,6607.1,21,,setembro/2026
Salvador,Campinas de Pirajá,apartamento,venda,6486.5,5777.8,6888.9,9,,setembro/2026
Salvador,Campo Grande,apartamento,venda,5386.9,4468.7,6845.7,94,10.4,setembro/2026
Salvador,Campo Grande,apartamento,aluguel,46.7,34.8,69.6,6,10.4,setembro/2026
Salvador,Canabrava,apartamento,venda,2877.8,2577.6,3664.0,50,17.18,setembro/2026
Salvador,Canabrava,apartamento,aluguel,41.2,24.0,48.9,10,17.18,setembro/2026
Salvador,Candeal,apartamento,venda,7352.9,5042.4,9538.0,147,7.31,setembro/2026
Salvador,Candeal,apartamento,aluguel,44.8,33.1,50.0,33,7.31,setembro/2026
Salvador,Canela,apartamento,venda,5600.0,3956.2,8674.6,108,9.19,setembro/2026
Salvador,Canela,apartamento,aluguel,42.9,32.2,57.5,21,9.19,setembro/2026
Salvador,Cassange,apartamento,venda,5000.0,4400.0,5365.9,17,,setembro/2026
Salvador,Castelo Branco,apartamento,venda,6666.7,5431.0,7000.0,17,,setembro/2026
Salvador,Centro,apartamento,venda,4839.8,4065.8,6557.5,48,7.84,setembro/2026
Salvador,Centro,apartamento,aluguel,31.6,25.6,38.0,16,7.84,setembro/2026
Salvador,Centro Administrativo da Bahia,apartamento,venda,11477.3,11089.3,11987.0,6,,setembro/2026
Salvador,Chame-Chame,apartamento,venda,5321.3,4140.7,7131.4,64,,setembro/2026
Salvador,Cidade Jardim,apartamento,venda,8490.6,7058.8,10052.7,105,7.04,setembro/2026
Salvador,Cidade Jardim,apartamento,aluguel,49.8,43.6,56.4,14,7.04,setembro/2026
Salvador,Cidade Nova,apartamento,venda,2538.5,1689.2,2567.6,5,12.15,setembro/2026
Salvador,Cidade Nova,apartamento,aluguel,25.7,24.4,25.8,5,12.15,setembro/2026
Salvador,Comércio,apartamento,venda,14545.5,8165.3,22333.3,15,7.5,setembro/2026
Salvador,Comércio,apartamento,aluguel,90.9,70.7,105.1,15,7.5,setembro/2026
Salvador,Corredor da Vitória,apartamento,venda,15714.3,11180.6,20625.0,27,,setembro/2026
Salvador,Cosme de Farias,apartamento,venda,4200.0,3333.3,4666.7,13,,setembro/2026
Salvador,Costa Azul,apartamento,venda,6050.3,4638.6,8346.6,216,8.09,setembro/2026
Salvador,Costa Azul,apartamento,aluguel,40.8,31.5,62.5,58,8.09,setembro/2026
Salvador,Daniel Lisboa,apartamento,venda,4864.9,3505.3,5309.6,31,,setembro/2026
Salvador,Dois de Julho,apartamento,venda,4745.2,3164.5,14836.6,72,18.69,setembro/2026
Salvador,Dois de Julho,apartamento,aluguel,73.9,37.3,96.2,24,18.69,setembro/2026
Salvador,Dom Avelar,apartamento,venda,6321.8,5225.0,7194.6,12,,setembro/2026
Salvador,Doron,apartamento,venda,6400.0,3590.1,10107.1,14,,setembro/2026
Salvador,Engenho Velho da Federação,apartamento,venda,9228.8,5165.7,13875.0,22,,setembro/2026
Salvador,Engenho Velho de Brotas,apartamento,venda,3375.0,2979.4,4083.3,35,,setembro/2026
Salvador,Fazenda Grande do Retiro,apartamento,venda,4095.1,2225.0,6316.2,10,,setembro/2026
Salvador,Fazenda Grande I,apartamento,venda,2608.7,2142.9,3863.6,5,,setembro/2026
Salvador,Fazenda Grande II,apartamento,venda,1632.7,1272.7,4750.0,5,,setembro/2026
Salvador,Federação,apartamento,venda,7973.0,5052.6,12000.0,113,7.56,setembro/2026
Salvador,Federação,apartamento,aluguel,50.2,40.5,70.8,42,7.56,setembro/2026
Salvador,Garcia,apartamento,venda,5147.4,3875.8,6126.3,82,7.67,setembro/2026
Salvador,Garcia,apartamento,aluguel,32.9,29.2,35.6,11,7.67,setembro/2026
Salvador,Garibaldi,apartamento,venda,10799.6,9836.1,12642.0,6,,setembro/2026
Salvador,Graça,apartamento,venda,7625.0,5184.7,11834.9,279,8.99,setembro/2026
Salvador,Graça,apartamento,aluguel,57.1,36.7,89.2,77,8.99,setembro/2026
Salvador,Granjas Rurais Presidente Vargas,apartamento,venda,4250.0,3500.0,4523.8,17,,setembro/2026
Salvador,Horto Bela Vista,apartamento,venda,8278.3,7254.0,9156.3,42,6.18,setembro/2026
Salvador,Horto Bela Vista,apartamento,aluguel,42.6,39.6,51.1,9,6.18,setembro/2026
Salvador,Horto Florestal,apartamento,venda,13112.6,10238.1,15892.6,279,7.32,setembro/2026
Salvador,Horto Florestal,apartamento,aluguel,80.0,65.0,95.5,73,7.32,setembro/2026
Salvador,Iapi,apartamento,venda,3000.0,2386.1,4443.8,39,13.32,setembro/2026
Salvador,Iapi,apartamento,aluguel,33.3,15.7,40.0,5,13.32,setembro/2026
Salvador,Ilha Amarela,apartamento,venda,5603.1,3040.8,8133.2,6,,setembro/2026
Salvador,Imbuí,apartamento,venda,7272.7,5560.9,8782.3,127,9.09,setembro/2026
Salvador,Imbuí,apartamento,aluguel,55.1,43.6,61.9,63,9.09,setembro/2026
Salvador,Itaigara,apartamento,venda,8287.3,6450.2,11356.1,142,7.4,setembro/2026
Salvador,Itaigara,apartamento,aluguel,51.1,43.4,66.6,38,7.4,setembro/2026
Salvador,Itapuã,apartamento,venda,7241.4,5152.2,10744.4,103,7.54,setembro/2026
Salvador,Itapuã,apartamento,aluguel,45.5,36.4,75.9,61,7.54,setembro/2026
Salvador,Jaguaribe,apartamento,venda,13815.8,11107.6,16667.7,111,7.54,setembro/2026
Salvador,Jaguaribe,apartamento,aluguel,86.8,70.8,104.6,51,7.54,setembro/2026
Salvador,Jardim Apipema,apartamento,venda,6089.7,4845.4,8382.6,149,8.97,setembro/2026
Salvador,Jardim Apipema,apartamento,aluguel,45.5,37.5,56.0,17,8.97,setembro/2026
