cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Balneário Camboriú,Ariribá,apartamento,venda,15097.2,12015.9,18475.9,24,4.37,setembro/2026
Balneário Camboriú,Ariribá,apartamento,aluguel,55.0,48.0,64.8,17,4.37,setembro/2026
Balneário Camboriú,Bairro das Nações,apartamento,venda,13735.9,12108.3,15667.4,10,,setembro/2026
Balneário Camboriú,Barra,apartamento,venda,11588.6,10149.3,16342.4,14,,setembro/2026
Balneário Camboriú,Barra Norte,apartamento,venda,20863.3,16837.7,24229.0,51,4.3,setembro/2026
Balneário Camboriú,Barra Norte,apartamento,aluguel,74.8,63.6,100.6,20,4.3,setembro/2026
Balneário Camboriú,Barra Sul,apartamento,venda,19916.1,14514.3,25324.9,87,4.61,setembro/2026
Balneário Camboriú,Barra Sul,apartamento,aluguel,76.5,52.6,101.2,81,4.61,setembro/2026
Balneário Camboriú,Centro,apartamento,venda,18166.7,13323.2,22608.5,763,3.6,setembro/2026
Balneário Camboriú,Centro,apartamento,aluguel,54.5,37.4,77.9,852,3.6,setembro/2026
Balneário Camboriú,Estados,apartamento,venda,16825.4,13064.5,19139.8,33,4.07,setembro/2026
Balneário Camboriú,Estados,apartamento,aluguel,57.1,42.9,75.0,5,4.07,setembro/2026
Balneário Camboriú,Frente do Mar,apartamento,aluguel,79.3,63.3,99.5,7,,setembro/2026
Balneário Camboriú,Jardim Iate Clube,apartamento,venda,13058.4,10827.5,14577.1,7,,setembro/2026
Balneário Camboriú,Municípios,apartamento,venda,11104.2,8892.7,13663.0,32,7.21,setembro/2026
Balneário Camboriú,Municípios,apartamento,aluguel,66.7,59.2,76.0,9,7.21,setembro/2026
Balneário Camboriú,Nações,apartamento,venda,14821.2,12154.6,17165.4,55,4.86,setembro/2026
Balneário Camboriú,Nações,apartamento,aluguel,60.0,50.0,76.5,39,4.86,setembro/2026
Balneário Camboriú,Nova Esperança,apartamento,venda,8648.6,7528.3,10064.9,19,6.66,setembro/2026
Balneário Camboriú,Nova Esperança,apartamento,aluguel,48.0,41.4,56.5,9,6.66,setembro/2026
Balneário Camboriú,Pioneiros,apartamento,venda,18699.2,14776.1,22060.7,199,4.6,setembro/2026
Balneário Camboriú,Pioneiros,apartamento,aluguel,71.7,55.4,87.4,156,4.6,setembro/2026
Balneário Camboriú,Praia Brava,apartamento,venda,13644.2,12451.2,14703.0,8,,setembro/2026
Balneário Camboriú,Praia do Estaleiro,apartamento,venda,17417.4,15770.8,23087.2,9,,setembro/2026
Balneário Camboriú,Praia dos Amores,apartamento,venda,16875.0,13489.4,19449.3,59,5.17,setembro/2026
Balneário Camboriú,Praia dos Amores,apartamento,aluguel,72.7,59.3,84.8,34,5.17,setembro/2026
