cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Barra Velha,Beira Mar,apartamento,venda,14111.8,12878.1,14462.3,8,,setembro/2026
Barra Velha,Centro,apartamento,venda,9457.2,7375.0,11469.2,134,5.08,setembro/2026
Barra Velha,Centro,apartamento,aluguel,40.0,33.3,45.0,9,5.08,setembro/2026
Barra Velha,Itajubá,apartamento,venda,8803.6,6467.9,11349.6,231,5.41,setembro/2026
Barra Velha,Itajubá,apartamento,aluguel,39.7,33.3,43.5,72,5.41,setembro/2026
Barra Velha,Itajubá II,apartamento,venda,10806.2,8948.7,15111.9,15,,setembro/2026
Barra Velha,Itingá I,apartamento,venda,6689.1,6228.1,7257.4,5,,setembro/2026
Barra Velha,Jardim Icaraí,apartamento,venda,6063.3,5571.4,6818.2,13,,setembro/2026
Barra Velha,Los Angeles,apartamento,venda,6153.8,5515.7,7911.3,7,,setembro/2026
Barra Velha,Nova,apartamento,venda,5974.7,5332.0,6501.6,11,,setembro/2026
Barra Velha,Quinta dos Açorianos,apartamento,venda,6053.2,5755.2,7744.1,8,,setembro/2026
Barra Velha,São Cristóvão,apartamento,venda,6485.1,5419.0,7076.6,35,7.12,setembro/2026
Barra Velha,São Cristóvão,apartamento,aluguel,38.5,36.6,40.9,6,7.12,setembro/2026
Barra Velha,Tabuleiro,apartamento,venda,12240.2,10284.0,14987.8,254,,setembro/2026
Barra Velha,Vila Nova,apartamento,venda,5768.7,5623.1,6059.6,6,,setembro/2026
Barra Velha,Centro,casa,venda,5609.6,4220.8,7574.4,164,,setembro/2026
Barra Velha,Icaraí,casa,venda,4431.8,3866.7,6343.3,13,,setembro/2026
Barra Velha,Itajubá,casa,venda,5597.6,3804.8,7015.8,467,6.0,setembro/2026
Barra Velha,Itajubá,casa,aluguel,28.0,20.6,37.0,31,6.0,setembro/2026
Barra Velha,Jardim Icaraí,casa,venda,6431.8,4764.0,8426.5,31,,setembro/2026
Barra Velha,Jardim Los Angeles,casa,venda,5541.0,4058.9,6003.0,16,,setembro/2026
Barra Velha,Lagoa,casa,venda,5944.4,3605.6,6089.4,5,,setembro/2026
Barra Velha,Los Angeles,casa,venda,5454.5,3863.6,6326.4,17,,setembro/2026
Barra Velha,Nova,casa,venda,6486.5,5929.0,7232.6,31,,setembro/2026
Barra Velha,Quinta dos Açorianos,casa,venda,4782.6,2834.9,6224.4,181,9.03,setembro/2026
Barra Velha,Quinta dos Açorianos,casa,aluguel,36.0,20.3,44.3,8,9.03,setembro/2026
Barra Velha,São Cristóvão,casa,venda,5153.6,3773.0,6060.5,94,,setembro/2026
Barra Velha,Tabuleiro,casa,venda,7067.1,4883.7,9009.9,56,,setembro/2026
Barra Velha,Vila Nova,casa,venda,5172.4,3293.8,6424.7,115,,setembro/2026
Barra Velha,Vila Paraguai,casa,venda,4750.0,4504.5,5000.0,5,,setembro/2026
Barra Velha,Centro,terreno,venda,1206.8,867.5,1965.3,38,,setembro/2026
Barra Velha,Itajubá,terreno,venda,894.5,687.4,1243.0,116,,setembro/2026
Barra Velha,Medeiros,terreno,venda,369.1,289.4,566.3,13,,setembro/2026
Barra Velha,Nova,terreno,venda,1000.0,870.5,1071.4,9,,setembro/2026
Barra Velha,Quinta dos Açorianos,terreno,venda,714.6,583.1,1001.7,24,,setembro/2026
Barra Velha,São Cristóvão,terreno,venda,679.1,475.6,912.8,28,,setembro/2026
Barra Velha,Sertãozinho,terreno,venda,312.5,300.0,931.5,9,,setembro/2026
Barra Velha,Tabuleiro,terreno,venda,752.0,531.0,4610.0,10,,setembro/2026
Barra Velha,Vila Nova,terreno,venda,862.1,684.2,1033.3,21,,setembro/2026
Barra Velha,Centro,sala,aluguel,47.2,37.3,54.5,6,,setembro/2026
Barra Velha,Itajubá,sala,aluguel,54.9,47.3,59.8,18,,setembro/2026
Barra Velha,Itajubá,galpao,aluguel,22.8,18.1,25.7,14,,setembro/2026
