cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Blumenau,Água Verde,apartamento,venda,6820.9,5108.5,8111.1,106,5.98,setembro/2026
Blumenau,Água Verde,apartamento,aluguel,34.0,27.3,40.5,89,5.98,setembro/2026
Blumenau,Badenfurt,apartamento,venda,5667.4,5024.0,6543.2,26,6.56,setembro/2026
Blumenau,Badenfurt,apartamento,aluguel,31.0,26.1,35.5,22,6.56,setembro/2026
Blumenau,Boa Vista,apartamento,venda,6980.4,6130.3,9440.5,19,6.17,setembro/2026
Blumenau,Boa Vista,apartamento,aluguel,35.9,30.6,46.7,22,6.17,setembro/2026
Blumenau,Bom Retiro,apartamento,venda,9751.3,6123.9,12199.1,26,5.13,setembro/2026
Blumenau,Bom Retiro,apartamento,aluguel,41.7,28.6,52.5,14,5.13,setembro/2026
Blumenau,Centro,apartamento,venda,10315.8,6926.0,12871.0,163,5.61,setembro/2026
Blumenau,Centro,apartamento,aluguel,48.2,35.9,66.4,135,5.61,setembro/2026
Blumenau,Escola Agrícola,apartamento,venda,7467.9,6478.6,8336.8,118,5.09,setembro/2026
Blumenau,Escola Agrícola,apartamento,aluguel,31.7,26.7,41.2,81,5.09,setembro/2026
Blumenau,Fidélis,apartamento,venda,6250.9,5102.0,6680.0,10,,setembro/2026
Blumenau,Fortaleza,apartamento,venda,6932.8,5705.3,7864.0,86,5.85,setembro/2026
Blumenau,Fortaleza,apartamento,aluguel,33.8,29.4,41.1,62,5.85,setembro/2026
Blumenau,Fortaleza Alta,apartamento,venda,6666.7,5833.3,7075.5,17,5.24,setembro/2026
Blumenau,Fortaleza Alta,apartamento,aluguel,29.1,24.0,34.2,81,5.24,setembro/2026
Blumenau,Garcia,apartamento,venda,6035.7,5054.7,7465.7,80,5.71,setembro/2026
Blumenau,Garcia,apartamento,aluguel,28.7,22.2,38.0,56,5.71,setembro/2026
Blumenau,Itoupava Central,apartamento,venda,6204.4,5240.5,7453.0,92,5.09,setembro/2026
Blumenau,Itoupava Central,apartamento,aluguel,26.3,21.9,33.0,68,5.09,setembro/2026
Blumenau,Itoupava Norte,apartamento,venda,7311.8,6083.9,8163.5,99,5.4,setembro/2026
Blumenau,Itoupava Norte,apartamento,aluguel,32.9,26.1,37.9,37,5.4,setembro/2026
Blumenau,Itoupava Seca,apartamento,venda,9352.9,7500.0,11114.0,195,5.41,setembro/2026
Blumenau,Itoupava Seca,apartamento,aluguel,42.2,32.9,53.4,130,5.41,setembro/2026
Blumenau,Itoupavazinha,apartamento,venda,5192.4,4573.6,5783.3,32,6.22,setembro/2026
Blumenau,Itoupavazinha,apartamento,aluguel,26.9,21.7,30.6,20,6.22,setembro/2026
Blumenau,Jardim Blumenau,apartamento,venda,10021.8,7868.2,12726.4,219,3.84,setembro/2026
Blumenau,Jardim Blumenau,apartamento,aluguel,32.1,27.8,45.6,57,3.84,setembro/2026
Blumenau,Nova Esperança,apartamento,venda,5660.4,5556.3,6048.6,7,6.0,setembro/2026
Blumenau,Nova Esperança,apartamento,aluguel,28.3,26.9,38.6,5,6.0,setembro/2026
Blumenau,Passo Manso,apartamento,venda,5223.9,4903.7,6045.5,29,7.28,setembro/2026
Blumenau,Passo Manso,apartamento,aluguel,31.7,27.8,37.5,23,7.28,setembro/2026
Blumenau,Ponta Aguda,apartamento,venda,8461.4,6171.3,11214.0,136,5.3,setembro/2026
Blumenau,Ponta Aguda,apartamento,aluguel,37.4,27.5,48.5,62,5.3,setembro/2026
Blumenau,Progresso,apartamento,aluguel,22.6,17.7,25.8,14,,setembro/2026
Blumenau,Ribeirão Fresco,apartamento,venda,5968.9,5067.5,6689.7,14,7.54,setembro/2026
Blumenau,Ribeirão Fresco,apartamento,aluguel,37.5,32.0,45.0,13,7.54,setembro/2026
Blumenau,Salto,apartamento,venda,7109.6,6111.1,7953.4,17,5.92,setembro/2026
Blumenau,Salto,apartamento,aluguel,35.1,26.8,48.6,9,5.92,setembro/2026
Blumenau,Salto do Norte,apartamento,venda,5724.5,5193.3,6451.7,38,6.98,setembro/2026
Blumenau,Salto do Norte,apartamento,aluguel,33.3,27.9,40.0,35,6.98,setembro/2026
Blumenau,Salto Weissbach,apartamento,venda,5333.3,5064.9,6443.3,29,6.17,setembro/2026
Blumenau,Salto Weissbach,apartamento,aluguel,27.4,20.3,30.9,5,6.17,setembro/2026
Blumenau,Tribess,apartamento,venda,6221.9,5711.0,7226.6,18,6.19,setembro/2026
Blumenau,Tribess,apartamento,aluguel,32.1,29.9,36.7,11,6.19,setembro/2026
Blumenau,Valparaíso,apartamento,venda,3722.0,3079.0,4451.7,6,,setembro/2026
Blumenau,Velha,apartamento,venda,8338.1,6432.6,10547.1,328,6.29,setembro/2026
Blumenau,Velha,apartamento,aluguel,43.7,31.3,56.6,231,6.29,setembro/2026
Blumenau,Velha Central,apartamento,venda,5004.1,4081.3,6334.4,34,7.72,setembro/2026
Blumenau,Velha Central,apartamento,aluguel,32.2,27.6,44.9,28,7.72,setembro/2026
Blumenau,Victor Konder,apartamento,venda,9016.4,7392.9,11978.3,251,5.06,setembro/2026
Blumenau,Victor Konder,apartamento,aluguel,38.0,29.0,48.4,147,5.06,setembro/2026
Blumenau,Vila Formosa,apartamento,venda,7787.6,5921.0,10000.0,37,4.27,setembro/2026
Blumenau,Vila Formosa,apartamento,aluguel,27.7,21.0,34.5,16,4.27,setembro/2026
Blumenau,Vila Nova,apartamento,venda,8090.9,6666.7,10205.5,265,5.46,setembro/2026
Blumenau,Vila Nova,apartamento,aluguel,36.8,30.0,47.5,213,5.46,setembro/2026
Blumenau,Vorstadt,apartamento,venda,8496.8,6899.1,9267.8,46,5.88,setembro/2026
Blumenau,Vorstadt,apartamento,aluguel,41.6,36.1,53.2,14,5.88,setembro/2026
Blumenau,Água Verde,casa,venda,4957.3,3785.4,5892.6,219,7.17,setembro/2026
Blumenau,Água Verde,casa,aluguel,29.6,22.7,36.9,26,7.17,setembro/2026
Blumenau,Asilo,casa,venda,6714.3,4450.7,8226.0,8,,setembro/2026
Blumenau,Badenfurt,casa,venda,4301.4,3501.5,5044.5,59,6.17,setembro/2026
Blumenau,Badenfurt,casa,aluguel,22.1,14.4,29.1,16,6.17,setembro/2026
Blumenau,Boa Vista,casa,venda,5555.6,4251.5,8229.4,19,,setembro/2026
Blumenau,Bom Retiro,casa,aluguel,25.6,22.9,45.4,7,,setembro/2026
Blumenau,Centro,casa,venda,5317.2,4738.4,6977.1,48,6.5,setembro/2026
Blumenau,Centro,casa,aluguel,28.8,20.1,35.7,26,6.5,setembro/2026
Blumenau,Escola Agrícola,casa,venda,5356.9,4603.4,6871.1,242,6.74,setembro/2026
Blumenau,Escola Agrícola,casa,aluguel,30.1,21.3,41.6,18,6.74,setembro/2026
Blumenau,Fidélis,casa,venda,4623.5,3127.3,5666.6,28,6.75,setembro/2026
Blumenau,Fidélis,casa,aluguel,26.0,22.4,30.6,8,6.75,setembro/2026
Blumenau,Fortaleza,casa,venda,4964.3,3853.6,5830.6,138,6.48,setembro/2026
Blumenau,Fortaleza,casa,aluguel,26.8,20.0,34.8,12,6.48,setembro/2026
Blumenau,Fortaleza Alta,casa,venda,5318.2,4401.2,6021.2,56,4.96,setembro/2026
Blumenau,Fortaleza Alta,casa,aluguel,22.0,18.8,29.2,13,4.96,setembro/2026
Blumenau,Garcia,casa,venda,4583.3,2950.4,6406.1,119,7.46,setembro/2026
Blumenau,Garcia,casa,aluguel,28.5,24.1,35.3,24,7.46,setembro/2026
Blumenau,Glória,casa,venda,2914.6,2135.7,3512.2,13,,setembro/2026
Blumenau,Itoupava Central,casa,venda,5284.7,3761.0,6818.5,280,6.13,setembro/2026
Blumenau,Itoupava Central,casa,aluguel,27.0,22.0,34.6,57,6.13,setembro/2026
