cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Brusque,Águas Claras,apartamento,venda,5428.0,4876.8,5894.8,19,,setembro/2026
Brusque,Azambuja,apartamento,venda,6473.2,5613.0,7476.2,48,,setembro/2026
Brusque,Cedrinho,apartamento,venda,5152.4,4617.1,6436.6,11,,setembro/2026
Brusque,Centro,apartamento,venda,9328.1,6958.6,11779.8,172,4.55,setembro/2026
Brusque,Centro,apartamento,aluguel,35.4,29.5,44.2,22,4.55,setembro/2026
Brusque,Centro I,apartamento,venda,8409.2,6112.2,11332.3,342,4.57,setembro/2026
Brusque,Centro I,apartamento,aluguel,32.0,28.2,43.0,26,4.57,setembro/2026
Brusque,Centro II,apartamento,venda,8712.6,5609.0,10957.1,55,7.38,setembro/2026
Brusque,Centro II,apartamento,aluguel,53.6,44.6,60.7,18,7.38,setembro/2026
Brusque,Cerâmica Reis,apartamento,venda,4918.0,4785.7,5454.5,5,,setembro/2026
Brusque,Dom Joaquim,apartamento,venda,5384.6,4981.5,5942.3,37,,setembro/2026
Brusque,Guarani,apartamento,venda,7384.6,6439.1,8866.2,103,5.96,setembro/2026
Brusque,Guarani,apartamento,aluguel,36.7,29.5,39.4,15,5.96,setembro/2026
Brusque,Jardim Maluche,apartamento,venda,5500.0,3856.5,7092.6,31,6.31,setembro/2026
Brusque,Jardim Maluche,apartamento,aluguel,28.9,22.6,43.1,8,6.31,setembro/2026
Brusque,Limeira,apartamento,venda,5438.6,5390.4,6581.7,5,6.99,setembro/2026
Brusque,Limeira,apartamento,aluguel,31.7,29.4,35.4,5,6.99,setembro/2026
Brusque,Limeira Baixa,apartamento,venda,5438.6,4848.5,6118.1,27,6.18,setembro/2026
Brusque,Limeira Baixa,apartamento,aluguel,28.0,26.4,29.5,9,6.18,setembro/2026
Brusque,Limoeiro,apartamento,venda,6955.9,6095.3,7646.5,24,5.38,setembro/2026
Brusque,Limoeiro,apartamento,aluguel,31.2,28.9,40.6,11,5.38,setembro/2026
Brusque,Nova Brasília,apartamento,venda,6709.1,5696.5,8090.1,35,9.71,setembro/2026
Brusque,Nova Brasília,apartamento,aluguel,54.3,50.0,59.3,13,9.71,setembro/2026
Brusque,Paquetá,apartamento,venda,5557.5,5169.9,6213.9,18,,setembro/2026
Brusque,Poço Fundo,apartamento,venda,4848.5,4102.6,5227.3,9,,setembro/2026
Brusque,Primeiro de Maio,apartamento,venda,6377.4,5702.4,7431.4,15,,setembro/2026
Brusque,Rio Branco,apartamento,venda,5873.2,4947.3,6934.1,66,7.48,setembro/2026
Brusque,Rio Branco,apartamento,aluguel,36.6,35.1,41.3,5,7.48,setembro/2026
Brusque,Santa Rita,apartamento,venda,8405.9,6666.7,9600.2,115,4.83,setembro/2026
Brusque,Santa Rita,apartamento,aluguel,33.8,30.0,40.0,25,4.83,setembro/2026
Brusque,Santa Terezinha,apartamento,venda,8192.8,6340.2,9712.7,145,8.14,setembro/2026
Brusque,Santa Terezinha,apartamento,aluguel,55.6,39.6,65.0,45,8.14,setembro/2026
Brusque,São Luiz,apartamento,venda,8809.5,7213.3,10626.6,191,5.18,setembro/2026
Brusque,São Luiz,apartamento,aluguel,38.0,34.3,44.5,16,5.18,setembro/2026
Brusque,São Pedro,apartamento,venda,6312.1,5424.5,7400.8,35,,setembro/2026
Brusque,Souza Cruz,apartamento,venda,7812.0,6207.4,9090.8,130,4.76,setembro/2026
Brusque,Souza Cruz,apartamento,aluguel,31.0,27.5,38.5,16,4.76,setembro/2026
Brusque,Steffen,apartamento,venda,7182.4,6327.8,8206.3,34,,setembro/2026
Brusque,Águas Claras,casa,venda,5354.2,4611.0,6185.3,82,7.08,setembro/2026
Brusque,Águas Claras,casa,aluguel,31.6,23.2,34.8,8,7.08,setembro/2026
Brusque,Azambuja,casa,venda,5588.2,3831.6,7544.6,59,,setembro/2026
Brusque,Bateas,casa,venda,4908.0,3187.5,7142.9,25,,setembro/2026
Brusque,Cedrinho,casa,venda,4800.0,4040.8,5753.2,51,,setembro/2026
Brusque,Cedro Alto,casa,venda,5384.6,5055.6,6333.3,13,,setembro/2026
Brusque,Centro,casa,venda,6799.0,5042.0,8484.8,17,7.22,setembro/2026
Brusque,Centro,casa,aluguel,40.9,21.4,72.8,5,7.22,setembro/2026
Brusque,Centro I,casa,venda,9027.9,7975.0,10529.9,8,3.64,setembro/2026
Brusque,Centro I,casa,aluguel,27.4,21.4,34.5,6,3.64,setembro/2026
Brusque,Centro II,casa,venda,5026.3,3412.5,7066.9,8,,setembro/2026
Brusque,Cerâmica Reis,casa,venda,5470.3,3862.5,8403.1,11,,setembro/2026
Brusque,Dom Joaquim,casa,venda,5750.0,4363.6,7086.6,121,6.39,setembro/2026
Brusque,Dom Joaquim,casa,aluguel,30.6,26.2,34.0,6,6.39,setembro/2026
Brusque,Guarani,casa,venda,5600.0,4236.6,6781.9,47,,setembro/2026
Brusque,Jardim Maluche,casa,venda,6511.4,4632.4,8153.9,44,5.29,setembro/2026
Brusque,Jardim Maluche,casa,aluguel,28.7,26.8,38.9,6,5.29,setembro/2026
Brusque,Limeira,casa,venda,5347.8,4303.8,6290.3,25,,setembro/2026
Brusque,Limeira Baixa,casa,venda,5300.2,4254.2,6146.1,52,7.31,setembro/2026
Brusque,Limeira Baixa,casa,aluguel,32.3,30.7,35.3,12,7.31,setembro/2026
Brusque,Limoeiro,casa,venda,5581.4,4571.4,6500.0,57,,setembro/2026
Brusque,Nova Brasília,casa,venda,5061.1,4391.4,5791.6,32,,setembro/2026
Brusque,Paquetá,casa,venda,5200.0,3498.5,6085.7,9,,setembro/2026
Brusque,Planalto,casa,venda,4571.4,3473.5,6252.0,19,,setembro/2026
Brusque,Poço Fundo,casa,venda,4607.9,3731.3,5464.8,20,,setembro/2026
Brusque,Ponta Russa,casa,venda,5269.8,4754.7,5900.9,10,,setembro/2026
Brusque,Primeiro de Maio,casa,venda,5669.8,4407.0,7680.0,80,4.85,setembro/2026
Brusque,Primeiro de Maio,casa,aluguel,22.9,20.0,25.3,7,4.85,setembro/2026
Brusque,Rio Branco,casa,venda,5770.1,4312.5,6378.8,56,,setembro/2026
Brusque,Santa Luzia,casa,venda,5400.5,4809.6,6190.4,9,,setembro/2026
Brusque,Santa Rita,casa,venda,6409.1,4369.2,8202.5,32,5.62,setembro/2026
Brusque,Santa Rita,casa,aluguel,30.0,28.8,35.7,5,5.62,setembro/2026
Brusque,Santa Terezinha,casa,venda,5951.2,4509.1,7966.6,56,,setembro/2026
