cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Fortaleza,Água Fria,apartamento,venda,8164.2,8096.2,8340.2,6,,setembro/2026
Fortaleza,Aldeota,apartamento,venda,14339.6,11525.4,17409.3,95,4.0,setembro/2026
Fortaleza,Aldeota,apartamento,aluguel,47.8,23.3,79.6,15,4.0,setembro/2026
Fortaleza,Antônio Diogo,apartamento,venda,7390.4,6005.7,8904.7,15,,setembro/2026
Fortaleza,Barroso,apartamento,venda,4606.9,2745.3,5856.7,14,,setembro/2026
Fortaleza,Benfica,apartamento,venda,9988.9,4483.3,11620.8,19,3.0,setembro/2026
Fortaleza,Benfica,apartamento,aluguel,25.0,19.4,51.8,9,3.0,setembro/2026
Fortaleza,Cajazeiras,apartamento,venda,4423.1,3952.9,5825.9,19,5.72,setembro/2026
Fortaleza,Cajazeiras,apartamento,aluguel,21.1,17.3,23.4,12,5.72,setembro/2026
Fortaleza,Cambeba,apartamento,venda,7633.1,6849.9,8695.9,24,,setembro/2026
Fortaleza,Carlito Pamplona,apartamento,venda,5711.0,3724.2,5872.4,6,,setembro/2026
Fortaleza,Centro,apartamento,venda,7886.8,6305.1,10913.4,15,5.14,setembro/2026
Fortaleza,Centro,apartamento,aluguel,33.8,25.6,38.0,17,5.14,setembro/2026
Fortaleza,Cidade 2000,apartamento,venda,7123.3,6548.2,8469.7,15,,setembro/2026
Fortaleza,Cidade dos Funcionários,apartamento,venda,3281.2,2931.3,3545.7,10,,setembro/2026
Fortaleza,Cocó,apartamento,venda,10649.4,7973.0,13409.3,57,4.83,setembro/2026
Fortaleza,Cocó,apartamento,aluguel,42.9,29.2,54.2,17,4.83,setembro/2026
Fortaleza,Conjunto Esperança,apartamento,venda,3214.3,2127.7,3809.5,5,,setembro/2026
Fortaleza,Curió,apartamento,venda,3681.8,3609.1,3866.6,6,,setembro/2026
Fortaleza,Damas,apartamento,venda,3888.9,3135.9,5938.1,6,,setembro/2026
Fortaleza,De Lourdes,apartamento,venda,8688.5,7004.8,10347.4,7,,setembro/2026
Fortaleza,Dionisio Torres,apartamento,venda,10202.5,5869.5,13086.7,39,,setembro/2026
Fortaleza,Dunas,apartamento,venda,7771.8,7438.1,8308.1,8,,setembro/2026
Fortaleza,Edson Queiroz,apartamento,venda,9913.9,8406.6,10983.1,12,,setembro/2026
Fortaleza,Engenheiro Luciano Cavalcante,apartamento,venda,9673.2,8730.2,11320.5,37,6.03,setembro/2026
Fortaleza,Engenheiro Luciano Cavalcante,apartamento,aluguel,48.6,35.8,61.1,9,6.03,setembro/2026
Fortaleza,Fátima,apartamento,venda,10564.0,8352.0,12413.1,23,3.53,setembro/2026
Fortaleza,Fátima,apartamento,aluguel,31.1,27.1,31.6,7,3.53,setembro/2026
Fortaleza,Guararapes,apartamento,venda,11636.4,9413.7,13311.9,43,5.67,setembro/2026
Fortaleza,Guararapes,apartamento,aluguel,55.0,46.5,64.6,12,5.67,setembro/2026
Fortaleza,Itaperi,apartamento,venda,4042.6,3722.9,5773.7,7,8.19,setembro/2026
Fortaleza,Itaperi,apartamento,aluguel,27.6,25.8,31.6,13,8.19,setembro/2026
Fortaleza,Jacarecanga,apartamento,venda,5373.8,3354.4,5833.3,5,8.13,setembro/2026
Fortaleza,Jacarecanga,apartamento,aluguel,36.4,23.3,38.0,5,8.13,setembro/2026
Fortaleza,Jangurussu,apartamento,venda,3465.8,2999.1,4531.6,11,,setembro/2026
Fortaleza,Jardim América,apartamento,venda,3998.9,3410.3,5222.9,6,,setembro/2026
Fortaleza,Jardim Cearense,apartamento,aluguel,20.0,18.2,21.1,9,,setembro/2026
Fortaleza,Joaquim Távora,apartamento,venda,11071.4,4838.7,11672.6,17,2.71,setembro/2026
Fortaleza,Joaquim Távora,apartamento,aluguel,25.0,23.1,51.3,10,2.71,setembro/2026
Fortaleza,Jóquei Clube,apartamento,venda,6537.4,4621.0,8122.7,12,4.72,setembro/2026
Fortaleza,Jóquei Clube,apartamento,aluguel,25.7,21.0,26.6,6,4.72,setembro/2026
Fortaleza,José Bonifácio,apartamento,venda,9277.6,5768.1,11351.2,14,,setembro/2026
Fortaleza,José de Alencar,apartamento,venda,7400.0,7189.7,8159.4,7,,setembro/2026
Fortaleza,Lagoa Redonda,apartamento,aluguel,19.8,18.5,26.3,5,,setembro/2026
Fortaleza,Luciano Cavalcante,apartamento,venda,8106.1,7319.5,9374.1,10,,setembro/2026
Fortaleza,Manoel Dias Branco,apartamento,venda,7230.4,5058.6,9739.3,11,,setembro/2026
Fortaleza,Maraponga,apartamento,venda,4600.0,4038.0,4941.9,11,6.13,setembro/2026
Fortaleza,Maraponga,apartamento,aluguel,23.5,18.3,27.6,11,6.13,setembro/2026
Fortaleza,Meireles,apartamento,venda,15267.4,11983.4,17112.2,112,4.89,setembro/2026
Fortaleza,Meireles,apartamento,aluguel,62.2,43.8,80.2,30,4.89,setembro/2026
Fortaleza,Messejana,apartamento,venda,5058.4,3883.9,5967.6,36,5.27,setembro/2026
