cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Criciúma,Ana Maria,apartamento,venda,4721.8,4007.3,5514.2,34,,setembro/2026
Criciúma,Argentina,apartamento,venda,4292.5,3966.1,4519.2,13,,setembro/2026
Criciúma,Bosque do Repouso,apartamento,aluguel,32.1,30.7,34.3,6,,setembro/2026
Criciúma,Brasília,apartamento,venda,6779.9,4342.1,7835.8,9,,setembro/2026
Criciúma,Ceará,apartamento,venda,5753.4,5264.9,7022.5,17,,setembro/2026
Criciúma,Centro,apartamento,venda,7581.1,5559.7,10003.0,579,4.72,setembro/2026
Criciúma,Centro,apartamento,aluguel,29.8,22.9,37.6,50,4.72,setembro/2026
Criciúma,Comerciário,apartamento,venda,5891.6,4716.1,8340.1,144,7.11,setembro/2026
Criciúma,Comerciário,apartamento,aluguel,34.9,28.3,36.9,11,7.11,setembro/2026
Criciúma,Cruzeiro do Sul,apartamento,venda,10000.0,6658.1,12897.2,46,,setembro/2026
Criciúma,Dos Imigrantes,apartamento,venda,5967.3,5245.9,6127.5,13,,setembro/2026
Criciúma,Linha Batista,apartamento,venda,4628.9,4122.7,5319.1,13,,setembro/2026
Criciúma,Michel,apartamento,venda,7160.5,5813.2,9629.1,97,,setembro/2026
Criciúma,Mina do Mato,apartamento,venda,4980.8,4622.6,6379.3,9,,setembro/2026
Criciúma,Mina União,apartamento,venda,4811.6,4204.1,5050.0,16,,setembro/2026
Criciúma,Monte Castelo,apartamento,venda,4056.6,3900.0,4200.0,5,,setembro/2026
Criciúma,Operária Nova,apartamento,venda,3733.1,3529.1,4413.2,10,,setembro/2026
Criciúma,Pinheirinho,apartamento,venda,5574.4,4873.6,6541.8,27,6.18,setembro/2026
Criciúma,Pinheirinho,apartamento,aluguel,28.7,28.4,36.3,7,6.18,setembro/2026
Criciúma,Pio Corrêa,apartamento,venda,7679.6,5829.6,9850.1,65,,setembro/2026
Criciúma,Próspera,apartamento,venda,6842.1,6269.8,8988.5,45,5.81,setembro/2026
Criciúma,Próspera,apartamento,aluguel,33.1,27.4,41.1,7,5.81,setembro/2026
Criciúma,Quarta Linha,apartamento,venda,3776.7,2899.9,3925.6,8,,setembro/2026
Criciúma,Rio Maina,apartamento,venda,6301.4,5298.8,7206.1,27,,setembro/2026
Criciúma,Santa Augusta,apartamento,venda,4894.8,4456.6,5605.0,14,9.32,setembro/2026
Criciúma,Santa Augusta,apartamento,aluguel,38.0,34.9,44.3,5,9.32,setembro/2026
Criciúma,Santa Bárbara,apartamento,venda,6909.2,5560.2,8588.2,73,4.62,setembro/2026
Criciúma,Santa Bárbara,apartamento,aluguel,26.6,25.0,26.9,5,4.62,setembro/2026
Criciúma,Santa Catarina,apartamento,venda,7361.1,5895.7,8524.0,27,,setembro/2026
Criciúma,Santa Luzia,apartamento,venda,4219.7,3779.8,4313.6,6,7.65,setembro/2026
Criciúma,Santa Luzia,apartamento,aluguel,26.9,26.3,36.3,5,7.65,setembro/2026
Criciúma,Santo Antônio,apartamento,venda,5334.3,4431.8,6196.5,25,5.8,setembro/2026
Criciúma,Santo Antônio,apartamento,aluguel,25.8,23.3,27.3,5,5.8,setembro/2026
Criciúma,São Cristóvão,apartamento,venda,6625.1,5242.8,7839.6,27,,setembro/2026
Criciúma,São Francisco,apartamento,venda,5531.2,4955.8,6519.8,16,6.23,setembro/2026
Criciúma,São Francisco,apartamento,aluguel,28.7,27.5,33.9,8,6.23,setembro/2026
Criciúma,São João,apartamento,venda,5303.0,4697.0,5522.4,5,,setembro/2026
