cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Brasília,Águas Claras Norte,casa,venda,3600.0,2917.7,4757.5,7,,setembro/2026
Brasília,Águas Claras Sul,casa,venda,4359.0,4014.7,4950.0,7,,setembro/2026
Brasília,Areal,casa,venda,4401.0,2211.1,5414.8,15,,setembro/2026
Brasília,Arniqueira (Águas Claras),casa,venda,3142.9,2243.0,4509.8,25,,setembro/2026
Brasília,Arniqueiras,casa,venda,3241.7,2637.8,4474.5,20,,setembro/2026
Brasília,Asa Sul,casa,venda,6346.2,5119.0,9450.0,37,7.66,setembro/2026
Brasília,Asa Sul,casa,aluguel,40.5,22.6,55.6,8,7.66,setembro/2026
Brasília,Candangolândia,casa,venda,4162.5,2885.5,4469.1,8,,setembro/2026
Brasília,Ceilândia,casa,venda,2600.0,2045.5,3115.4,27,,setembro/2026
Brasília,Ceilândia Norte,casa,venda,2368.4,1719.6,3068.0,47,,setembro/2026
Brasília,Ceilândia Sul,casa,venda,2524.1,2000.0,3173.1,45,,setembro/2026
Brasília,Colonia Agricola 26 de Setembr,casa,venda,3435.9,3250.0,3733.3,5,,setembro/2026
Brasília,Granja do Torto,casa,venda,3573.0,3311.3,5008.1,14,,setembro/2026
Brasília,Guará I,casa,venda,3863.6,2953.7,5125.0,27,,setembro/2026
Brasília,Guará II,casa,venda,5183.9,3846.4,6640.1,74,6.94,setembro/2026
Brasília,Guará II,casa,aluguel,30.0,18.6,33.3,7,6.94,setembro/2026
Brasília,Jardim Botânico,casa,venda,4507.0,3501.3,5763.0,232,9.8,setembro/2026
Brasília,Jardim Botânico,casa,aluguel,36.8,26.0,41.9,7,9.8,setembro/2026
Brasília,Jardim Botânico (Lago Sul),casa,venda,3864.7,3541.7,5760.9,5,,setembro/2026
Brasília,Jardins Mangueiral,casa,venda,8348.4,7145.1,9448.5,20,,setembro/2026
Brasília,Jardins Mangueiral (Jardim Botânico),casa,venda,9558.8,8275.9,9853.5,15,7.56,setembro/2026
Brasília,Jardins Mangueiral (Jardim Botânico),casa,aluguel,60.2,55.5,65.9,6,7.56,setembro/2026
Brasília,Lago Norte,casa,venda,6541.7,5064.8,8293.3,82,4.57,setembro/2026
Brasília,Lago Norte,casa,aluguel,24.9,19.0,34.9,23,4.57,setembro/2026
Brasília,Lago Sul,casa,venda,8500.0,6499.6,11290.9,119,6.08,setembro/2026
Brasília,Lago Sul,casa,aluguel,43.1,34.8,56.6,71,6.08,setembro/2026
Brasília,Núcleo Bandeirante,casa,venda,4157.9,3763.5,5259.5,7,,setembro/2026
Brasília,Paranoá,casa,venda,1425.8,1333.3,3461.5,9,,setembro/2026
Brasília,Park Way,casa,venda,5286.8,4424.3,7054.1,146,6.06,setembro/2026
Brasília,Park Way,casa,aluguel,26.7,16.2,33.3,33,6.06,setembro/2026
Brasília,Ponte Alta Norte (Gama),casa,venda,4937.5,4122.8,5238.9,11,,setembro/2026
Brasília,Recanto das Emas,casa,venda,2300.0,1657.9,3548.1,20,,setembro/2026
Brasília,Riacho Fundo I,casa,venda,2714.3,2366.3,3675.8,23,,setembro/2026
Brasília,Riacho Fundo II,casa,venda,2572.5,1885.7,2780.1,10,,setembro/2026
Brasília,Samambaia Norte,casa,venda,2678.5,1984.1,3571.4,33,,setembro/2026
Brasília,Samambaia Sul,casa,venda,2800.0,2381.0,3173.9,33,8.49,setembro/2026
Brasília,Samambaia Sul,casa,aluguel,19.8,16.1,26.3,6,8.49,setembro/2026
Brasília,Santa Maria,casa,venda,1450.0,1262.1,1833.3,8,,setembro/2026
Brasília,São Sebastião,casa,venda,3461.5,2685.2,5227.3,5,,setembro/2026
Brasília,Setor de Habitações Individuais Norte,casa,venda,6928.6,5808.9,7742.5,12,,setembro/2026
Brasília,Setor de Habitações Individuais Sul,casa,venda,8250.0,5058.4,12000.0,37,4.23,setembro/2026
Brasília,Setor de Habitações Individuais Sul,casa,aluguel,29.1,24.6,51.4,9,4.23,setembro/2026
Brasília,Setor de Mansões de Sobradinho,casa,venda,3054.0,1591.7,3618.0,8,,setembro/2026
Brasília,Setor de Mansões do Lago Norte,casa,venda,4083.3,3575.0,6514.4,9,,setembro/2026
Brasília,Setor Habitacional Arniqueira (Águas Claras),casa,venda,4045.4,3211.9,5430.7,74,,setembro/2026
Brasília,Setor Habitacional Contagem (Sobradinho),casa,venda,3002.2,2697.8,3087.4,8,,setembro/2026
Brasília,Setor Habitacional Jardim Botânico,casa,venda,4964.1,3745.5,6239.4,134,6.7,setembro/2026
Brasília,Setor Habitacional Jardim Botânico,casa,aluguel,27.7,21.2,39.3,83,6.7,setembro/2026
Brasília,Setor Habitacional Jardim Botânico (Lago Sul),casa,venda,6133.3,3523.9,6787.6,7,,setembro/2026
Brasília,Setor Habitacional Jardins Mangueiral,casa,aluguel,52.9,36.5,75.4,6,,setembro/2026
Brasília,Setor Habitacional Samambaia (Vicente Pires),casa,venda,3884.6,2981.6,4735.3,24,,setembro/2026
Brasília,Setor Habitacional Sol Nascente (Ceilândia),casa,venda,1700.0,1025.0,2350.0,6,,setembro/2026
Brasília,Setor Habitacional Tororo,casa,venda,5158.3,3962.4,6375.9,38,4.84,setembro/2026
Brasília,Setor Habitacional Tororo,casa,aluguel,20.8,19.1,37.5,10,4.84,setembro/2026
Brasília,Setor Habitacional Tororó (Jardim Botânico),casa,venda,5143.5,3872.2,6328.1,32,,setembro/2026
Brasília,Setor Habitacional Vicente Pires,casa,venda,4714.3,3451.8,5759.6,119,,setembro/2026
Brasília,Setor Leste (Gama),casa,venda,2509.1,1572.7,3046.2,12,,setembro/2026
Brasília,Setor Oeste (Gama),casa,venda,3000.0,1345.5,3359.1,5,,setembro/2026
Brasília,Setor Oeste (Sobradinho II),casa,venda,2288.7,2129.5,2607.6,14,,setembro/2026
Brasília,Sobradinho,casa,venda,3706.7,2796.1,4485.2,12,,setembro/2026
Brasília,Taguatinga,casa,venda,3045.5,2750.0,4088.7,13,,setembro/2026
Brasília,Taguatinga Norte,casa,venda,3127.1,2402.0,3815.8,73,,setembro/2026
Brasília,Taguatinga Sul,casa,venda,3218.9,2379.0,4015.8,31,,setembro/2026
Brasília,Taquari,casa,venda,6618.1,6336.8,7307.7,5,,setembro/2026
Brasília,Vicente Pires,casa,venda,3500.0,2498.8,4490.3,101,,setembro/2026
Brasília,Vila da Telebrasília,casa,venda,3930.1,3478.3,4250.0,5,,setembro/2026
Brasília,Vila Planalto,casa,venda,5333.3,4270.1,6857.4,27,,setembro/2026
Brasília,Águas Claras,apartamento,venda,8869.9,7877.3,10000.0,40,6.9,setembro/2026
Brasília,Águas Claras,apartamento,aluguel,51.0,44.2,67.9,41,6.9,setembro/2026
Brasília,Águas Claras Norte,apartamento,venda,9628.2,8171.3,10962.0,92,7.2,setembro/2026
Brasília,Águas Claras Norte,apartamento,aluguel,57.8,51.1,68.0,17,7.2,setembro/2026
Brasília,Águas Claras Sul,apartamento,venda,9032.3,7796.9,11947.7,69,6.97,setembro/2026
Brasília,Águas Claras Sul,apartamento,aluguel,52.5,51.4,60.3,7,6.97,setembro/2026
Brasília,Areal,apartamento,venda,7147.4,5261.8,9396.3,20,,setembro/2026
Brasília,Asa Norte,apartamento,venda,13289.6,11076.4,15311.7,188,6.06,setembro/2026
Brasília,Asa Norte,apartamento,aluguel,67.1,55.0,95.0,116,6.06,setembro/2026
Brasília,Asa Sul,apartamento,venda,13848.6,11514.3,16366.4,134,5.32,setembro/2026
Brasília,Asa Sul,apartamento,aluguel,61.4,50.2,75.7,104,5.32,setembro/2026
Brasília,Ceilândia,apartamento,venda,5425.7,3721.6,5599.6,12,5.91,setembro/2026
Brasília,Ceilândia,apartamento,aluguel,26.7,21.9,37.5,17,5.91,setembro/2026
Brasília,Ceilândia Norte,apartamento,venda,5200.0,4133.5,6344.1,23,,setembro/2026
Brasília,Ceilândia Sul,apartamento,venda,4081.4,2685.6,5877.2,8,,setembro/2026
Brasília,Guará I,apartamento,venda,5428.6,4693.9,9030.3,13,10.83,setembro/2026
Brasília,Guará I,apartamento,aluguel,49.0,44.9,62.9,12,10.83,setembro/2026
Brasília,Guará II,apartamento,venda,9741.7,4210.5,11406.2,57,4.19,setembro/2026
Brasília,Guará II,apartamento,aluguel,34.0,22.7,53.6,13,4.19,setembro/2026
Brasília,Jardins Mangueiral,apartamento,venda,6980.0,6750.0,7440.0,7,,setembro/2026
Brasília,Jardins Mangueiral (Jardim Botânico),apartamento,aluguel,60.4,54.7,65.1,8,,setembro/2026
Brasília,Lago Norte,apartamento,venda,12313.7,10339.9,14317.7,40,6.31,setembro/2026
Brasília,Lago Norte,apartamento,aluguel,64.8,56.5,80.0,41,6.31,setembro/2026
Brasília,Noroeste,apartamento,venda,17017.5,15081.1,18965.5,157,6.25,setembro/2026
Brasília,Noroeste,apartamento,aluguel,88.7,77.3,107.1,96,6.25,setembro/2026
Brasília,Octogonal,apartamento,venda,13280.0,12586.2,14090.9,5,,setembro/2026
