cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Vitória,Barro Vermelho,apartamento,venda,16696.5,13838.1,20015.2,58,4.79,setembro/2026
Vitória,Barro Vermelho,apartamento,aluguel,66.7,54.9,80.0,17,4.79,setembro/2026
Vitória,Bento Ferreira,apartamento,venda,11701.3,8851.2,14087.1,96,4.79,setembro/2026
Vitória,Bento Ferreira,apartamento,aluguel,46.7,33.7,47.1,5,4.79,setembro/2026
Vitória,Centro,apartamento,venda,3631.6,2884.3,5205.0,15,,setembro/2026
Vitória,Enseada do Suá,apartamento,venda,18553.5,14791.9,21035.2,83,3.87,setembro/2026
Vitória,Enseada do Suá,apartamento,aluguel,59.8,50.9,71.4,18,3.87,setembro/2026
Vitória,Ilha de Santa Maria,apartamento,venda,18181.8,16688.2,21743.7,7,,setembro/2026
Vitória,Ilha do Boi,apartamento,venda,11216.5,10308.0,12542.1,10,,setembro/2026
Vitória,Jardim Camburi,apartamento,venda,12817.9,10447.0,15292.3,278,4.5,setembro/2026
Vitória,Jardim Camburi,apartamento,aluguel,48.1,39.4,84.5,28,4.5,setembro/2026
Vitória,Jardim da Penha,apartamento,venda,11357.1,9150.5,14611.6,171,5.22,setembro/2026
Vitória,Jardim da Penha,apartamento,aluguel,49.4,46.4,61.5,26,5.22,setembro/2026
Vitória,Maruípe,apartamento,venda,8750.0,5430.6,9322.9,11,,setembro/2026
Vitória,Mata da Praia,apartamento,venda,17638.9,14489.0,20615.8,86,3.59,setembro/2026
Vitória,Mata da Praia,apartamento,aluguel,52.7,47.5,64.6,16,3.59,setembro/2026
Vitória,Monte Belo,apartamento,venda,15113.9,8645.2,20993.2,6,,setembro/2026
Vitória,Morada de Camburi,apartamento,venda,12381.5,9916.6,13132.4,8,,setembro/2026
Vitória,Praia de Santa Helena,apartamento,venda,14711.7,10663.3,19277.8,12,,setembro/2026
Vitória,Praia do Canto,apartamento,venda,16340.3,13139.9,22036.0,142,4.07,setembro/2026
Vitória,Praia do Canto,apartamento,aluguel,55.4,43.5,65.8,20,4.07,setembro/2026
Vitória,Praia do Suá,apartamento,venda,14049.6,12177.3,16138.9,28,,setembro/2026
Vitória,Santa Helena,apartamento,venda,13628.6,11755.7,19437.5,35,,setembro/2026
Vitória,Santa Lúcia,apartamento,venda,12592.6,9274.2,16533.8,47,5.67,setembro/2026
Vitória,Santa Lúcia,apartamento,aluguel,59.5,44.2,60.3,8,5.67,setembro/2026
Vitória,Santa Luíza,apartamento,venda,20748.4,16072.0,23660.2,10,,setembro/2026
Vitória,Bento Ferreira,casa,venda,8223.7,6993.3,11558.6,6,,setembro/2026
Vitória,Centro,casa,venda,3000.0,2541.7,4029.8,6,,setembro/2026
Vitória,De Lourdes,casa,venda,5289.3,3180.9,6440.6,11,,setembro/2026
Vitória,Fradinhos,casa,venda,7023.8,4441.8,7445.0,9,,setembro/2026
Vitória,Ilha do Boi,casa,venda,12117.3,10257.8,13776.4,24,,setembro/2026
Vitória,Jardim Camburi,casa,venda,9789.5,8136.8,11043.3,30,,setembro/2026
Vitória,Jardim da Penha,casa,venda,9448.8,7849.4,13573.2,8,,setembro/2026
Vitória,Maruípe,casa,venda,5000.0,3958.3,5700.0,9,,setembro/2026
Vitória,Mata da Praia,casa,venda,10260.8,7848.3,13612.8,46,,setembro/2026
Vitória,República,casa,venda,6666.7,6000.0,7130.8,9,,setembro/2026
Vitória,Santa Cecília,casa,venda,4000.0,2959.0,6979.3,7,,setembro/2026
Vitória,Ilha do Frade,terreno,venda,9141.4,6502.5,10750.0,6,,setembro/2026
Vitória,Centro,sala,venda,2213.1,2205.7,3250.0,5,12.42,setembro/2026
Vitória,Centro,sala,aluguel,22.9,18.2,38.2,21,12.42,setembro/2026
Vitória,Enseada do Suá,sala,venda,12090.9,9866.9,14844.8,15,8.93,setembro/2026
Vitória,Enseada do Suá,sala,aluguel,90.0,67.9,113.8,34,8.93,setembro/2026
Vitória,Jardim Camburi,sala,aluguel,84.3,50.5,105.5,10,,setembro/2026
Vitória,Jardim da Penha,sala,venda,16800.0,12142.9,18666.8,5,,setembro/2026
Vitória,Mata da Praia,sala,venda,11311.5,10246.4,14064.2,7,5.81,setembro/2026
Vitória,Mata da Praia,sala,aluguel,54.8,42.1,66.5,6,5.81,setembro/2026
Vitória,Praia do Canto,sala,venda,6339.3,4597.9,7399.2,14,16.66,setembro/2026
Vitória,Praia do Canto,sala,aluguel,88.0,43.3,100.0,13,16.66,setembro/2026
Vitória,Praia do Suá,sala,venda,7368.4,6571.4,8571.4,13,6.86,setembro/2026
Vitória,Praia do Suá,sala,aluguel,42.1,32.4,48.2,10,6.86,setembro/2026
Vitória,Santa Lúcia,sala,venda,5833.3,4729.9,7843.8,22,8.85,setembro/2026
Vitória,Santa Lúcia,sala,aluguel,43.0,38.6,68.2,21,8.85,setembro/2026
