cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Goiânia,Aeroviário,casa,venda,3054.8,2183.8,3652.4,6,,setembro/2026
Goiânia,Água Branca,casa,venda,2916.7,2248.7,3143.1,7,,setembro/2026
Goiânia,Alphaville Araguaia,casa,venda,12020.0,10618.6,14075.0,46,7.53,setembro/2026
Goiânia,Alphaville Araguaia,casa,aluguel,75.4,51.2,85.9,7,7.53,setembro/2026
Goiânia,Alphaville Flamboyant,casa,venda,13210.7,10841.1,15717.5,105,3.36,setembro/2026
Goiânia,Alphaville Flamboyant,casa,aluguel,37.0,27.3,47.0,10,3.36,setembro/2026
Goiânia,Alphaville Goiás,casa,venda,14465.2,12405.2,15978.3,6,,setembro/2026
Goiânia,Anhangüera,casa,venda,4990.2,4031.0,6291.1,20,,setembro/2026
Goiânia,Capuava,casa,venda,3897.1,3100.0,5131.3,19,,setembro/2026
Goiânia,Cardoso Continuacao Aparecida,casa,venda,5265.0,4457.8,5705.9,5,,setembro/2026
Goiânia,Carolina Parque,casa,venda,3187.5,2468.2,3912.5,11,,setembro/2026
Goiânia,Chácaras Alto da Glória,casa,venda,6352.9,6304.3,7374.3,13,,setembro/2026
Goiânia,Chácaras Anhangüera,casa,venda,3664.1,3366.6,4198.5,11,,setembro/2026
Goiânia,Chácaras de Recreio São Joaquim,casa,venda,4877.3,4244.8,5375.3,10,,setembro/2026
Goiânia,Chácaras Maringá,casa,venda,11111.1,6857.1,12500.0,13,,setembro/2026
Goiânia,Cidade Jardim,casa,venda,3145.2,1982.2,3717.7,14,,setembro/2026
Goiânia,Conjunto Cachoeira Dourada,casa,venda,2250.0,1874.4,5316.9,7,,setembro/2026
Goiânia,Conjunto Fabiana,casa,venda,2356.9,1774.9,3030.3,5,,setembro/2026
Goiânia,Conjunto Vera Cruz,casa,venda,3020.0,1381.6,4158.3,16,,setembro/2026
Goiânia,Faicalville,casa,venda,9086.7,5701.8,10000.0,5,,setembro/2026
Goiânia,Fazenda São Domingos,casa,venda,2871.6,2694.4,3143.0,11,,setembro/2026
Goiânia,Fazenda Vau das Pombas,casa,venda,9361.7,8500.9,10310.7,41,,setembro/2026
Goiânia,Feliz,casa,venda,2918.2,2497.1,3878.5,12,,setembro/2026
Goiânia,Garavelo Residencial Park Aparecida,casa,venda,3932.0,3727.9,4050.0,8,,setembro/2026
Goiânia,Goiá,casa,venda,4285.7,1530.6,4842.1,5,,setembro/2026
Goiânia,Goiá 2,casa,venda,2750.0,2305.6,3434.1,7,,setembro/2026
Goiânia,Goiânia 2,casa,venda,5313.9,3888.5,6796.6,30,,setembro/2026
Goiânia,Jardim Alphaville,casa,venda,3155.3,2200.0,3516.5,9,,setembro/2026
Goiânia,Jardim América,casa,venda,4793.6,3266.7,6192.0,102,4.88,setembro/2026
Goiânia,Jardim América,casa,aluguel,19.5,13.3,25.0,25,4.88,setembro/2026
Goiânia,Jardim Ana Lúcia,casa,venda,2879.6,2531.1,4351.9,23,,setembro/2026
Goiânia,Jardim Atlântico,casa,venda,5594.5,4682.4,7163.5,110,4.95,setembro/2026
Goiânia,Jardim Atlântico,casa,aluguel,23.1,18.5,30.1,15,4.95,setembro/2026
Goiânia,Jardim Balneário Meia Ponte,casa,venda,3202.6,2143.7,4550.7,30,,setembro/2026
Goiânia,Jardim Bela Vista,casa,venda,3434.6,2601.2,5095.2,8,,setembro/2026
Goiânia,Jardim Brasil,casa,venda,4258.5,3466.3,5124.0,10,,setembro/2026
Goiânia,Jardim Buriti Sereno Aparecida,casa,venda,4179.5,3820.4,4566.1,12,,setembro/2026
Goiânia,Jardim Califórnia,casa,venda,4186.0,3421.1,4869.9,5,,setembro/2026
Goiânia,Jardim Colorado,casa,venda,3263.3,2541.7,3827.6,10,,setembro/2026
Goiânia,Jardim Colorado I,casa,venda,3562.9,2993.3,3970.0,7,,setembro/2026
Goiânia,Jardim Curitiba,casa,venda,3200.0,2247.6,4054.1,17,,setembro/2026
Goiânia,Jardim da Luz,casa,venda,4570.7,2825.9,5286.8,16,,setembro/2026
Goiânia,Jardim das Esmeraldas,casa,venda,2307.1,2233.2,2556.2,6,,setembro/2026
Goiânia,Jardim das Rosas,casa,venda,2363.5,1991.9,3488.4,5,,setembro/2026
Goiânia,Jardim Europa,casa,venda,5000.0,2965.1,6257.6,47,,setembro/2026
Goiânia,Jardim Florença,casa,venda,8784.6,7179.1,9968.6,20,,setembro/2026
Goiânia,Jardim Fonte Nova,casa,venda,3398.8,2670.4,4220.3,12,,setembro/2026
