cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Guaramirim,Amizade,casa,venda,3106.6,2400.0,4695.7,13,,agosto/2026
Guaramirim,Avaí,casa,venda,4910.5,2258.1,6539.8,16,,agosto/2026
Guaramirim,Bananal do Sul,casa,venda,4714.3,3712.6,5932.4,21,,agosto/2026
Guaramirim,Beira Rio,casa,venda,5415.4,4910.4,5625.0,9,,agosto/2026
Guaramirim,Caixa d'Água,casa,venda,5160.7,4998.3,5571.4,5,,agosto/2026
Guaramirim,Centro,casa,venda,3718.8,2318.8,4086.7,10,,agosto/2026
Guaramirim,Escolinha,casa,venda,5479.5,5063.5,6571.4,9,,agosto/2026
Guaramirim,Ilha da Figueira,casa,venda,5806.5,2227.3,6428.6,9,,agosto/2026
Guaramirim,Nova Esperança,casa,venda,4223.0,3053.2,5320.8,6,,agosto/2026
Guaramirim,Rio Branco,casa,venda,5339.9,4950.2,6942.5,8,,agosto/2026
Guaramirim,Amizade,apartamento,aluguel,35.5,32.5,54.3,9,,agosto/2026
Guaramirim,Centro,apartamento,venda,5276.4,4647.1,5978.3,13,7.14,agosto/2026
Guaramirim,Centro,apartamento,aluguel,31.4,28.0,32.5,10,7.14,agosto/2026
Guaramirim,Corticeira,apartamento,venda,3099.2,2954.5,3333.3,5,,agosto/2026
Guaramirim,Amizade,terreno,venda,751.4,421.7,869.2,5,,agosto/2026
Guaramirim,Avaí,terreno,venda,625.9,533.4,877.8,6,,agosto/2026
Guaramirim,Bananal do Sul,terreno,venda,1099.1,1098.5,1100.1,33,,agosto/2026
Guaramirim,Corticeira,terreno,venda,304.3,149.7,336.0,5,,agosto/2026
Guaramirim,Centro,sala,aluguel,67.2,64.3,67.3,5,,agosto/2026
