cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Ananindeua,Águas Brancas,casa,venda,3375.0,1625.0,6642.0,6,,setembro/2026
Ananindeua,Águas Lindas,casa,venda,3166.7,1333.3,4235.3,9,,setembro/2026
Ananindeua,Atalaia,casa,venda,7000.0,6467.2,7596.8,10,,setembro/2026
Ananindeua,Centro,casa,venda,5919.6,4791.3,6538.6,22,,setembro/2026
Ananindeua,Cidade Nova,casa,venda,3100.0,2246.7,3416.7,7,,setembro/2026
Ananindeua,Coqueiro,casa,venda,3669.7,2839.3,4595.2,15,,setembro/2026
Ananindeua,Guanabara,casa,venda,5178.6,4278.7,5901.6,18,,setembro/2026
Ananindeua,Levilândia,casa,venda,3641.7,2569.4,5855.8,10,,setembro/2026
Ananindeua,Maguari,casa,venda,6138.6,3460.0,6441.5,7,,setembro/2026
Ananindeua,Quarenta Horas (Coqueiro),casa,venda,4666.7,3888.9,6125.0,19,,setembro/2026
Ananindeua,Atalaia,apartamento,venda,5000.0,4670.7,6180.1,7,,setembro/2026
Ananindeua,Centro,apartamento,venda,5784.4,4914.8,6449.0,10,,setembro/2026
Ananindeua,Coqueiro,apartamento,venda,4925.5,4247.7,6421.4,14,,setembro/2026
Ananindeua,Guanabara,apartamento,venda,5696.2,4717.0,6333.3,9,,setembro/2026
Ananindeua,Quarenta Horas (Coqueiro),apartamento,venda,5272.7,4580.1,6430.3,7,,setembro/2026
Ananindeua,Águas Lindas,terreno,venda,885.0,828.6,1000.0,5,,setembro/2026
Ananindeua,Coqueiro,terreno,venda,449.4,352.3,587.4,8,,setembro/2026
Ananindeua,Marituba,terreno,venda,202.1,200.0,203.4,5,,setembro/2026
Ananindeua,Guanabara,galpao,aluguel,9.3,8.1,10.6,5,,setembro/2026
