cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Aracaju,13 de Julho,apartamento,venda,4527.8,4069.6,5831.4,12,,setembro/2026
Aracaju,Aeroporto,apartamento,venda,4810.1,4027.8,6071.4,17,6.69,setembro/2026
Aracaju,Aeroporto,apartamento,aluguel,26.8,22.6,29.0,6,6.69,setembro/2026
Aracaju,Aruana,apartamento,venda,5762.7,4825.0,7797.2,35,6.12,setembro/2026
Aracaju,Aruana,apartamento,aluguel,29.4,26.8,35.3,11,6.12,setembro/2026
Aracaju,Atalaia,apartamento,venda,8404.8,6312.5,10006.7,52,6.75,setembro/2026
Aracaju,Atalaia,apartamento,aluguel,47.3,34.8,70.2,18,6.75,setembro/2026
Aracaju,Centro,apartamento,venda,2882.4,2246.0,3072.0,15,18.32,setembro/2026
Aracaju,Centro,apartamento,aluguel,44.0,24.2,49.2,7,18.32,setembro/2026
Aracaju,Coroa do Meio,apartamento,venda,6887.5,5242.2,11375.1,44,9.06,setembro/2026
Aracaju,Coroa do Meio,apartamento,aluguel,52.0,31.9,82.0,15,9.06,setembro/2026
Aracaju,Dezoito do Forte,apartamento,venda,4182.2,3990.8,4247.1,6,,setembro/2026
Aracaju,Dom Luciano,apartamento,venda,3750.0,2961.1,3912.1,7,,setembro/2026
Aracaju,Farolândia,apartamento,venda,6402.9,5493.0,7583.0,47,8.53,setembro/2026
Aracaju,Farolândia,apartamento,aluguel,45.5,32.9,58.0,19,8.53,setembro/2026
Aracaju,Grageru,apartamento,venda,4719.6,3960.5,5771.6,38,7.53,setembro/2026
Aracaju,Grageru,apartamento,aluguel,29.6,24.6,37.9,6,7.53,setembro/2026
Aracaju,Inácio Barbosa,apartamento,venda,4789.7,4526.5,6030.6,24,7.87,setembro/2026
Aracaju,Inácio Barbosa,apartamento,aluguel,31.4,25.7,41.3,11,7.87,setembro/2026
Aracaju,Jabotiana,apartamento,venda,4842.9,4219.0,5809.2,39,7.01,setembro/2026
Aracaju,Jabotiana,apartamento,aluguel,28.3,22.9,30.8,17,7.01,setembro/2026
Aracaju,Jardins,apartamento,venda,8756.4,7345.1,11383.1,52,5.48,setembro/2026
Aracaju,Jardins,apartamento,aluguel,40.0,27.0,56.7,11,5.48,setembro/2026
Aracaju,Luzia,apartamento,venda,6196.8,4339.7,7040.2,38,6.29,setembro/2026
Aracaju,Luzia,apartamento,aluguel,32.5,22.7,42.7,18,6.29,setembro/2026
Aracaju,Marivan,apartamento,venda,4286.7,3906.2,5153.8,21,,setembro/2026
Aracaju,Ponto Novo,apartamento,venda,4367.4,3225.0,5957.2,26,5.61,setembro/2026
Aracaju,Ponto Novo,apartamento,aluguel,20.4,17.4,27.7,5,5.61,setembro/2026
Aracaju,Porto Dantas,apartamento,venda,2500.0,2187.5,3804.3,13,,setembro/2026
Aracaju,Robalo,apartamento,venda,5452.4,4545.5,5640.5,9,,setembro/2026
Aracaju,Salgado Filho,apartamento,venda,4135.6,3534.1,4536.9,14,,setembro/2026
Aracaju,Santo Antônio,apartamento,venda,3500.0,3388.2,4066.7,11,,setembro/2026
Aracaju,São Conrado,apartamento,venda,3375.4,2948.3,3851.5,18,,setembro/2026
Aracaju,São José,apartamento,venda,2843.4,2197.6,4444.4,24,11.27,setembro/2026
Aracaju,São José,apartamento,aluguel,26.7,20.8,32.3,8,11.27,setembro/2026
Aracaju,Suíssa,apartamento,venda,3131.5,2876.3,3473.3,14,,setembro/2026
Aracaju,Treze de Julho,apartamento,venda,4597.9,3524.0,5343.8,20,,setembro/2026
Aracaju,Zona de Expansão (Aruana),apartamento,venda,4611.3,4145.2,4951.0,12,,setembro/2026
Aracaju,Aruana,casa,venda,4583.3,3250.0,5660.4,33,7.54,setembro/2026
Aracaju,Aruana,casa,aluguel,28.8,16.3,35.7,9,7.54,setembro/2026
Aracaju,Atalaia,casa,venda,3572.7,2455.8,4657.7,18,,setembro/2026
Aracaju,"Avenida Augusto Franco, Ponto Novo",casa,venda,5600.0,3657.5,5836.3,7,,setembro/2026
Aracaju,Bugio,casa,venda,2277.1,1766.7,2863.6,6,,setembro/2026
Aracaju,Centro,casa,venda,2574.8,1943.3,3382.1,14,,setembro/2026
Aracaju,Cirurgia,casa,venda,2700.6,2216.0,3122.2,10,,setembro/2026
Aracaju,Coroa do Meio,casa,venda,3600.0,2166.7,4838.7,21,,setembro/2026
Aracaju,Dezoito do Forte,casa,venda,2875.0,2457.3,3849.3,7,,setembro/2026
Aracaju,Farolândia,casa,venda,3407.2,2861.8,5097.9,14,,setembro/2026
Aracaju,Getúlio Vargas,casa,venda,2083.3,1948.1,2111.1,5,,setembro/2026
Aracaju,Inácio Barbosa,casa,venda,3666.0,2809.1,4331.8,7,,setembro/2026
Aracaju,Jabotiana,casa,venda,3333.3,2622.4,4446.8,11,6.05,setembro/2026
Aracaju,Jabotiana,casa,aluguel,16.8,14.6,21.4,6,6.05,setembro/2026
Aracaju,José Conrado de Araújo,casa,venda,1656.2,1355.6,1904.7,6,,setembro/2026
Aracaju,Luzia,casa,venda,3690.7,2330.9,4449.8,12,,setembro/2026
Aracaju,Mosqueiro,casa,venda,3403.1,1800.0,4830.9,17,7.93,setembro/2026
Aracaju,Mosqueiro,casa,aluguel,22.5,19.0,43.7,7,7.93,setembro/2026
Aracaju,Ponto Novo,casa,venda,2321.4,2262.1,2848.6,7,,setembro/2026
Aracaju,Robalo,casa,venda,4235.5,2985.9,4971.5,16,,setembro/2026
Aracaju,Salgado Filho,casa,venda,2901.8,1895.8,3346.8,12,,setembro/2026
Aracaju,Santo Antônio,casa,venda,2148.4,2035.2,3802.7,11,,setembro/2026
Aracaju,Santos Dumont,casa,venda,1833.3,1466.7,2140.6,6,,setembro/2026
