cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Atibaia,Alpes,casa,venda,10000.0,5527.8,10571.4,5,,setembro/2026
Atibaia,Atibaia,casa,venda,6367.7,4258.4,7888.9,18,,setembro/2026
Atibaia,Centro,casa,venda,5036.9,4500.0,5626.8,5,,setembro/2026
Atibaia,Chácaras Maringá,casa,venda,6548.2,5880.7,8254.0,11,,setembro/2026
Atibaia,Estancia Parque,casa,venda,9890.1,9000.0,10482.9,5,,setembro/2026
Atibaia,Figueira Garden,casa,venda,9333.3,8990.4,9594.7,15,,setembro/2026
Atibaia,Itapetinga,casa,venda,7560.0,4689.4,8900.5,7,,setembro/2026
Atibaia,Jardim Alvinópolis,casa,venda,4443.0,3284.2,5909.8,6,,setembro/2026
Atibaia,Jardim Colonial,casa,venda,6703.3,4367.8,8270.7,9,,setembro/2026
Atibaia,Jardim das Cerejeiras,casa,venda,4166.7,3269.2,4166.7,5,,setembro/2026
Atibaia,Jardim do Lago,casa,venda,7834.2,7001.8,8249.2,8,,setembro/2026
Atibaia,Jardim dos Pinheiros,casa,venda,5356.3,3808.4,6998.5,8,,setembro/2026
Atibaia,Jardim Estância Brasil,casa,venda,5714.3,4753.8,7042.3,21,,setembro/2026
Atibaia,Jardim Imperial,casa,venda,5256.4,3714.3,7368.4,5,,setembro/2026
Atibaia,Jardim Maristela,casa,venda,6315.8,5488.7,8493.4,11,,setembro/2026
Atibaia,Jardim Paraíso da Usina,casa,venda,7073.2,6146.3,8090.9,9,,setembro/2026
Atibaia,Jardim Paulista,casa,venda,5597.3,4466.9,7898.2,14,,setembro/2026
Atibaia,Jardim Suely,casa,venda,6719.5,5826.0,7665.0,7,,setembro/2026
Atibaia,Loteamento Atibaia Park I,casa,venda,7575.8,6053.8,7772.0,5,,setembro/2026
Atibaia,Nova Atibaia,casa,venda,5800.0,4687.5,5876.2,5,,setembro/2026
Atibaia,Nova Cerejeira,casa,venda,4031.7,3333.3,5741.7,13,,setembro/2026
Atibaia,Nova Gardênia,casa,venda,7976.2,7086.4,9355.3,14,,setembro/2026
Atibaia,Rio Abaixo,casa,venda,6666.7,5129.0,7063.1,19,,setembro/2026
Atibaia,Tanque,casa,venda,8007.8,5899.8,9444.5,23,,setembro/2026
Atibaia,Usina,casa,venda,5518.5,4381.5,6380.2,7,,setembro/2026
Atibaia,Vila Esperia Ou Giglio,casa,venda,7303.3,5799.0,9039.9,8,,setembro/2026
Atibaia,Caetetuba,apartamento,venda,10500.0,9500.0,11500.0,9,,setembro/2026
Atibaia,Atibaia Belvedere,terreno,venda,239.0,238.3,280.2,13,,setembro/2026
Atibaia,Jardim Estância Brasil,terreno,venda,234.7,149.6,300.0,22,,setembro/2026
Atibaia,Jardim Paulista,terreno,venda,989.2,884.1,1042.4,6,,setembro/2026
Atibaia,Loteamento Elementum,terreno,venda,1063.9,1047.2,1080.6,6,,setembro/2026
Atibaia,Portão,terreno,venda,168.1,115.8,225.7,6,,setembro/2026
Atibaia,Rio Abaixo,terreno,venda,916.7,320.7,965.6,5,,setembro/2026
Atibaia,Vitória Régia,terreno,venda,188.1,138.4,225.0,5,,setembro/2026
