cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Blumenau,Água Verde,apartamento,venda,6739.1,5090.9,8000.0,109,5.97,setembro/2026
Blumenau,Água Verde,apartamento,aluguel,33.5,27.3,40.4,90,5.97,setembro/2026
Blumenau,Badenfurt,apartamento,venda,5667.4,5072.1,6447.7,24,6.56,setembro/2026
Blumenau,Badenfurt,apartamento,aluguel,31.0,26.1,35.5,22,6.56,setembro/2026
Blumenau,Boa Vista,apartamento,venda,6781.6,6130.3,9440.5,19,6.35,setembro/2026
Blumenau,Boa Vista,apartamento,aluguel,35.9,30.6,46.7,22,6.35,setembro/2026
Blumenau,Bom Retiro,apartamento,venda,9751.3,6470.2,12217.6,28,5.13,setembro/2026
Blumenau,Bom Retiro,apartamento,aluguel,41.7,28.6,52.5,14,5.13,setembro/2026
Blumenau,Centro,apartamento,venda,10176.7,7341.9,12913.5,170,5.71,setembro/2026
Blumenau,Centro,apartamento,aluguel,48.4,35.6,66.3,132,5.71,setembro/2026
Blumenau,Escola Agrícola,apartamento,venda,7529.6,6478.6,8336.8,118,5.02,setembro/2026
Blumenau,Escola Agrícola,apartamento,aluguel,31.5,26.7,40.7,80,5.02,setembro/2026
Blumenau,Fidélis,apartamento,venda,6250.9,5102.0,6680.0,10,,setembro/2026
Blumenau,Fortaleza,apartamento,venda,7000.0,5811.4,8235.1,83,5.79,setembro/2026
Blumenau,Fortaleza,apartamento,aluguel,33.8,29.6,41.5,63,5.79,setembro/2026
Blumenau,Fortaleza Alta,apartamento,venda,6618.6,5846.9,7057.1,18,5.26,setembro/2026
Blumenau,Fortaleza Alta,apartamento,aluguel,29.0,24.0,34.2,79,5.26,setembro/2026
Blumenau,Garcia,apartamento,venda,6035.7,5054.7,7465.7,84,5.79,setembro/2026
Blumenau,Garcia,apartamento,aluguel,29.1,22.4,38.1,57,5.79,setembro/2026
Blumenau,Itoupava Central,apartamento,venda,6338.0,5289.3,7505.9,95,4.98,setembro/2026
Blumenau,Itoupava Central,apartamento,aluguel,26.3,21.9,33.0,68,4.98,setembro/2026
Blumenau,Itoupava Norte,apartamento,venda,7274.3,5943.8,8184.5,100,5.43,setembro/2026
Blumenau,Itoupava Norte,apartamento,aluguel,32.9,26.1,37.9,37,5.43,setembro/2026
Blumenau,Itoupava Seca,apartamento,venda,9334.8,7543.6,11088.4,200,5.45,setembro/2026
Blumenau,Itoupava Seca,apartamento,aluguel,42.4,32.9,53.3,132,5.45,setembro/2026
Blumenau,Itoupavazinha,apartamento,venda,5192.4,4573.6,5783.3,32,6.22,setembro/2026
Blumenau,Itoupavazinha,apartamento,aluguel,26.9,21.7,30.6,20,6.22,setembro/2026
Blumenau,Jardim,apartamento,venda,10058.2,7855.0,12803.9,222,3.85,setembro/2026
Blumenau,Jardim,apartamento,aluguel,32.3,27.8,45.7,58,3.85,setembro/2026
Blumenau,Nova Esperança,apartamento,venda,5660.4,5556.3,6048.6,7,6.0,setembro/2026
Blumenau,Nova Esperança,apartamento,aluguel,28.3,26.9,38.6,5,6.0,setembro/2026
Blumenau,Passo Manso,apartamento,venda,5254.8,4886.4,6102.7,28,7.24,setembro/2026
Blumenau,Passo Manso,apartamento,aluguel,31.7,27.8,37.5,23,7.24,setembro/2026
Blumenau,Ponta Aguda,apartamento,venda,8431.2,6152.6,11245.8,139,5.32,setembro/2026
Blumenau,Ponta Aguda,apartamento,aluguel,37.4,27.5,48.5,62,5.32,setembro/2026
Blumenau,Progresso,apartamento,aluguel,22.6,17.7,25.8,14,,setembro/2026
