cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Boa Vista,Caçari,casa,venda,6829.4,5421.9,8322.2,26,,setembro/2026
Boa Vista,Caimbé,casa,venda,2132.0,1541.5,2900.0,5,,setembro/2026
Boa Vista,Cauamé,casa,venda,4333.3,3000.0,4523.8,5,,setembro/2026
Boa Vista,Centenário,casa,venda,3930.0,3423.5,5228.8,6,,setembro/2026
Boa Vista,Centro,casa,venda,4860.4,3501.6,6361.1,6,,setembro/2026
Boa Vista,Cidade Satélite,casa,venda,3268.0,1767.4,4318.2,19,,setembro/2026
Boa Vista,Cinturão Verde,casa,venda,3408.6,2683.1,3745.6,6,,setembro/2026
Boa Vista,Jardim Floresta,casa,venda,4192.8,2286.0,6041.7,6,,setembro/2026
Boa Vista,Mecejana,casa,venda,4918.0,3458.7,5136.4,7,,setembro/2026
Boa Vista,Paraviana,casa,venda,6217.6,5285.9,7820.8,19,,setembro/2026
Boa Vista,Pricumã,casa,venda,4166.7,4072.4,5347.6,5,,setembro/2026
Boa Vista,São Francisco,casa,venda,4900.0,3481.0,6250.0,5,,setembro/2026
Boa Vista,Caçari,terreno,venda,946.8,731.2,1146.8,14,,setembro/2026
Boa Vista,Paraviana,terreno,venda,886.4,825.3,962.4,7,,setembro/2026
