cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Brusque,Águas Claras,apartamento,venda,5347.9,4860.3,5806.6,18,,setembro/2026
Brusque,Azambuja,apartamento,venda,6276.5,5571.7,7341.1,43,,setembro/2026
Brusque,Cedrinho,apartamento,venda,5152.4,4528.3,6519.2,9,,setembro/2026
Brusque,Centro,apartamento,venda,9328.1,6992.9,11690.3,136,4.81,setembro/2026
Brusque,Centro,apartamento,aluguel,37.4,29.4,44.3,21,4.81,setembro/2026
Brusque,Centro I,apartamento,venda,8409.2,6112.2,11332.3,342,4.57,setembro/2026
Brusque,Centro I,apartamento,aluguel,32.0,28.2,43.0,26,4.57,setembro/2026
Brusque,Centro II,apartamento,venda,8700.0,5604.0,10993.9,50,7.35,setembro/2026
Brusque,Centro II,apartamento,aluguel,53.3,43.1,60.2,19,7.35,setembro/2026
Brusque,Cerâmica Reis,apartamento,venda,4918.0,4785.7,5454.5,5,,setembro/2026
Brusque,Dom Joaquim,apartamento,venda,5356.1,4939.0,5926.7,34,,setembro/2026
Brusque,Guarani,apartamento,venda,7460.3,6621.4,8854.9,92,5.9,setembro/2026
Brusque,Guarani,apartamento,aluguel,36.7,29.5,39.4,15,5.9,setembro/2026
Brusque,Jardim Maluche,apartamento,venda,5437.5,3793.6,7068.8,28,6.14,setembro/2026
Brusque,Jardim Maluche,apartamento,aluguel,27.8,21.6,35.4,7,6.14,setembro/2026
Brusque,Limeira Baixa,apartamento,venda,5438.6,4848.5,6118.1,27,6.18,setembro/2026
Brusque,Limeira Baixa,apartamento,aluguel,28.0,26.4,29.5,9,6.18,setembro/2026
Brusque,Limoeiro,apartamento,venda,7033.0,6590.8,7764.5,22,5.14,setembro/2026
Brusque,Limoeiro,apartamento,aluguel,30.1,27.5,37.7,8,5.14,setembro/2026
Brusque,Nova Brasília,apartamento,venda,6709.1,5530.3,8152.5,33,9.71,setembro/2026
Brusque,Nova Brasília,apartamento,aluguel,54.3,50.0,59.3,13,9.71,setembro/2026
Brusque,Paquetá,apartamento,venda,5333.3,4893.6,5930.5,17,,setembro/2026
Brusque,Poço Fundo,apartamento,venda,4848.5,4102.6,5227.3,9,,setembro/2026
Brusque,Primeiro de Maio,apartamento,venda,6241.4,5681.8,7696.2,13,,setembro/2026
Brusque,Rio Branco,apartamento,venda,5733.2,4954.7,6895.0,66,7.66,setembro/2026
Brusque,Rio Branco,apartamento,aluguel,36.6,35.1,41.3,5,7.66,setembro/2026
Brusque,Santa Rita,apartamento,venda,8509.5,6676.8,9570.9,106,4.77,setembro/2026
Brusque,Santa Rita,apartamento,aluguel,33.8,30.0,39.9,24,4.77,setembro/2026
Brusque,Santa Terezinha,apartamento,venda,8171.7,6306.9,9639.2,140,7.99,setembro/2026
Brusque,Santa Terezinha,apartamento,aluguel,54.4,39.6,65.0,41,7.99,setembro/2026
Brusque,São Luiz,apartamento,venda,8849.7,7289.1,10712.9,180,5.15,setembro/2026
Brusque,São Luiz,apartamento,aluguel,38.0,34.3,44.5,16,5.15,setembro/2026
Brusque,São Pedro,apartamento,venda,6391.3,5624.4,7351.2,32,,setembro/2026
Brusque,Souza Cruz,apartamento,venda,7790.7,6045.9,8951.1,119,4.73,setembro/2026
Brusque,Souza Cruz,apartamento,aluguel,30.7,27.2,38.7,15,4.73,setembro/2026
Brusque,Steffen,apartamento,venda,7200.0,6156.0,8218.1,31,,setembro/2026
Brusque,Águas Claras,casa,venda,5443.1,4640.1,6178.7,72,6.97,setembro/2026
Brusque,Águas Claras,casa,aluguel,31.6,23.2,34.8,8,6.97,setembro/2026
Brusque,Azambuja,casa,venda,5349.7,4266.6,7291.7,44,,setembro/2026
Brusque,Bateas,casa,venda,4742.1,2377.0,6083.6,20,,setembro/2026
Brusque,Cedrinho,casa,venda,4800.0,4081.6,5618.8,41,,setembro/2026
Brusque,Cedro Alto,casa,venda,5359.0,5005.0,6320.5,10,,setembro/2026
Brusque,Centro,casa,venda,6799.0,5298.8,8479.7,15,7.22,setembro/2026
Brusque,Centro,casa,aluguel,40.9,21.4,72.8,5,7.22,setembro/2026
Brusque,Centro I,casa,venda,9027.9,7975.0,10529.9,8,3.64,setembro/2026
Brusque,Centro I,casa,aluguel,27.4,21.4,34.5,6,3.64,setembro/2026
Brusque,Centro II,casa,venda,5026.3,3412.5,7066.9,8,,setembro/2026
Brusque,Cerâmica Reis,casa,venda,5470.3,3862.5,8403.1,11,,setembro/2026
Brusque,Dom Joaquim,casa,venda,5551.6,4351.8,7034.1,86,6.61,setembro/2026
Brusque,Dom Joaquim,casa,aluguel,30.6,26.2,34.0,6,6.61,setembro/2026
Brusque,Guarani,casa,venda,5278.5,3726.3,6036.3,34,,setembro/2026
