cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Campinas,Alphaville,apartamento,venda,13097.3,9162.3,15909.1,5,,setembro/2026
Campinas,Bairro das Palmeiras,apartamento,venda,12671.2,11181.9,15873.2,12,,setembro/2026
Campinas,Barão Geraldo,apartamento,aluguel,46.1,34.6,50.0,9,,setembro/2026
Campinas,Bonfim,apartamento,venda,7439.8,5626.2,9268.1,46,8.23,setembro/2026
Campinas,Bonfim,apartamento,aluguel,51.0,41.8,60.8,31,8.23,setembro/2026
Campinas,Bosque,apartamento,venda,5794.7,4764.2,6867.0,88,12.82,setembro/2026
Campinas,Bosque,apartamento,aluguel,61.9,36.1,80.2,43,12.82,setembro/2026
Campinas,Botafogo,apartamento,venda,5254.5,4333.3,8131.3,87,10.53,setembro/2026
Campinas,Botafogo,apartamento,aluguel,46.1,31.8,75.0,60,10.53,setembro/2026
Campinas,Cambuí,apartamento,venda,10320.7,7168.2,14402.9,624,6.81,setembro/2026
Campinas,Cambuí,apartamento,aluguel,58.6,38.3,86.4,368,6.81,setembro/2026
Campinas,Centro,apartamento,venda,4904.8,3798.6,6554.6,290,9.79,setembro/2026
Campinas,Centro,apartamento,aluguel,40.0,28.3,65.8,159,9.79,setembro/2026
Campinas,Chácara Cneo,apartamento,venda,9021.7,5185.2,10303.0,5,,setembro/2026
Campinas,Chácara da Barra,apartamento,venda,10000.0,5506.0,12605.2,44,4.84,setembro/2026
Campinas,Chácara da Barra,apartamento,aluguel,40.3,34.1,48.6,7,4.84,setembro/2026
Campinas,Chácara Primavera,apartamento,venda,8782.2,8134.1,10506.2,14,6.38,setembro/2026
Campinas,Chácara Primavera,apartamento,aluguel,46.7,41.7,54.7,12,6.38,setembro/2026
Campinas,Cidade Satélite Íris,apartamento,venda,5000.0,3600.0,6786.4,15,10.08,setembro/2026
Campinas,Cidade Satélite Íris,apartamento,aluguel,42.0,36.0,45.5,8,10.08,setembro/2026
Campinas,Cidade Universitária,apartamento,aluguel,52.1,45.4,61.0,20,,setembro/2026
Campinas,Conjunto Habitacional Edivaldo Antônio Orsi,apartamento,venda,2955.6,2719.2,3128.7,6,,setembro/2026
Campinas,Conjunto Residencial Parque Bandeirantes,apartamento,venda,3928.6,3798.4,4350.1,8,,setembro/2026
Campinas,Conjunto Residencial Souza Queiroz,apartamento,venda,3321.1,3192.0,3489.3,8,,setembro/2026
Campinas,Dic II (Conj Habitacional Doutor Antônio Mendonça de Barros),apartamento,venda,3157.3,2974.1,3349.4,6,,setembro/2026
Campinas,Dic III (Conjunto Habitacional Ruy Novaes),apartamento,venda,3076.9,3061.2,3272.7,5,,setembro/2026
Campinas,Dic VI (Conjunto Habitacional Santo Dias Silva),apartamento,venda,3181.8,3076.9,3461.5,5,,setembro/2026
Campinas,Fazenda São Quirino,apartamento,venda,16028.6,14201.4,17559.4,22,6.1,setembro/2026
Campinas,Fazenda São Quirino,apartamento,aluguel,81.5,65.3,94.9,12,6.1,setembro/2026
Campinas,Fundação da Casa Popular,apartamento,venda,7840.9,6943.6,8182.6,10,8.17,setembro/2026
Campinas,Fundação da Casa Popular,apartamento,aluguel,53.4,48.4,59.4,11,8.17,setembro/2026
Campinas,Galleria,apartamento,venda,12615.7,11095.9,16236.3,6,,setembro/2026
Campinas,Grupo Residencial do Iapc,apartamento,venda,9863.6,7672.2,12279.8,6,,setembro/2026
Campinas,Guanabara,apartamento,venda,11263.2,10928.4,13084.1,8,,setembro/2026
Campinas,Jardim Alto da Barra,apartamento,venda,11420.6,10041.3,12525.3,6,,setembro/2026
Campinas,Jardim Amazonas,apartamento,venda,5360.8,4639.2,5937.5,13,,setembro/2026
Campinas,Jardim Andorinhas,apartamento,venda,4094.6,3574.4,4482.8,8,,setembro/2026
Campinas,Jardim Antonio Von Zuben,apartamento,venda,5642.4,5217.8,6334.8,18,10.08,setembro/2026
Campinas,Jardim Antonio Von Zuben,apartamento,aluguel,47.4,34.4,50.2,6,10.08,setembro/2026
Campinas,Jardim Aurélia,apartamento,venda,8181.8,5205.1,9709.8,19,6.89,setembro/2026
Campinas,Jardim Aurélia,apartamento,aluguel,47.0,38.9,54.1,19,6.89,setembro/2026
Campinas,Jardim Baronesa,apartamento,venda,8913.0,8709.1,9000.0,5,,setembro/2026
Campinas,Jardim Bela Vista,apartamento,venda,4083.3,3863.6,4479.2,6,,setembro/2026
Campinas,Jardim Belo Horizonte,apartamento,venda,14951.1,12917.4,16976.7,28,5.27,setembro/2026
Campinas,Jardim Belo Horizonte,apartamento,aluguel,65.6,60.5,69.2,21,5.27,setembro/2026
Campinas,Jardim Boa Esperança,apartamento,aluguel,41.7,40.3,57.4,9,,setembro/2026
Campinas,Jardim Brasil,apartamento,venda,11734.7,9802.6,12694.1,27,6.39,setembro/2026
Campinas,Jardim Brasil,apartamento,aluguel,62.5,59.1,69.6,8,6.39,setembro/2026
Campinas,Jardim Campos Elíseos,apartamento,venda,4040.8,3664.1,6255.2,20,8.43,setembro/2026
Campinas,Jardim Campos Elíseos,apartamento,aluguel,28.4,24.5,42.5,10,8.43,setembro/2026
Campinas,Jardim Capivari,apartamento,venda,5376.4,3768.6,5702.7,12,,setembro/2026
Campinas,Jardim Chapadão,apartamento,venda,6578.9,4591.8,9510.9,33,6.48,setembro/2026
Campinas,Jardim Chapadão,apartamento,aluguel,35.5,24.5,42.8,14,6.48,setembro/2026
Campinas,Jardim Cristina,apartamento,venda,3925.0,3913.0,4351.9,5,,setembro/2026
Campinas,Jardim das Bandeiras,apartamento,venda,3964.3,3477.3,4484.6,12,8.87,setembro/2026
Campinas,Jardim das Bandeiras,apartamento,aluguel,29.3,26.6,31.6,11,8.87,setembro/2026
Campinas,Jardim das Cerejeiras,apartamento,venda,8666.7,7916.7,9464.3,9,6.94,setembro/2026
Campinas,Jardim das Cerejeiras,apartamento,aluguel,50.1,46.8,54.8,10,6.94,setembro/2026
Campinas,Jardim das Paineiras,apartamento,venda,9066.7,7032.8,14450.4,31,5.68,setembro/2026
Campinas,Jardim das Paineiras,apartamento,aluguel,42.9,39.4,50.9,9,5.68,setembro/2026
Campinas,Jardim das Palmeiras,apartamento,venda,10406.4,10255.8,10989.0,5,,setembro/2026
Campinas,Jardim do Lago,apartamento,venda,6070.0,5440.5,7079.3,24,7.12,setembro/2026
Campinas,Jardim do Lago,apartamento,aluguel,36.0,33.6,37.2,6,7.12,setembro/2026
Campinas,Jardim do Lago Continuação,apartamento,venda,5400.0,4711.1,5693.0,21,6.49,setembro/2026
Campinas,Jardim do Lago Continuação,apartamento,aluguel,29.2,27.8,32.8,6,6.49,setembro/2026
Campinas,Jardim do Lago II,apartamento,venda,5254.2,5052.7,5643.8,7,,setembro/2026
