cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Campo Grande,Aero Rancho,casa,venda,1777.8,1468.9,4615.4,5,,setembro/2026
Campo Grande,Água Limpa Park,casa,venda,4601.8,4090.0,5666.7,29,,setembro/2026
Campo Grande,Alphaville,casa,venda,11466.9,8970.1,12775.3,14,,setembro/2026
Campo Grande,Alphaville 2,casa,venda,11220.7,10500.0,11900.0,9,,setembro/2026
Campo Grande,Alphaville 4,casa,venda,11492.0,11068.2,11790.7,7,,setembro/2026
Campo Grande,Alphaville Campo Grande 3,casa,venda,10666.7,10554.3,13629.9,5,,setembro/2026
Campo Grande,Alphaville II,casa,venda,12371.1,11612.9,13170.1,5,,setembro/2026
Campo Grande,Alves Pereira,casa,venda,2647.1,2366.7,3532.1,7,,setembro/2026
Campo Grande,Amambaí,casa,venda,3478.8,2331.2,4480.5,22,7.31,setembro/2026
Campo Grande,Amambaí,casa,aluguel,21.2,10.3,33.4,5,7.31,setembro/2026
Campo Grande,Arnaldo Estevão Figueiredo,casa,venda,3200.0,3007.9,3624.8,5,,setembro/2026
Campo Grande,Bairro Seminário,casa,venda,3555.6,2777.8,4985.9,15,,setembro/2026
Campo Grande,Bom Retiro,casa,venda,2800.0,2601.0,4768.5,7,,setembro/2026
Campo Grande,Cabreúva,casa,venda,3157.9,2916.7,4666.7,13,,setembro/2026
Campo Grande,Caiçara,casa,venda,2956.5,2619.0,4687.5,13,,setembro/2026
Campo Grande,Carandá Bosque,casa,venda,6062.5,4976.9,7656.2,57,5.03,setembro/2026
Campo Grande,Carandá Bosque,casa,aluguel,25.4,21.1,30.6,6,5.03,setembro/2026
Campo Grande,Centenário,casa,venda,3031.2,1949.1,4595.2,6,,setembro/2026
Campo Grande,Centro,casa,venda,5844.8,3384.0,7921.4,24,5.07,setembro/2026
Campo Grande,Centro,casa,aluguel,24.7,21.2,28.1,12,5.07,setembro/2026
Campo Grande,Chácara Cachoeira,casa,venda,7066.4,5327.8,8285.8,34,6.79,setembro/2026
Campo Grande,Chácara Cachoeira,casa,aluguel,40.0,32.6,47.1,11,6.79,setembro/2026
Campo Grande,Cidade Jardim,casa,venda,6598.4,5490.8,7518.7,12,,setembro/2026
Campo Grande,Conjunto Aero Rancho,casa,venda,2188.7,2033.7,2943.4,16,,setembro/2026
Campo Grande,Conjunto José Abrão,casa,venda,2594.3,2389.4,3859.7,7,,setembro/2026
Campo Grande,Conjunto Parati II,casa,venda,2240.0,2083.3,4375.0,5,,setembro/2026
Campo Grande,Conjunto Residencial Estrela do Sul,casa,venda,2518.8,2228.9,3781.5,9,,setembro/2026
Campo Grande,Conjunto Residencial Octavio Pécora,casa,venda,2000.0,1325.0,4005.2,6,,setembro/2026
Campo Grande,Conjunto Residencial Recanto dos Rouxinóis,casa,venda,2277.8,2046.6,4255.6,10,,setembro/2026
Campo Grande,Conjunto União II,casa,venda,2600.3,1980.0,2946.4,5,,setembro/2026
Campo Grande,Coophafé,casa,aluguel,26.7,21.3,29.9,5,,setembro/2026
Campo Grande,Coophasul,casa,venda,3275.5,2715.6,3939.3,10,,setembro/2026
Campo Grande,Coophatrabalho,casa,venda,2563.2,1900.0,4127.0,13,,setembro/2026
Campo Grande,Coophavila II,casa,venda,3746.8,2525.1,4774.4,6,,setembro/2026
Campo Grande,Coronel Antonino,casa,venda,4650.3,3423.4,5165.5,24,,setembro/2026
Campo Grande,Figueiras do Parque,casa,venda,4348.4,4210.6,4574.3,6,,setembro/2026
Campo Grande,Guanandi,casa,venda,4027.8,2367.4,4914.6,34,,setembro/2026
Campo Grande,Guanandi II,casa,venda,3304.3,2325.1,4371.4,14,,setembro/2026
Campo Grande,Itanhangá Park,casa,venda,7172.1,5528.4,7915.1,10,,setembro/2026
Campo Grande,Jardim Aero Rancho,casa,venda,3960.3,2886.9,4750.0,32,,setembro/2026
Campo Grande,Jardim Aeroporto,casa,venda,3137.0,2466.7,3739.7,11,,setembro/2026
Campo Grande,Jardim Alto São Francisco,casa,venda,4468.4,3558.9,4895.8,12,,setembro/2026
Campo Grande,Jardim Anache,casa,venda,3466.7,1718.8,4300.0,21,,setembro/2026
Campo Grande,Jardim Autonomista,casa,venda,5792.1,4873.8,7884.6,18,,setembro/2026
Campo Grande,Jardim Auxiliadora,casa,venda,5107.1,3575.0,5979.9,10,,setembro/2026
Campo Grande,Jardim Batistão,casa,venda,4056.6,3174.0,4895.0,7,,setembro/2026
Campo Grande,Jardim Bela Vista,casa,venda,4802.3,4497.5,6679.4,13,,setembro/2026
Campo Grande,Jardim Campo Alto,casa,venda,3887.4,2537.3,5368.7,8,,setembro/2026
Campo Grande,Jardim Canguru,casa,venda,3135.6,1250.0,3250.0,5,,setembro/2026
Campo Grande,Jardim Centenário,casa,venda,3529.2,2986.7,4433.0,12,,setembro/2026
Campo Grande,Jardim Centro Oeste,casa,venda,3395.8,2031.2,3863.1,6,,setembro/2026
Campo Grande,Jardim Colibrí,casa,venda,2500.0,1865.1,2939.1,11,,setembro/2026
Campo Grande,Jardim Colúmbia,casa,venda,4047.4,1956.8,4581.0,28,,setembro/2026
Campo Grande,Jardim das Cerejeiras,casa,venda,4150.2,2117.3,4434.0,8,,setembro/2026
Campo Grande,Jardim das Nações,casa,venda,4960.9,3448.6,5930.8,20,,setembro/2026
Campo Grande,Jardim do Zé Pereira,casa,venda,2210.5,1900.0,2480.6,5,,setembro/2026
Campo Grande,Jardim dos Estados,casa,venda,8803.8,5843.9,9781.4,11,,setembro/2026
Campo Grande,Jardim Imá,casa,venda,3380.8,2536.1,4333.3,8,,setembro/2026
Campo Grande,Jardim Itália,casa,venda,2000.0,1644.2,3158.9,7,,setembro/2026
Campo Grande,Jardim Itamaracá,casa,venda,4666.7,3500.0,5333.3,13,,setembro/2026
Campo Grande,Jardim Itatiaia,casa,venda,3531.4,2749.3,5082.3,19,,setembro/2026
Campo Grande,Jardim Jacy,casa,venda,4800.0,2763.2,5836.8,13,,setembro/2026
Campo Grande,Jardim Jatobá,casa,venda,4669.8,3555.6,4709.0,5,,setembro/2026
Campo Grande,Jardim Jóquei Club,casa,venda,3576.6,2433.7,5020.8,11,,setembro/2026
Campo Grande,Jardim Leblon,casa,venda,4242.5,2864.2,4975.5,18,,setembro/2026
Campo Grande,Jardim Los Angeles,casa,venda,3482.1,1929.8,4021.7,17,,setembro/2026
Campo Grande,Jardim Mansur,casa,venda,4362.3,3019.1,6159.6,12,,setembro/2026
Campo Grande,Jardim Moema,casa,venda,3541.4,2023.2,5362.1,6,,setembro/2026
Campo Grande,Jardim Monte Líbano,casa,venda,5651.7,3644.2,6240.9,19,,setembro/2026
Campo Grande,Jardim Montevidéu,casa,venda,5452.2,4162.0,8889.4,62,,setembro/2026
Campo Grande,Jardim Monumento,casa,venda,3792.3,2633.9,4632.1,14,,setembro/2026
Campo Grande,Jardim Morenão,casa,venda,2415.2,2179.2,3626.6,16,,setembro/2026
