cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Chapecó,Araras,apartamento,aluguel,35.2,33.5,42.7,5,,setembro/2026
Chapecó,Bela Vista,apartamento,venda,4509.1,4224.9,5717.2,14,12.88,setembro/2026
Chapecó,Bela Vista,apartamento,aluguel,48.4,37.9,50.7,5,12.88,setembro/2026
Chapecó,Bom Pastor,apartamento,venda,6365.2,4868.0,7647.1,9,7.13,setembro/2026
Chapecó,Bom Pastor,apartamento,aluguel,37.8,33.5,44.1,11,7.13,setembro/2026
Chapecó,Bom Retiro,apartamento,venda,7387.6,6563.2,8528.5,14,6.84,setembro/2026
Chapecó,Bom Retiro,apartamento,aluguel,42.1,38.6,44.5,8,6.84,setembro/2026
Chapecó,Centro,apartamento,venda,7312.2,5455.1,9545.5,573,5.63,setembro/2026
Chapecó,Centro,apartamento,aluguel,34.3,25.6,46.4,277,5.63,setembro/2026
Chapecó,Desbravador,apartamento,venda,5668.9,4724.8,6537.7,7,,setembro/2026
Chapecó,Dom Gerônimo,apartamento,aluguel,41.5,41.2,46.7,5,,setembro/2026
Chapecó,Efapi,apartamento,venda,5521.8,4358.2,6844.6,44,7.43,setembro/2026
Chapecó,Efapi,apartamento,aluguel,34.2,27.9,38.5,53,7.43,setembro/2026
Chapecó,Esplanada,apartamento,venda,5987.0,4944.7,8829.7,30,7.14,setembro/2026
Chapecó,Esplanada,apartamento,aluguel,35.6,30.8,43.2,13,7.14,setembro/2026
Chapecó,Jardim América,apartamento,venda,6730.1,6173.9,7600.0,5,6.33,setembro/2026
Chapecó,Jardim América,apartamento,aluguel,35.5,27.5,37.9,7,6.33,setembro/2026
Chapecó,Jardim Itália,apartamento,venda,7615.6,5711.6,9540.8,116,6.18,setembro/2026
Chapecó,Jardim Itália,apartamento,aluguel,39.2,30.9,47.2,54,6.18,setembro/2026
Chapecó,Líder,apartamento,venda,6775.9,5700.0,7739.1,25,5.9,setembro/2026
Chapecó,Líder,apartamento,aluguel,33.3,27.5,36.4,18,5.9,setembro/2026
Chapecó,Maria Goretti,apartamento,venda,7741.3,6196.6,9820.0,51,5.97,setembro/2026
Chapecó,Maria Goretti,apartamento,aluguel,38.5,26.2,54.4,15,5.97,setembro/2026
Chapecó,Palmital,apartamento,venda,6982.1,5460.1,8173.6,24,6.0,setembro/2026
Chapecó,Palmital,apartamento,aluguel,34.9,28.6,40.2,21,6.0,setembro/2026
Chapecó,Paraíso,apartamento,venda,5157.9,4310.3,6779.7,37,8.05,setembro/2026
Chapecó,Paraíso,apartamento,aluguel,34.6,29.3,41.0,21,8.05,setembro/2026
Chapecó,Parque das Palmeiras,apartamento,venda,4681.3,4220.1,4898.0,6,9.07,setembro/2026
Chapecó,Parque das Palmeiras,apartamento,aluguel,35.4,29.7,38.9,9,9.07,setembro/2026
Chapecó,Passo dos Fortes,apartamento,venda,7008.8,5429.8,8244.0,54,6.68,setembro/2026
Chapecó,Passo dos Fortes,apartamento,aluguel,39.0,32.2,45.6,32,6.68,setembro/2026
Chapecó,Pinheirinho,apartamento,venda,5173.6,4737.8,5767.6,23,8.35,setembro/2026
Chapecó,Pinheirinho,apartamento,aluguel,36.0,30.5,40.8,22,8.35,setembro/2026
Chapecó,Presidente Médici,apartamento,venda,6793.9,5238.0,8762.3,151,6.39,setembro/2026
Chapecó,Presidente Médici,apartamento,aluguel,36.2,28.1,47.4,55,6.39,setembro/2026
Chapecó,Saic,apartamento,venda,5870.6,5047.2,7690.3,7,7.46,setembro/2026
Chapecó,Saic,apartamento,aluguel,36.5,29.3,43.9,6,7.46,setembro/2026
Chapecó,Santa Maria,apartamento,venda,6420.7,5625.0,7549.3,56,6.78,setembro/2026
Chapecó,Santa Maria,apartamento,aluguel,36.3,30.7,44.8,34,6.78,setembro/2026
Chapecó,Santa Paulina,apartamento,venda,6140.4,4717.3,7104.2,11,7.64,setembro/2026
Chapecó,Santa Paulina,apartamento,aluguel,39.1,35.5,43.5,15,7.64,setembro/2026
Chapecó,Santo Antônio,apartamento,venda,5482.9,3816.8,6268.4,15,6.33,setembro/2026
Chapecó,Santo Antônio,apartamento,aluguel,28.9,26.4,31.8,12,6.33,setembro/2026
Chapecó,São Cristóvão,apartamento,venda,7457.2,5600.6,8579.6,72,5.34,setembro/2026
Chapecó,São Cristóvão,apartamento,aluguel,33.2,27.1,45.6,70,5.34,setembro/2026
Chapecó,São Lucas,apartamento,venda,5106.4,4409.8,6711.0,7,7.14,setembro/2026
Chapecó,São Lucas,apartamento,aluguel,30.4,26.9,33.8,6,7.14,setembro/2026
Chapecó,Seminário,apartamento,venda,5073.3,2780.0,5961.2,12,,setembro/2026
Chapecó,Universitário,apartamento,venda,6359.6,5524.9,7288.4,23,5.57,setembro/2026
Chapecó,Universitário,apartamento,aluguel,29.5,27.7,34.6,14,5.57,setembro/2026
Chapecó,Vederti,apartamento,venda,5421.5,5298.5,5517.9,5,,setembro/2026
Chapecó,Vila Real,apartamento,venda,5926.9,4956.8,6618.0,22,5.95,setembro/2026
Chapecó,Vila Real,apartamento,aluguel,29.4,25.1,38.9,10,5.95,setembro/2026
Chapecó,Araras,casa,venda,4672.3,3664.7,7143.2,24,,setembro/2026
Chapecó,Autódromo,casa,venda,5889.0,4258.0,6491.3,15,,setembro/2026
Chapecó,Bela Vista,casa,venda,4479.5,3673.1,6659.0,19,8.04,setembro/2026
Chapecó,Bela Vista,casa,aluguel,30.0,26.7,35.7,10,8.04,setembro/2026
Chapecó,Belvedere,casa,venda,4256.0,2978.0,6142.2,8,,setembro/2026
Chapecó,Centro,casa,venda,11095.5,6111.1,16815.2,17,4.08,setembro/2026
Chapecó,Centro,casa,aluguel,37.7,27.2,47.4,20,4.08,setembro/2026
Chapecó,Cristo Rei,casa,venda,3769.2,3692.3,5213.0,5,,setembro/2026
Chapecó,Desbravador,casa,venda,5416.7,3846.2,6781.6,85,,setembro/2026
Chapecó,Efapi,casa,venda,5247.5,3718.4,6583.6,115,6.06,setembro/2026
