cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Criciúma,Ana Maria,apartamento,venda,4890.7,4340.2,5631.9,24,,setembro/2026
Criciúma,Argentina,apartamento,venda,3966.1,3891.3,4519.2,5,,setembro/2026
Criciúma,Bosque do Repouso,apartamento,aluguel,32.4,30.3,34.9,5,,setembro/2026
Criciúma,Ceará,apartamento,venda,5809.0,5300.2,7122.6,16,,setembro/2026
Criciúma,Centro,apartamento,venda,7494.5,5456.0,9318.6,345,4.76,setembro/2026
Criciúma,Centro,apartamento,aluguel,29.7,21.7,36.5,46,4.76,setembro/2026
Criciúma,Comerciário,apartamento,venda,6232.0,4744.5,8295.1,92,6.39,setembro/2026
Criciúma,Comerciário,apartamento,aluguel,33.2,27.7,36.3,10,6.39,setembro/2026
Criciúma,Cruzeiro do Sul,apartamento,venda,10286.5,5923.3,13084.4,30,,setembro/2026
Criciúma,Imigrantes,apartamento,venda,5605.7,5234.4,6243.7,8,,setembro/2026
Criciúma,Linha Batista,apartamento,venda,4669.2,4049.7,4866.6,12,,setembro/2026
Criciúma,Michel,apartamento,venda,7045.5,5801.6,9301.1,49,,setembro/2026
Criciúma,Mina do Mato,apartamento,venda,5304.1,4653.5,6250.0,6,,setembro/2026
Criciúma,Mina União,apartamento,venda,4729.6,4241.4,5002.2,13,,setembro/2026
Criciúma,Monte Castelo,apartamento,venda,4056.6,3900.0,4117.6,5,,setembro/2026
Criciúma,Operária Nova,apartamento,venda,3804.3,3454.6,5349.9,7,,setembro/2026
Criciúma,Pinheirinho,apartamento,venda,5416.7,4698.4,6853.2,19,6.36,setembro/2026
Criciúma,Pinheirinho,apartamento,aluguel,28.7,28.6,31.7,5,6.36,setembro/2026
Criciúma,Pio Corrêa,apartamento,venda,7617.0,5725.7,9266.7,40,,setembro/2026
Criciúma,Próspera,apartamento,venda,7114.2,6268.7,9035.9,32,5.58,setembro/2026
Criciúma,Próspera,apartamento,aluguel,33.1,27.4,41.1,7,5.58,setembro/2026
Criciúma,Quarta Linha,apartamento,venda,3776.7,3360.6,3928.2,7,,setembro/2026
Criciúma,Rio Maina,apartamento,venda,6158.6,5281.1,6884.1,20,,setembro/2026
Criciúma,Santa Augusta,apartamento,venda,4905.5,4496.4,5735.9,12,9.3,setembro/2026
Criciúma,Santa Augusta,apartamento,aluguel,38.0,34.9,44.3,5,9.3,setembro/2026
Criciúma,Santa Bárbara,apartamento,venda,6875.0,5560.2,8525.3,53,4.64,setembro/2026
Criciúma,Santa Bárbara,apartamento,aluguel,26.6,25.0,26.9,5,4.64,setembro/2026
Criciúma,Santa Catarina,apartamento,venda,6185.4,5797.5,7711.4,16,,setembro/2026
Criciúma,Santa Luzia,apartamento,aluguel,26.9,26.3,36.3,5,,setembro/2026
Criciúma,Santo Antônio,apartamento,venda,5370.2,4408.6,6080.4,20,5.77,setembro/2026
Criciúma,Santo Antônio,apartamento,aluguel,25.8,23.3,27.3,5,5.77,setembro/2026
Criciúma,São Cristóvão,apartamento,venda,6028.9,4882.8,7628.2,17,,setembro/2026
Criciúma,São Francisco,apartamento,venda,5094.3,4952.6,5751.3,11,6.76,setembro/2026
Criciúma,São Francisco,apartamento,aluguel,28.7,27.5,33.9,8,6.76,setembro/2026
Criciúma,São Luiz,apartamento,venda,5714.3,4117.6,6570.8,25,6.72,setembro/2026
Criciúma,São Luiz,apartamento,aluguel,32.0,28.7,33.0,9,6.72,setembro/2026
Criciúma,Universitário,apartamento,venda,5019.1,4344.7,5921.1,12,6.77,setembro/2026
Criciúma,Universitário,apartamento,aluguel,28.3,25.4,34.1,11,6.77,setembro/2026
Criciúma,Vera Cruz,apartamento,venda,6976.0,5800.3,8818.4,16,,setembro/2026
Criciúma,Vila Floresta II,apartamento,venda,5218.8,4912.4,5910.4,9,,setembro/2026
Criciúma,Ana Maria,casa,venda,2777.8,1989.5,3482.9,21,,setembro/2026
Criciúma,Archimedes Naspolini,casa,venda,5081.6,4179.3,5151.5,5,,setembro/2026
Criciúma,Argentina,casa,venda,4637.7,2350.0,5863.4,11,,setembro/2026
Criciúma,Bosque do Repouso,casa,venda,6699.7,4741.2,7902.1,9,,setembro/2026
Criciúma,Ceará,casa,venda,3051.1,2557.3,5037.4,10,,setembro/2026
Criciúma,Centro,casa,venda,5019.3,2879.2,5911.7,23,8.63,setembro/2026
Criciúma,Centro,casa,aluguel,36.1,21.1,57.9,12,8.63,setembro/2026
Criciúma,Cidade Mineira Nova,casa,venda,3303.3,2775.6,4854.2,8,,setembro/2026
Criciúma,Cidade Mineira Velha,casa,venda,2982.5,2410.8,3063.6,5,,setembro/2026
Criciúma,Comerciário,casa,venda,4336.3,2444.4,6380.7,9,,setembro/2026
Criciúma,Cristo Redentor,casa,venda,2400.0,1606.1,2825.0,5,,setembro/2026
Criciúma,Cruzeiro do Sul,casa,venda,3666.7,2812.5,5544.9,17,,setembro/2026
Criciúma,Demboski,casa,venda,3239.9,3000.0,3562.5,6,,setembro/2026
Criciúma,Fábio Silva,casa,venda,3027.2,1881.4,5045.6,11,,setembro/2026
Criciúma,Imigrantes,casa,venda,3630.1,3500.0,3835.6,5,,setembro/2026
Criciúma,Jardim Angélica,casa,venda,3778.4,2976.2,5761.9,25,,setembro/2026
Criciúma,Jardim Maristela,casa,venda,4441.3,3263.9,5351.2,22,,setembro/2026
Criciúma,Jardim Montevidéu,casa,venda,2848.1,2388.9,5904.2,5,,setembro/2026
Criciúma,Laranjinha,casa,venda,3794.0,3212.7,4650.4,17,,setembro/2026
