cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Cuiabá,Alphaville I,casa,venda,8835.0,8043.1,10340.6,5,,setembro/2026
Cuiabá,Alphaville II,casa,venda,11689.7,10649.6,12434.5,7,,setembro/2026
Cuiabá,Altos do Coxipó,casa,venda,3262.7,2496.3,3816.4,19,,setembro/2026
Cuiabá,Alvorada,casa,venda,3136.6,2539.1,5336.5,10,,setembro/2026
Cuiabá,Araés,casa,venda,4014.6,2700.0,5000.0,25,15.27,setembro/2026
Cuiabá,Araés,casa,aluguel,51.1,22.2,57.7,5,15.27,setembro/2026
Cuiabá,Areão,casa,venda,3366.7,2148.7,4803.0,26,,setembro/2026
Cuiabá,Bandeirantes,casa,venda,2328.6,2046.9,2745.5,12,,setembro/2026
Cuiabá,Barra do Pari,casa,venda,4136.3,3155.3,5253.2,17,,setembro/2026
Cuiabá,Baú,casa,venda,2857.1,2175.3,3418.2,5,,setembro/2026
Cuiabá,Bela Marina,casa,venda,3207.5,1976.0,3857.4,7,,setembro/2026
Cuiabá,Bela Vista,casa,venda,4013.5,2775.8,4190.6,6,,setembro/2026
Cuiabá,Boa Esperança,casa,venda,2766.3,2083.8,3840.5,98,7.03,setembro/2026
Cuiabá,Boa Esperança,casa,aluguel,16.2,15.6,19.1,12,7.03,setembro/2026
Cuiabá,Bosque da Saúde,casa,venda,5611.2,3707.5,6611.6,8,,setembro/2026
Cuiabá,Brisas,casa,venda,10030.7,8923.2,11010.5,6,,setembro/2026
Cuiabá,Canelas,casa,venda,3686.6,3370.1,3822.1,6,,setembro/2026
Cuiabá,Carumbé,casa,venda,2535.7,2500.0,2688.3,6,,setembro/2026
Cuiabá,Centro,casa,venda,5421.7,2762.5,7550.8,15,,setembro/2026
Cuiabá,Centro Norte,casa,venda,3611.1,2423.4,4693.1,35,7.54,setembro/2026
Cuiabá,Centro Norte,casa,aluguel,22.7,20.1,30.2,6,7.54,setembro/2026
Cuiabá,Centro Político Administrativo,casa,venda,5330.9,3480.5,7946.2,8,,setembro/2026
Cuiabá,Centro Sul,casa,venda,3000.0,2847.9,3687.8,17,,setembro/2026
Cuiabá,Chácara dos Pinheiros,casa,venda,3875.0,3187.5,5958.8,12,,setembro/2026
Cuiabá,Cidade Alta,casa,venda,3474.1,2536.4,4795.2,32,9.67,setembro/2026
Cuiabá,Cidade Alta,casa,aluguel,28.0,24.1,35.7,8,9.67,setembro/2026
Cuiabá,Cidade Verde,casa,venda,3900.0,2921.6,4555.2,11,,setembro/2026
Cuiabá,Cohab São Gonçalo,casa,venda,2393.3,1300.0,3247.9,5,,setembro/2026
Cuiabá,Consil,casa,venda,2875.8,2592.6,3200.0,9,,setembro/2026
Cuiabá,Coophamil,casa,venda,2027.8,1739.8,2291.7,10,,setembro/2026
Cuiabá,Coophema,casa,venda,4230.3,3145.0,4970.0,24,,setembro/2026
Cuiabá,Coxipó,casa,venda,4517.7,3029.4,5609.1,14,,setembro/2026
Cuiabá,Coxipó da Ponte,casa,venda,5000.0,4229.3,6237.5,9,,setembro/2026
Cuiabá,Cpa I,casa,venda,1933.0,1697.9,3317.3,11,,setembro/2026
Cuiabá,Cpa II,casa,venda,2372.9,1825.0,3235.3,37,,setembro/2026
Cuiabá,Cpa III,casa,venda,2183.4,1882.4,2572.3,9,,setembro/2026
Cuiabá,Cpa IV,casa,venda,2651.5,2011.9,3113.5,15,,setembro/2026
Cuiabá,Cristo Rei,casa,venda,2819.8,2225.0,5000.0,5,,setembro/2026
Cuiabá,Despraiado,casa,venda,6416.7,4583.3,10555.6,75,,setembro/2026
Cuiabá,Distrito Industrial,casa,venda,3424.1,2210.9,4250.2,71,,setembro/2026
Cuiabá,Dom Aquino,casa,venda,3366.7,2712.7,4628.8,20,,setembro/2026
Cuiabá,Dom Bosco,casa,venda,4398.1,2666.7,5882.4,17,,setembro/2026
Cuiabá,Doutor Fábio Leite,casa,venda,2198.6,1284.1,2568.1,6,,setembro/2026
Cuiabá,Duque de Caxias,casa,venda,3529.4,3234.6,4266.9,7,,setembro/2026
Cuiabá,Florais do Parque,casa,venda,11145.4,10042.2,12601.8,14,,setembro/2026
Cuiabá,Florais do Valle,casa,venda,11645.6,10746.9,11991.7,13,,setembro/2026
Cuiabá,Goiabeiras,casa,venda,3935.6,2593.0,4605.1,20,,setembro/2026
Cuiabá,Grande Terceiro,casa,venda,2461.5,1708.0,3258.0,19,,setembro/2026
Cuiabá,Jardim Bom Clima,casa,venda,5333.3,4250.0,6642.8,13,,setembro/2026
Cuiabá,Jardim Califórnia,casa,venda,3414.6,2491.7,4696.1,69,,setembro/2026
Cuiabá,Jardim Comodoro,casa,venda,2620.4,1842.3,3266.9,14,,setembro/2026
Cuiabá,Jardim Cuiabá,casa,venda,4736.0,3057.8,5721.7,34,9.48,setembro/2026
Cuiabá,Jardim Cuiabá,casa,aluguel,37.4,27.3,52.2,10,9.48,setembro/2026
Cuiabá,Jardim das Américas,casa,venda,5573.1,4224.4,7600.0,21,7.21,setembro/2026
Cuiabá,Jardim das Américas,casa,aluguel,33.5,25.1,45.2,8,7.21,setembro/2026
Cuiabá,Jardim das Palmeiras,casa,venda,3939.4,2954.5,5722.9,13,,setembro/2026
Cuiabá,Jardim dos Ipês,casa,venda,1633.3,1227.8,3098.6,7,,setembro/2026
Cuiabá,Jardim Europa,casa,venda,2340.0,1904.4,3032.7,31,,setembro/2026
Cuiabá,Jardim Florianópolis,casa,venda,5541.7,5040.0,6875.0,9,,setembro/2026
Cuiabá,Jardim Gramado,casa,venda,3800.0,1561.8,4793.7,15,,setembro/2026
