cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Florianópolis,Abraão,apartamento,venda,9382.7,7889.3,10865.3,47,5.4,setembro/2026
Florianópolis,Abraão,apartamento,aluguel,42.2,31.8,48.5,28,5.4,setembro/2026
Florianópolis,Agronômica,apartamento,venda,13228.6,10271.1,17193.9,158,6.56,setembro/2026
Florianópolis,Agronômica,apartamento,aluguel,72.3,52.1,87.5,73,6.56,setembro/2026
Florianópolis,Balneário,apartamento,venda,9101.1,7197.4,11803.5,63,6.01,setembro/2026
Florianópolis,Balneário,apartamento,aluguel,45.6,33.0,55.9,22,6.01,setembro/2026
Florianópolis,Barra da Lagoa,apartamento,venda,13117.3,11868.9,17027.0,29,4.78,setembro/2026
Florianópolis,Barra da Lagoa,apartamento,aluguel,52.2,48.9,62.9,7,4.78,setembro/2026
Florianópolis,Bom Abrigo,apartamento,venda,9420.3,7541.1,11754.0,31,7.77,setembro/2026
Florianópolis,Bom Abrigo,apartamento,aluguel,61.0,44.8,68.3,10,7.77,setembro/2026
Florianópolis,Cachoeira do Bom Jesus,apartamento,venda,12245.5,9091.5,14783.0,116,4.9,setembro/2026
Florianópolis,Cachoeira do Bom Jesus,apartamento,aluguel,50.0,43.8,56.6,31,4.9,setembro/2026
Florianópolis,Cacupé,apartamento,venda,15000.0,11900.5,18019.6,87,6.58,setembro/2026
Florianópolis,Cacupé,apartamento,aluguel,82.2,70.2,92.9,13,6.58,setembro/2026
Florianópolis,Campeche,apartamento,venda,15524.0,12259.6,20385.5,242,5.4,setembro/2026
Florianópolis,Campeche,apartamento,aluguel,69.9,56.3,90.3,135,5.4,setembro/2026
Florianópolis,Canasvieiras,apartamento,venda,11248.5,9026.3,13640.4,196,4.98,setembro/2026
Florianópolis,Canasvieiras,apartamento,aluguel,46.7,34.3,56.5,60,4.98,setembro/2026
Florianópolis,Canto,apartamento,venda,10156.2,8356.7,12304.8,67,5.39,setembro/2026
Florianópolis,Canto,apartamento,aluguel,45.6,39.6,51.1,25,5.39,setembro/2026
Florianópolis,Capoeiras,apartamento,venda,7292.2,6135.7,8947.1,82,6.98,setembro/2026
