cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Fortaleza,Água Fria,apartamento,venda,8097.2,5994.1,8266.4,8,,setembro/2026
Fortaleza,Aldeota,apartamento,venda,10547.1,5991.4,14763.9,468,4.76,setembro/2026
Fortaleza,Aldeota,apartamento,aluguel,41.8,22.8,74.8,20,4.76,setembro/2026
Fortaleza,Álvaro Weyne,apartamento,venda,4699.1,4460.6,5085.4,8,4.85,setembro/2026
Fortaleza,Álvaro Weyne,apartamento,aluguel,19.0,15.6,24.5,6,4.85,setembro/2026
Fortaleza,Amadeu Furtado,apartamento,venda,3087.6,3011.1,3284.6,6,7.66,setembro/2026
Fortaleza,Amadeu Furtado,apartamento,aluguel,19.7,18.0,30.8,7,7.66,setembro/2026
Fortaleza,Antônio Bezerra,apartamento,venda,4829.6,3582.7,6544.1,26,4.75,setembro/2026
Fortaleza,Antônio Bezerra,apartamento,aluguel,19.1,13.6,27.2,10,4.75,setembro/2026
Fortaleza,Antônio Diogo,apartamento,venda,7390.4,6129.0,8938.5,17,,setembro/2026
Fortaleza,Bairro de Fatima,apartamento,venda,8773.4,8662.4,9290.9,5,,setembro/2026
Fortaleza,Barra do Ceará,apartamento,venda,5647.0,4093.1,6452.1,15,3.44,setembro/2026
Fortaleza,Barra do Ceará,apartamento,aluguel,16.2,15.1,20.9,13,3.44,setembro/2026
Fortaleza,Barroso,apartamento,venda,4772.7,2635.7,5547.6,19,4.73,setembro/2026
Fortaleza,Barroso,apartamento,aluguel,18.8,17.6,26.7,5,4.73,setembro/2026
Fortaleza,Benfica,apartamento,venda,7452.8,3653.6,10596.0,59,3.99,setembro/2026
Fortaleza,Benfica,apartamento,aluguel,24.8,19.8,48.8,10,3.99,setembro/2026
Fortaleza,Cajazeiras,apartamento,venda,3928.6,2709.1,4666.7,37,6.41,setembro/2026
Fortaleza,Cajazeiras,apartamento,aluguel,21.0,16.0,22.9,13,6.41,setembro/2026
Fortaleza,Cambeba,apartamento,venda,7736.3,6746.6,8582.3,62,6.7,setembro/2026
Fortaleza,Cambeba,apartamento,aluguel,43.2,24.9,51.2,7,6.7,setembro/2026
Fortaleza,Carlito Pamplona,apartamento,venda,5574.8,2984.0,5952.4,7,3.64,setembro/2026
Fortaleza,Carlito Pamplona,apartamento,aluguel,16.9,14.1,19.4,6,3.64,setembro/2026
Fortaleza,Centro,apartamento,venda,8772.5,5242.8,10296.3,56,3.73,setembro/2026
Fortaleza,Centro,apartamento,aluguel,27.3,18.9,34.2,30,3.73,setembro/2026
Fortaleza,Cid. dos Funcionari,apartamento,venda,10509.1,8401.9,12710.3,5,,setembro/2026
Fortaleza,Cidade 2000,apartamento,venda,7352.2,6522.3,8942.7,18,,setembro/2026
Fortaleza,Cidade dos Funcionários,apartamento,venda,3574.5,3000.0,7558.1,37,6.61,setembro/2026
Fortaleza,Cidade dos Funcionários,apartamento,aluguel,19.7,16.6,25.0,9,6.61,setembro/2026
Fortaleza,Coaçu,apartamento,venda,5618.0,4200.0,5957.4,5,,setembro/2026
Fortaleza,Cocó,apartamento,venda,9927.3,5741.9,12831.2,253,5.39,setembro/2026
Fortaleza,Cocó,apartamento,aluguel,44.6,32.6,55.6,24,5.39,setembro/2026
Fortaleza,Conjunto Esperança,apartamento,venda,2534.4,1818.2,3363.1,8,,setembro/2026
Fortaleza,Cristo Redentor,apartamento,venda,5237.8,4863.5,5686.1,8,,setembro/2026
Fortaleza,Curió,apartamento,venda,3820.2,3627.3,4101.2,8,,setembro/2026
Fortaleza,Damas,apartamento,venda,5384.6,3144.0,6917.6,55,,setembro/2026
Fortaleza,De Lourdes,apartamento,venda,9359.0,7507.6,10903.6,14,,setembro/2026
Fortaleza,Dias Macedo,apartamento,venda,4222.2,3887.3,4479.2,5,,setembro/2026
Fortaleza,Dionisio Torres,apartamento,venda,7551.8,4639.3,12598.7,125,6.13,setembro/2026
Fortaleza,Dionisio Torres,apartamento,aluguel,38.6,30.8,62.3,8,6.13,setembro/2026
Fortaleza,Dunas,apartamento,venda,8701.1,7656.2,10278.2,20,,setembro/2026
Fortaleza,Edson Queiroz,apartamento,venda,9147.9,5164.8,10990.7,36,,setembro/2026
Fortaleza,Eng. Luciano Cavalcante,apartamento,venda,9268.9,8000.0,9899.7,5,,setembro/2026
Fortaleza,Engenheiro Luciano Cavalcante,apartamento,venda,9673.2,8520.1,11353.2,87,5.56,setembro/2026
Fortaleza,Engenheiro Luciano Cavalcante,apartamento,aluguel,44.8,35.0,57.6,12,5.56,setembro/2026
Fortaleza,Farias Brito,apartamento,venda,2875.6,2623.5,3344.4,6,8.22,setembro/2026
Fortaleza,Farias Brito,apartamento,aluguel,19.7,17.7,21.7,6,8.22,setembro/2026
Fortaleza,Fátima,apartamento,venda,8133.7,4664.8,11097.8,136,4.43,setembro/2026
Fortaleza,Fátima,apartamento,aluguel,30.0,16.0,35.0,10,4.43,setembro/2026
Fortaleza,Guararapes,apartamento,venda,10404.3,8173.6,12575.8,175,6.34,setembro/2026
Fortaleza,Guararapes,apartamento,aluguel,55.0,46.5,64.6,12,6.34,setembro/2026
Fortaleza,Henrique Jorge,apartamento,venda,3478.3,3444.4,3666.7,5,,setembro/2026
Fortaleza,Itaperi,apartamento,venda,3998.0,3346.2,5207.0,24,8.22,setembro/2026
Fortaleza,Itaperi,apartamento,aluguel,27.4,24.6,31.3,14,8.22,setembro/2026
Fortaleza,Jacarecanga,apartamento,venda,5442.5,3629.0,6249.0,22,6.57,setembro/2026
