cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Goiânia,Água Branca,casa,venda,2916.7,2248.7,3143.1,7,,setembro/2026
Goiânia,Alphaville Araguaia,casa,venda,12020.0,10618.6,14075.0,46,7.53,setembro/2026
Goiânia,Alphaville Araguaia,casa,aluguel,75.4,53.1,84.8,5,7.53,setembro/2026
Goiânia,Alphaville Flamboyant,casa,venda,13210.7,10834.7,15717.5,105,4.11,setembro/2026
Goiânia,Alphaville Flamboyant,casa,aluguel,45.2,38.1,55.4,8,4.11,setembro/2026
Goiânia,Alphaville Goiás,casa,venda,14465.2,12405.2,15978.3,6,,setembro/2026
Goiânia,Anhangüera,casa,venda,4990.2,4031.0,6291.1,20,,setembro/2026
Goiânia,Capuava,casa,venda,4321.8,2477.5,4361.2,5,,setembro/2026
Goiânia,Carolina Parque,casa,venda,3187.5,2468.2,3912.5,11,,setembro/2026
Goiânia,Chácaras Alto da Glória,casa,venda,6352.9,6304.3,7374.3,13,,setembro/2026
Goiânia,Chácaras Anhangüera,casa,venda,4116.7,3375.0,4274.8,9,,setembro/2026
Goiânia,Chácaras de Recreio São Joaquim,casa,venda,4877.3,4244.8,5375.3,10,,setembro/2026
Goiânia,Chácaras Maringá,casa,venda,11111.1,6857.1,12500.0,13,,setembro/2026
Goiânia,Cidade Jardim,casa,venda,3488.4,2396.0,3750.0,13,,setembro/2026
Goiânia,Conjunto Cachoeira Dourada,casa,venda,2250.0,1886.1,5633.8,5,,setembro/2026
Goiânia,Conjunto Fabiana,casa,venda,2356.9,1774.9,3030.3,5,,setembro/2026
Goiânia,Conjunto Vera Cruz,casa,venda,3020.0,1381.6,4158.3,16,,setembro/2026
Goiânia,Fazenda São Domingos,casa,venda,3056.8,2794.4,3776.9,8,,setembro/2026
Goiânia,Fazenda Vau das Pombas,casa,venda,9361.7,8500.9,10310.7,41,,setembro/2026
Goiânia,Feliz,casa,venda,2995.4,2613.9,3919.0,11,,setembro/2026
Goiânia,Goiá,casa,venda,4285.7,1530.6,4842.1,5,,setembro/2026
Goiânia,Goiá 2,casa,venda,2750.0,2305.6,3434.1,7,,setembro/2026
Goiânia,Jardim Alphaville,casa,venda,3155.3,2200.0,3516.5,9,,setembro/2026
Goiânia,Jardim América,casa,venda,4644.7,3063.7,6019.7,80,4.96,setembro/2026
Goiânia,Jardim América,casa,aluguel,19.2,12.9,25.0,18,4.96,setembro/2026
Goiânia,Jardim Ana Lúcia,casa,venda,2879.6,2391.9,3534.4,7,,setembro/2026
Goiânia,Jardim Atlântico,casa,venda,5700.0,4497.7,7334.2,78,5.16,setembro/2026
Goiânia,Jardim Atlântico,casa,aluguel,24.5,18.0,30.7,10,5.16,setembro/2026
