cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Gravataí,Águas Mortas,casa,venda,4425.9,4000.0,4822.8,13,,setembro/2026
Gravataí,Alphaville,casa,venda,9557.2,8250.2,10782.7,183,8.14,setembro/2026
Gravataí,Alphaville,casa,aluguel,64.8,49.0,83.5,66,8.14,setembro/2026
Gravataí,Altaville,casa,venda,4900.0,3492.1,5465.1,13,,setembro/2026
Gravataí,Auxiliadora,casa,venda,3630.6,2809.2,4821.6,68,,setembro/2026
Gravataí,Barnabé,casa,venda,3873.9,3198.6,5288.8,104,8.61,setembro/2026
Gravataí,Barnabé,casa,aluguel,27.8,17.7,49.5,11,8.61,setembro/2026
Gravataí,Barro Vermelho,casa,venda,8333.3,6521.7,10370.4,29,,setembro/2026
Gravataí,Bela Vista,casa,venda,5161.9,3908.0,6270.5,117,8.79,setembro/2026
Gravataí,Bela Vista,casa,aluguel,37.8,29.9,42.1,12,8.79,setembro/2026
Gravataí,Bom Princípio,casa,venda,3964.7,2835.6,5096.2,34,,setembro/2026
Gravataí,Bom Sucesso,casa,venda,3866.7,2918.6,5200.0,121,6.64,setembro/2026
Gravataí,Bom Sucesso,casa,aluguel,21.4,16.1,28.1,20,6.64,setembro/2026
Gravataí,Bonsucesso,casa,venda,5317.7,3636.5,5969.6,12,,setembro/2026
Gravataí,Bosques do Sul,casa,venda,6327.2,5590.3,7065.3,12,,setembro/2026
Gravataí,Breno Garcia,casa,venda,3586.9,3181.8,4200.0,10,,setembro/2026
Gravataí,Caça e Pesca,casa,venda,4338.8,3802.5,5632.9,40,,setembro/2026
Gravataí,Cadiz,casa,venda,6147.5,5557.4,6977.1,34,,setembro/2026
Gravataí,Castelo Branco,casa,venda,3432.2,2619.1,4695.7,52,,setembro/2026
Gravataí,Central,casa,venda,3592.5,2950.9,5239.6,24,,setembro/2026
Gravataí,Centro,casa,venda,7032.6,4691.3,9500.6,436,5.46,setembro/2026
Gravataí,Centro,casa,aluguel,32.0,21.6,48.3,82,5.46,setembro/2026
Gravataí,Cohab A,casa,venda,3569.9,2532.3,4785.8,35,,setembro/2026
Gravataí,Cohab B,casa,venda,3753.6,2458.3,4900.0,41,5.72,setembro/2026
Gravataí,Cohab B,casa,aluguel,17.9,15.6,23.9,5,5.72,setembro/2026
Gravataí,Cohab C,casa,venda,2649.9,2065.9,3618.1,32,,setembro/2026
Gravataí,Cruzeiro,casa,venda,3611.1,2421.1,5000.0,25,,setembro/2026
Gravataí,Cyrela Landscape Seminario,casa,venda,9015.7,7945.2,10000.0,85,,setembro/2026
Gravataí,Diva Lessa de Jesus,casa,venda,5800.0,4200.0,6936.6,25,6.81,setembro/2026
Gravataí,Diva Lessa de Jesus,casa,aluguel,32.9,25.6,42.5,8,6.81,setembro/2026
Gravataí,Dom Feliciano,casa,venda,5113.6,3995.6,6333.3,257,6.48,setembro/2026
Gravataí,Dom Feliciano,casa,aluguel,27.6,21.9,33.5,50,6.48,setembro/2026
Gravataí,Dona Mercedes,casa,venda,4543.0,3400.0,5381.8,46,,setembro/2026
Gravataí,Garden Ville,casa,venda,6155.9,5844.0,6626.2,36,,setembro/2026
Gravataí,Gardenville Bairro Planejado,casa,venda,6123.6,5841.0,6470.7,8,,setembro/2026
Gravataí,Girassol,casa,venda,4365.0,3367.4,4844.8,54,5.69,setembro/2026
Gravataí,Girassol,casa,aluguel,20.7,19.4,23.9,9,5.69,setembro/2026
Gravataí,Ibiza,casa,venda,4305.2,3625.3,5208.8,28,,setembro/2026
Gravataí,Itacolomi I (Itacolomi),casa,venda,4946.4,4680.8,5433.0,6,,setembro/2026
Gravataí,Jansen,casa,venda,6000.0,4525.0,6778.6,137,6.7,setembro/2026
Gravataí,Jansen,casa,aluguel,33.5,29.4,36.2,21,6.7,setembro/2026
Gravataí,Jardim do Cedro,casa,venda,3261.3,2584.3,4271.4,44,,setembro/2026
Gravataí,Loteamento Jardim Timbaúva,casa,venda,5935.0,4833.3,6991.1,175,7.24,setembro/2026
Gravataí,Loteamento Jardim Timbaúva,casa,aluguel,35.8,26.9,50.7,20,7.24,setembro/2026
Gravataí,Loteamento Rural Palermo,casa,venda,3555.6,2888.9,3926.5,7,,setembro/2026
Gravataí,Loteamento Vila Rica,casa,venda,3562.5,2955.2,4447.0,14,,setembro/2026
Gravataí,Marrocos,casa,venda,2939.4,1945.7,4553.6,24,9.63,setembro/2026
Gravataí,Marrocos,casa,aluguel,23.6,20.3,27.8,8,9.63,setembro/2026
Gravataí,Mato Alto,casa,venda,4076.9,3210.6,5103.2,32,9.71,setembro/2026
Gravataí,Mato Alto,casa,aluguel,33.0,25.0,36.2,9,9.71,setembro/2026
Gravataí,Mirá,casa,venda,7144.6,6595.8,7766.0,12,,setembro/2026
Gravataí,Monte Belo,casa,venda,4106.3,2589.1,5009.3,48,9.59,setembro/2026
Gravataí,Monte Belo,casa,aluguel,32.8,24.1,43.1,8,9.59,setembro/2026
Gravataí,Morada do Vale I,casa,venda,4720.2,3271.2,5945.3,142,5.92,setembro/2026
Gravataí,Morada do Vale I,casa,aluguel,23.3,18.6,30.6,5,5.92,setembro/2026
Gravataí,Morada do Vale II,casa,venda,4970.0,4018.1,6019.6,103,6.64,setembro/2026
Gravataí,Morada do Vale II,casa,aluguel,27.5,19.3,33.5,5,6.64,setembro/2026
Gravataí,Morada do Vale III,casa,venda,3826.0,2304.2,4523.9,44,,setembro/2026
Gravataí,Morada Gaúcha,casa,venda,6351.9,3928.1,11556.0,72,,setembro/2026
Gravataí,Moradas do Sobrado,casa,venda,4687.5,3762.5,5688.5,95,8.76,setembro/2026
Gravataí,Moradas do Sobrado,casa,aluguel,34.2,23.9,37.8,11,8.76,setembro/2026
Gravataí,Morungava,casa,venda,2631.6,1724.6,3318.2,7,,setembro/2026
Gravataí,Natal,casa,venda,4125.0,2941.9,5307.6,58,,setembro/2026
Gravataí,Neópolis,casa,venda,4681.6,3629.0,6180.6,149,6.18,setembro/2026
Gravataí,Neópolis,casa,aluguel,24.1,20.3,37.2,16,6.18,setembro/2026
Gravataí,Nossa Chácara,casa,venda,3808.6,2400.0,4791.7,61,,setembro/2026
Gravataí,Novo Mundo,casa,venda,3442.3,2580.4,4382.2,15,,setembro/2026
Gravataí,Oriço,casa,venda,4860.9,3655.2,6127.5,113,8.2,setembro/2026
Gravataí,Oriço,casa,aluguel,33.2,23.7,36.7,6,8.2,setembro/2026
Gravataí,Padre Réus,casa,venda,3333.3,2142.6,3697.9,11,,setembro/2026
Gravataí,Palermo,casa,venda,6540.7,6320.8,6971.4,6,,setembro/2026
Gravataí,Paradiso,casa,venda,4706.8,3623.3,5975.0,50,6.45,setembro/2026
Gravataí,Paradiso,casa,aluguel,25.3,22.7,28.2,8,6.45,setembro/2026
Gravataí,Paragem dos Verdes Campos,casa,venda,8300.0,6444.2,9863.3,131,4.7,setembro/2026
Gravataí,Paragem dos Verdes Campos,casa,aluguel,32.5,28.8,36.4,14,4.7,setembro/2026
Gravataí,Parque da Matriz,casa,venda,6118.9,5204.7,7538.5,45,,setembro/2026
Gravataí,Parque do Itatiaia,casa,venda,4069.4,3546.8,5008.3,14,,setembro/2026
Gravataí,Parque dos Anjos,casa,venda,3900.0,3028.6,4847.8,179,6.8,setembro/2026
Gravataí,Parque dos Anjos,casa,aluguel,22.1,19.0,27.5,6,6.8,setembro/2026
Gravataí,Parque dos Búzios,casa,venda,4599.1,3480.1,5023.9,6,,setembro/2026
Gravataí,Parque dos Eucalíptos,casa,venda,3785.7,3061.2,4761.2,45,,setembro/2026
Gravataí,Parque Florido,casa,venda,3500.0,2666.5,4474.6,33,,setembro/2026
Gravataí,Parque Ipiranga,casa,venda,4505.2,3294.8,5754.6,74,,setembro/2026
Gravataí,Parque Itacolomi,casa,venda,4423.1,3773.6,5357.1,29,,setembro/2026
Gravataí,Parque Olinda,casa,venda,4081.8,3229.2,4608.3,55,9.44,setembro/2026
