cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Guaramirim,Amizade,casa,venda,4306.1,2690.3,5685.1,50,,setembro/2026
Guaramirim,Avaí,casa,venda,4599.4,2669.9,5685.2,54,,setembro/2026
Guaramirim,Bananal do Sul,casa,venda,4669.8,3598.8,5738.3,64,,setembro/2026
Guaramirim,Barro Branco,casa,venda,4985.7,3976.2,5585.7,15,,setembro/2026
Guaramirim,Beira Rio,casa,venda,4921.9,4310.5,5342.5,49,,setembro/2026
Guaramirim,Caixa d'Água,casa,venda,4982.8,3524.2,5818.2,29,,setembro/2026
Guaramirim,Centro,casa,venda,4025.7,2964.9,6216.5,36,,setembro/2026
Guaramirim,Corticeira,casa,venda,4828.0,3290.2,5279.0,23,,setembro/2026
Guaramirim,Escolinha,casa,venda,4983.9,3743.8,5626.9,55,,setembro/2026
Guaramirim,Figueirinha,casa,venda,4500.0,3900.0,5000.0,5,,setembro/2026
Guaramirim,Guamiranga,casa,venda,4944.5,4092.4,5406.1,14,,setembro/2026
Guaramirim,Ilha da Figueira,casa,venda,5296.6,3778.7,6166.7,30,,setembro/2026
Guaramirim,Imigrantes,casa,venda,3359.6,1966.7,4916.7,14,,setembro/2026
Guaramirim,Nova Esperança,casa,venda,4000.0,2769.2,6016.5,15,,setembro/2026
Guaramirim,Rio Branco,casa,venda,5293.4,4833.2,5939.3,31,,setembro/2026
Guaramirim,Vila Amizade,casa,venda,2428.6,2247.5,3338.9,7,,setembro/2026
Guaramirim,Amizade,apartamento,venda,5454.5,5000.0,6220.5,19,8.21,setembro/2026
Guaramirim,Amizade,apartamento,aluguel,37.3,34.0,57.6,11,8.21,setembro/2026
Guaramirim,Avaí,apartamento,venda,4769.2,4511.3,5387.3,11,,setembro/2026
Guaramirim,Bananal do Sul,apartamento,venda,5072.5,4833.3,5625.0,9,,setembro/2026
Guaramirim,Beira Rio,apartamento,venda,5285.7,4720.8,5586.6,10,,setembro/2026
Guaramirim,Centro,apartamento,venda,5718.6,4944.9,6478.7,56,6.59,setembro/2026
Guaramirim,Centro,apartamento,aluguel,31.4,27.0,33.7,12,6.59,setembro/2026
Guaramirim,Corticeira,apartamento,venda,3532.2,3139.2,4125.0,14,,setembro/2026
Guaramirim,Escolinha,apartamento,venda,4877.4,3542.8,5928.6,6,,setembro/2026
Guaramirim,Ilha da Figueira,apartamento,venda,5316.7,4823.1,5916.7,12,,setembro/2026
Guaramirim,Amizade,terreno,venda,711.1,394.3,807.2,20,,setembro/2026
Guaramirim,Avaí,terreno,venda,692.2,552.6,862.4,34,,setembro/2026
Guaramirim,Bananal do Sul,terreno,venda,1098.4,678.0,1099.9,54,,setembro/2026
Guaramirim,Barro Branco,terreno,venda,151.3,67.2,482.7,8,,setembro/2026
Guaramirim,Beira Rio,terreno,venda,467.9,250.0,652.8,9,,setembro/2026
Guaramirim,Caixa d'Água,terreno,venda,494.8,165.7,546.7,15,,setembro/2026
Guaramirim,Centro,terreno,venda,1032.1,671.3,1507.4,30,,setembro/2026
Guaramirim,Corticeira,terreno,venda,390.9,254.7,519.1,23,,setembro/2026
Guaramirim,Escolinha,terreno,venda,275.7,197.5,374.1,6,,setembro/2026
Guaramirim,Estrada Bananal do Sul,terreno,venda,1101.5,1100.4,1102.6,28,,setembro/2026
Guaramirim,Guamiranga,terreno,venda,261.6,161.7,459.2,9,,setembro/2026
Guaramirim,Ilha da Figueira,terreno,venda,494.4,378.3,570.0,11,,setembro/2026
Guaramirim,Imigrantes,terreno,venda,594.7,492.4,989.4,10,,setembro/2026
Guaramirim,Jacu-Açu,terreno,venda,388.2,230.0,413.5,7,,setembro/2026
Guaramirim,Rio Branco,terreno,venda,468.3,328.7,641.4,37,,setembro/2026
Guaramirim,Centro,sala,aluguel,60.7,44.8,67.2,8,,setembro/2026
Guaramirim,Bruderthal,galpao,aluguel,22.1,14.2,28.2,6,,setembro/2026
Guaramirim,Ilha da Figueira,galpao,aluguel,17.2,15.0,19.8,10,,setembro/2026
Guaramirim,Imigrantes,galpao,aluguel,18.8,17.3,19.1,6,,setembro/2026
Guaramirim,Nova Esperança,galpao,aluguel,20.0,17.1,20.0,5,,setembro/2026
