cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Guarulhos,Aeroporto,casa,venda,5177.8,2770.8,6851.4,7,,setembro/2026
Guarulhos,Água Azul,casa,venda,3152.0,2885.1,3816.0,9,,setembro/2026
Guarulhos,Água Chata,casa,venda,3300.7,2281.0,4083.3,13,,setembro/2026
Guarulhos,Anita Garibaldi,casa,venda,2680.4,2231.2,2934.0,6,,setembro/2026
Guarulhos,Bela Vista,casa,venda,3196.4,2430.8,4520.9,22,,setembro/2026
Guarulhos,Bom Clima,casa,venda,4014.1,3320.0,4522.5,24,,setembro/2026
Guarulhos,Bonsucesso,casa,venda,4429.5,3513.4,6501.0,52,,setembro/2026
Guarulhos,Bosque Maia,casa,venda,5869.6,4984.1,7673.3,15,,setembro/2026
Guarulhos,Camargos,casa,venda,4178.6,4026.8,5937.5,6,,setembro/2026
Guarulhos,Carmela 3,casa,venda,7142.9,5662.3,7440.0,9,,setembro/2026
Guarulhos,Carmela III,casa,venda,6296.3,5625.0,8500.0,9,,setembro/2026
Guarulhos,Centro,casa,venda,5587.5,4384.5,7273.5,126,5.99,setembro/2026
Guarulhos,Centro,casa,aluguel,27.9,21.8,34.8,40,5.99,setembro/2026
Guarulhos,Chácara Cabuçu,casa,venda,2055.6,1461.0,2406.8,12,,setembro/2026
Guarulhos,Cidade Aracilia,casa,venda,3072.2,2238.1,4941.2,22,,setembro/2026
Guarulhos,Cidade Brasil,casa,venda,4058.8,3130.9,4807.8,36,7.66,setembro/2026
Guarulhos,Cidade Brasil,casa,aluguel,25.9,23.1,41.0,5,7.66,setembro/2026
Guarulhos,Cidade Jardim Cumbica,casa,venda,3049.2,2512.7,4025.1,46,,setembro/2026
Guarulhos,Cidade Maia,casa,venda,5497.0,4319.4,7910.4,64,7.25,setembro/2026
Guarulhos,Cidade Maia,casa,aluguel,33.2,25.5,44.3,12,7.25,setembro/2026
Guarulhos,Cidade Martins,casa,venda,3181.2,2375.5,3650.7,18,,setembro/2026
Guarulhos,Cidade Nova Bonsucesso,casa,venda,3331.4,2365.3,5575.3,8,,setembro/2026
Guarulhos,Cidade Parque Alvorada,casa,venda,3570.5,2595.3,5190.1,34,,setembro/2026
Guarulhos,Cidade Parque Brasília,casa,venda,3728.3,2464.8,5389.2,12,,setembro/2026
Guarulhos,Cidade Parque São Luiz,casa,venda,2956.7,2623.8,4040.0,6,,setembro/2026
Guarulhos,Cidade Serodio,casa,venda,3270.2,2254.0,4154.8,63,6.83,setembro/2026
Guarulhos,Cidade Serodio,casa,aluguel,18.6,17.4,24.9,6,6.83,setembro/2026
Guarulhos,Cidade Soberana,casa,venda,2347.8,1730.6,3369.2,129,,setembro/2026
Guarulhos,Cidade Soimco,casa,venda,3352.7,3305.0,3565.1,6,,setembro/2026
Guarulhos,Cidade Soinco,casa,venda,4382.4,3445.1,5555.6,9,,setembro/2026
Guarulhos,Cidade Tupinambá,casa,venda,1948.7,1683.4,2444.4,29,,setembro/2026
Guarulhos,Cocaia,casa,venda,4309.5,2941.4,5600.4,46,,setembro/2026
Guarulhos,Conjunto Marcos Freire,casa,venda,2542.4,2250.0,3181.8,13,,setembro/2026
Guarulhos,Conjunto Residencial Haroldo Veloso,casa,venda,2745.0,2365.0,3978.3,6,,setembro/2026
Guarulhos,Conjunto Residencial Paes de Barros,casa,venda,3007.1,2710.8,3358.9,12,,setembro/2026
Guarulhos,Continental II,casa,venda,2807.0,2600.0,3400.0,5,,setembro/2026
Guarulhos,Cumbica,casa,venda,3200.0,2400.0,4066.7,37,,setembro/2026
Guarulhos,Gopoúva,casa,venda,4579.3,3522.1,5776.7,248,7.86,setembro/2026
Guarulhos,Gopoúva,casa,aluguel,30.0,22.4,33.3,31,7.86,setembro/2026
Guarulhos,Inocoop,casa,venda,3571.4,2785.0,4987.9,7,,setembro/2026
Guarulhos,Itaim,casa,venda,2608.7,1956.3,4272.7,7,,setembro/2026
Guarulhos,Itapegica,casa,venda,4042.0,2259.8,4682.4,8,,setembro/2026
Guarulhos,Jardim Acácio,casa,venda,3142.9,2615.4,3832.0,21,,setembro/2026
Guarulhos,Jardim Adriana,casa,venda,4000.0,2976.7,5478.3,201,6.48,setembro/2026
Guarulhos,Jardim Adriana,casa,aluguel,21.6,18.0,25.0,9,6.48,setembro/2026
Guarulhos,Jardim Aida,casa,venda,4507.5,3466.3,5911.9,52,5.8,setembro/2026
Guarulhos,Jardim Aida,casa,aluguel,21.8,16.8,27.4,8,5.8,setembro/2026
Guarulhos,Jardim Álamo,casa,venda,2345.9,1815.0,2888.0,8,,setembro/2026
Guarulhos,Jardim Albertina,casa,venda,4761.8,3461.5,6428.6,25,,setembro/2026
Guarulhos,Jardim Aliança,casa,venda,4230.8,3142.9,6143.4,25,,setembro/2026
Guarulhos,Jardim Alice,casa,venda,2944.4,2316.7,3744.2,9,,setembro/2026
Guarulhos,Jardim Almeida Prado,casa,venda,3105.3,2480.8,3950.4,31,,setembro/2026
Guarulhos,Jardim América,casa,venda,3125.0,2720.0,4655.2,13,,setembro/2026
Guarulhos,Jardim Angélica,casa,venda,3053.5,2818.2,3400.0,17,,setembro/2026
Guarulhos,Jardim Ansalca,casa,venda,3166.7,2911.8,3315.5,7,,setembro/2026
Guarulhos,Jardim Arapongas,casa,venda,2981.2,1909.9,6400.0,5,,setembro/2026
Guarulhos,Jardim Bananal,casa,venda,2544.0,2375.0,3392.0,17,,setembro/2026
Guarulhos,Jardim Barbosa,casa,venda,4262.2,3515.5,5132.8,26,9.38,setembro/2026
Guarulhos,Jardim Barbosa,casa,aluguel,33.3,30.3,35.5,7,9.38,setembro/2026
Guarulhos,Jardim Bebedouro,casa,venda,5561.5,2913.2,7814.9,18,,setembro/2026
Guarulhos,Jardim Bela Vista,casa,venda,3747.9,2768.4,4574.9,132,5.7,setembro/2026
Guarulhos,Jardim Bela Vista,casa,aluguel,17.8,14.3,25.0,13,5.7,setembro/2026
Guarulhos,Jardim Belvedere,casa,venda,1789.2,1584.4,2680.0,7,,setembro/2026
Guarulhos,Jardim Betel,casa,venda,3040.5,2645.7,3707.6,11,,setembro/2026
Guarulhos,Jardim Bom Clima,casa,venda,4617.7,3602.8,5593.5,230,6.65,setembro/2026
Guarulhos,Jardim Bom Clima,casa,aluguel,25.6,22.2,33.3,19,6.65,setembro/2026
Guarulhos,Jardim Brasil,casa,venda,2473.3,1612.0,2898.8,5,,setembro/2026
Guarulhos,Jardim Castanha,casa,venda,3809.5,3657.1,4303.8,5,,setembro/2026
Guarulhos,Jardim Célia,casa,venda,5162.5,3027.5,5847.7,32,,setembro/2026
