cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Itajaí,Balneário Santa Clara,apartamento,venda,18181.8,15644.4,20910.7,11,5.74,setembro/2026
Itajaí,Balneário Santa Clara,apartamento,aluguel,87.0,68.2,103.9,77,5.74,setembro/2026
Itajaí,Barra do Rio,apartamento,venda,9322.0,7658.1,9666.7,9,6.53,setembro/2026
Itajaí,Barra do Rio,apartamento,aluguel,50.7,43.7,53.8,11,6.53,setembro/2026
Itajaí,Cabeçudas,apartamento,venda,18489.9,14413.2,21590.5,35,4.58,setembro/2026
Itajaí,Cabeçudas,apartamento,aluguel,70.6,62.1,90.2,34,4.58,setembro/2026
Itajaí,Carvalho,apartamento,venda,7959.2,6984.9,9111.1,11,6.54,setembro/2026
Itajaí,Carvalho,apartamento,aluguel,43.4,35.3,50.1,10,6.54,setembro/2026
Itajaí,Centro,apartamento,venda,12192.8,9148.8,15736.6,314,5.02,setembro/2026
Itajaí,Centro,apartamento,aluguel,51.0,41.9,63.4,147,5.02,setembro/2026
Itajaí,Cidade Nova,apartamento,venda,7444.3,6980.7,8116.2,20,7.66,setembro/2026
Itajaí,Cidade Nova,apartamento,aluguel,47.5,42.6,52.6,18,7.66,setembro/2026
Itajaí,Cordeiros,apartamento,venda,7924.8,6845.7,9249.3,90,6.92,setembro/2026
Itajaí,Cordeiros,apartamento,aluguel,45.7,41.5,52.3,29,6.92,setembro/2026
Itajaí,Costa Cavalcanti,apartamento,venda,8583.0,7062.1,8751.3,5,,setembro/2026
Itajaí,Dom Bosco,apartamento,venda,9569.9,8533.3,11000.0,61,5.77,setembro/2026
Itajaí,Dom Bosco,apartamento,aluguel,46.0,40.7,51.9,30,5.77,setembro/2026
Itajaí,Espinheiros,apartamento,venda,6670.5,5612.7,7485.8,34,7.5,setembro/2026
Itajaí,Espinheiros,apartamento,aluguel,41.7,33.6,49.8,38,7.5,setembro/2026
Itajaí,Fazenda,apartamento,venda,14000.0,11611.6,17143.1,331,4.95,setembro/2026
Itajaí,Fazenda,apartamento,aluguel,57.7,48.0,72.6,130,4.95,setembro/2026
Itajaí,Fazendinha,apartamento,venda,12758.6,11383.9,15984.2,51,6.56,setembro/2026
Itajaí,Fazendinha,apartamento,aluguel,69.7,51.1,95.6,32,6.56,setembro/2026
Itajaí,Fiúza Lima,apartamento,venda,10358.2,9160.5,11550.3,14,,setembro/2026
Itajaí,Itaipava,apartamento,venda,6603.6,6063.2,7326.5,25,6.91,setembro/2026
Itajaí,Itaipava,apartamento,aluguel,38.0,35.0,48.3,23,6.91,setembro/2026
Itajaí,Murta,apartamento,venda,7035.6,6034.8,7678.6,29,7.79,setembro/2026
Itajaí,Murta,apartamento,aluguel,45.7,42.9,68.7,9,7.79,setembro/2026
Itajaí,Praia Brava,apartamento,venda,19180.5,15772.1,23644.1,257,4.95,setembro/2026
Itajaí,Praia Brava,apartamento,aluguel,79.1,62.8,100.0,257,4.95,setembro/2026
Itajaí,Ressacada,apartamento,venda,9759.0,8333.3,11607.1,61,5.94,setembro/2026
Itajaí,Ressacada,apartamento,aluguel,48.3,44.6,54.4,36,5.94,setembro/2026
Itajaí,Santa Clara,apartamento,venda,19784.8,14971.5,23423.1,17,,setembro/2026
Itajaí,Santa Regina,apartamento,venda,5557.0,5143.6,6563.5,14,10.8,setembro/2026
Itajaí,Santa Regina,apartamento,aluguel,50.0,44.4,75.0,13,10.8,setembro/2026
Itajaí,São João,apartamento,venda,9148.8,7461.0,10934.5,84,6.31,setembro/2026
Itajaí,São João,apartamento,aluguel,48.1,39.4,59.7,66,6.31,setembro/2026
Itajaí,São Judas,apartamento,venda,9693.1,8404.0,10919.0,84,6.36,setembro/2026
Itajaí,São Judas,apartamento,aluguel,51.4,45.8,58.3,41,6.36,setembro/2026
Itajaí,São Vicente,apartamento,venda,8192.9,6768.6,9516.1,73,7.32,setembro/2026
Itajaí,São Vicente,apartamento,aluguel,50.0,42.0,59.5,60,7.32,setembro/2026
Itajaí,Vila Operária,apartamento,venda,10743.3,9241.5,11762.8,110,5.81,setembro/2026
Itajaí,Vila Operária,apartamento,aluguel,52.0,45.2,59.3,36,5.81,setembro/2026
Itajaí,Barra do Rio,casa,venda,5842.2,4025.8,7970.8,40,,setembro/2026
Itajaí,Cabeçudas,casa,venda,14136.4,12000.0,17352.4,27,4.52,setembro/2026
Itajaí,Cabeçudas,casa,aluguel,53.3,43.6,66.6,11,4.52,setembro/2026
Itajaí,Centro,casa,venda,8416.7,6198.0,10863.9,96,5.46,setembro/2026
Itajaí,Centro,casa,aluguel,38.3,28.4,50.3,28,5.46,setembro/2026
Itajaí,Cidade Nova,casa,venda,4714.3,3388.0,7087.5,67,,setembro/2026
Itajaí,Cordeiros,casa,venda,5549.0,3530.0,7530.5,147,8.84,setembro/2026
Itajaí,Cordeiros,casa,aluguel,40.9,27.5,45.2,12,8.84,setembro/2026
Itajaí,Dom Bosco,casa,venda,7846.5,5940.2,9688.6,120,6.22,setembro/2026
Itajaí,Dom Bosco,casa,aluguel,40.7,31.5,46.8,12,6.22,setembro/2026
Itajaí,Espinheiros,casa,venda,4873.9,3912.5,6652.3,92,6.4,setembro/2026
Itajaí,Espinheiros,casa,aluguel,26.0,21.1,30.2,7,6.4,setembro/2026
Itajaí,Fazenda,casa,venda,8350.8,5867.1,11466.3,98,5.27,setembro/2026
Itajaí,Fazenda,casa,aluguel,36.7,32.7,43.5,18,5.27,setembro/2026
