cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Itapoá,Balneario Cambiju,casa,venda,5774.2,5200.4,6588.7,11,,setembro/2026
Itapoá,Balneario Santa Clara,casa,venda,4902.0,2388.9,7580.0,5,,setembro/2026
Itapoá,Bamerindus,casa,venda,5612.2,3779.3,7303.4,15,,setembro/2026
Itapoá,Barra do Sai,casa,venda,5753.7,4654.4,7050.0,181,6.95,setembro/2026
Itapoá,Barra do Sai,casa,aluguel,33.3,29.2,34.1,7,6.95,setembro/2026
Itapoá,Brandalize,casa,venda,4276.3,3048.2,5843.4,19,,setembro/2026
Itapoá,Brasília,casa,venda,5454.5,3859.7,6652.6,27,,setembro/2026
Itapoá,Cambiju,casa,venda,5228.9,4126.7,6398.5,53,,setembro/2026
Itapoá,Centro,casa,venda,5887.9,5056.8,6503.0,47,4.1,setembro/2026
Itapoá,Centro,casa,aluguel,20.1,16.6,24.3,5,4.1,setembro/2026
Itapoá,Continental,casa,venda,5558.7,4077.2,7001.2,42,,setembro/2026
Itapoá,Imperador,casa,venda,2708.3,2510.2,3439.5,5,,setembro/2026
Itapoá,Itapema do Norte,casa,venda,5909.9,4437.6,6977.4,94,4.85,setembro/2026
Itapoá,Itapema do Norte,casa,aluguel,23.9,10.9,30.9,10,4.85,setembro/2026
Itapoá,Itapema do Sai,casa,venda,4103.3,3152.8,5980.4,11,,setembro/2026
Itapoá,Jardim da Barra,casa,venda,4773.5,3358.4,6066.5,14,,setembro/2026
Itapoá,Jardim Perola do Atlântico,casa,venda,4355.6,3733.3,5859.4,13,,setembro/2026
Itapoá,Mariluz,casa,venda,4407.1,3025.0,4993.2,16,,setembro/2026
Itapoá,Paese,casa,venda,5404.3,4513.7,6734.2,22,,setembro/2026
Itapoá,Pontal,casa,venda,5000.0,4752.7,6003.5,7,,setembro/2026
Itapoá,Pontal do Norte,casa,venda,5645.7,3990.0,6554.3,29,,setembro/2026
Itapoá,Praia das Palmeiras,casa,venda,3822.4,2759.0,5275.3,8,,setembro/2026
Itapoá,Princesa do Mar,casa,venda,5397.2,3349.7,5794.2,24,,setembro/2026
Itapoá,Rainha,casa,venda,5833.3,4693.9,7284.8,13,,setembro/2026
Itapoá,Rainha do Mar,casa,venda,6144.3,4857.1,7462.7,33,,setembro/2026
Itapoá,Rio Gracioso,casa,venda,2291.7,2142.9,3047.1,5,,setembro/2026
Itapoá,Rosa dos Ventos,casa,venda,5341.1,3933.3,6266.1,8,,setembro/2026
Itapoá,Sai Mirim,casa,venda,5270.3,4151.0,6649.7,19,,setembro/2026
Itapoá,Samambaial,casa,venda,4830.9,3738.3,5237.0,15,,setembro/2026
Itapoá,São José,casa,venda,5601.3,4748.7,6051.2,34,4.76,setembro/2026
Itapoá,São José,casa,aluguel,22.2,21.1,25.6,5,4.76,setembro/2026
Itapoá,Uirapuru,casa,venda,5718.8,4650.0,6141.2,7,,setembro/2026
Itapoá,Volta Ao Mundo,casa,venda,3600.2,2776.4,4612.4,14,,setembro/2026
Itapoá,Volta Ao Mundo I,casa,venda,5066.1,4702.5,5472.4,6,,setembro/2026
Itapoá,Barra do Sai,apartamento,venda,9661.3,8446.1,11661.8,35,,setembro/2026
Itapoá,Cambiju,apartamento,venda,6709.3,4802.0,8325.0,12,,setembro/2026
Itapoá,Centro,apartamento,venda,9550.3,6688.4,10766.4,45,3.73,setembro/2026
Itapoá,Centro,apartamento,aluguel,29.7,28.0,30.9,6,3.73,setembro/2026
Itapoá,Continental,apartamento,venda,8613.6,7503.3,12934.3,25,,setembro/2026
Itapoá,Itapema do Norte,apartamento,venda,9818.2,7250.0,12673.3,128,3.45,setembro/2026
Itapoá,Itapema do Norte,apartamento,aluguel,28.2,25.9,33.8,12,3.45,setembro/2026
Itapoá,Jardim Perola do Atlântico,apartamento,venda,10829.6,7083.8,18382.4,17,,setembro/2026
Itapoá,Maresia,apartamento,venda,9161.1,8212.0,11207.4,12,,setembro/2026
Itapoá,Mariluz,apartamento,venda,8829.9,7996.6,10258.9,7,,setembro/2026
Itapoá,Paese,apartamento,venda,9474.8,7172.1,11220.6,31,,setembro/2026
Itapoá,Pontal do Norte,apartamento,venda,9010.4,7364.4,10251.1,8,,setembro/2026
Itapoá,Princesa do Mar,apartamento,venda,7188.0,5792.1,11055.6,5,,setembro/2026
Itapoá,Rainha,apartamento,venda,10773.8,8095.5,13364.1,20,,setembro/2026
Itapoá,Rainha do Mar,apartamento,venda,11171.2,8956.8,13294.2,49,,setembro/2026
Itapoá,Bamerindus,terreno,venda,546.0,468.8,666.7,9,,setembro/2026
Itapoá,Barra do Sai,terreno,venda,903.7,625.0,1360.4,55,,setembro/2026
Itapoá,Cambiju,terreno,venda,622.7,291.7,1081.0,12,,setembro/2026
Itapoá,Centro,terreno,venda,1000.0,774.9,1111.1,11,,setembro/2026
Itapoá,Continental,terreno,venda,541.6,485.7,703.1,12,,setembro/2026
Itapoá,Figueira do Pontal,terreno,venda,424.5,346.0,617.7,7,,setembro/2026
Itapoá,Itapema do Norte,terreno,venda,1222.2,862.7,1355.0,17,,setembro/2026
Itapoá,Itapema do Sai,terreno,venda,330.4,282.7,672.6,10,,setembro/2026
Itapoá,Maresia,terreno,venda,415.0,390.2,426.1,5,,setembro/2026
