cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Jacareí,Bandeira Branca,casa,venda,4400.0,3663.3,5731.2,13,,setembro/2026
Jacareí,Bosque dos Manacas,casa,venda,7099.3,6635.1,8282.0,32,,setembro/2026
Jacareí,Centro,casa,venda,3893.4,3167.7,4712.3,33,7.0,setembro/2026
Jacareí,Centro,casa,aluguel,22.7,18.6,30.0,5,7.0,setembro/2026
Jacareí,Chácaras Condomínio Recanto Pássaros II,casa,venda,8076.9,6126.0,11812.3,6,,setembro/2026
Jacareí,Cidade Jardim,casa,venda,3698.4,3168.5,4600.0,27,,setembro/2026
Jacareí,Cidade Nova,casa,venda,2465.1,2425.8,4360.8,9,,setembro/2026
Jacareí,Cidade Salvador,casa,venda,4277.8,3250.0,4637.5,21,,setembro/2026
Jacareí,Conjunto São Benedito,casa,venda,2753.1,2534.2,3777.8,5,,setembro/2026
Jacareí,Jacareí,casa,venda,7558.2,6125.2,8069.3,6,,setembro/2026
Jacareí,Jardim Altos de Santana I,casa,venda,5626.0,4397.6,6019.4,17,5.8,setembro/2026
Jacareí,Jardim Altos de Santana I,casa,aluguel,27.2,25.0,29.7,5,5.8,setembro/2026
Jacareí,Jardim Altos de Santana II,casa,venda,5665.0,4961.8,6625.0,33,,setembro/2026
Jacareí,Jardim América,casa,venda,3217.1,2537.6,5653.5,10,,setembro/2026
Jacareí,Jardim Bela Vista,casa,venda,3171.7,2383.3,3555.9,8,,setembro/2026
Jacareí,Jardim Califórnia,casa,venda,5076.9,4180.9,5769.2,41,,setembro/2026
Jacareí,Jardim Coleginho,casa,venda,5216.0,4602.4,5548.2,20,,setembro/2026
Jacareí,Jardim Colônia,casa,venda,2890.9,2383.7,4187.5,9,,setembro/2026
Jacareí,Jardim Crystal Park,casa,venda,7905.9,7054.2,8520.0,20,,setembro/2026
Jacareí,Jardim das Indústrias,casa,venda,3912.2,3256.2,4190.7,10,,setembro/2026
Jacareí,Jardim Flórida,casa,venda,3545.5,2941.2,4955.0,13,,setembro/2026
Jacareí,Jardim Jacinto,casa,venda,6721.8,5271.1,7630.7,66,,setembro/2026
Jacareí,Jardim Marcondes,casa,venda,5454.5,3875.1,7593.8,7,,setembro/2026
Jacareí,Jardim Maria Amélia,casa,venda,3177.8,2019.8,4304.6,15,,setembro/2026
