cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Jaraguá do Sul,Água Verde,apartamento,venda,6017.2,5187.5,6658.3,16,5.94,setembro/2026
Jaraguá do Sul,Água Verde,apartamento,aluguel,29.8,25.0,34.7,13,5.94,setembro/2026
Jaraguá do Sul,Amizade,apartamento,venda,5328.5,4486.5,6463.8,78,6.96,setembro/2026
Jaraguá do Sul,Amizade,apartamento,aluguel,30.9,27.6,33.9,29,6.96,setembro/2026
Jaraguá do Sul,Baependi,apartamento,venda,6058.4,5047.2,7791.4,110,7.41,setembro/2026
Jaraguá do Sul,Baependi,apartamento,aluguel,37.4,31.3,45.0,40,7.41,setembro/2026
Jaraguá do Sul,Barra do Rio Cerro,apartamento,venda,5311.9,4564.3,6386.6,57,7.09,setembro/2026
Jaraguá do Sul,Barra do Rio Cerro,apartamento,aluguel,31.4,28.0,40.9,25,7.09,setembro/2026
Jaraguá do Sul,Barra do Rio Molha,apartamento,venda,5950.2,5341.4,8183.5,30,,setembro/2026
Jaraguá do Sul,Centenário,apartamento,venda,6403.1,5421.4,7280.6,15,5.81,setembro/2026
Jaraguá do Sul,Centenário,apartamento,aluguel,31.0,26.8,32.7,12,5.81,setembro/2026
Jaraguá do Sul,Centro,apartamento,venda,7115.3,5223.4,9535.2,395,5.73,setembro/2026
Jaraguá do Sul,Centro,apartamento,aluguel,34.0,27.1,44.5,91,5.73,setembro/2026
Jaraguá do Sul,Chico de Paula,apartamento,venda,5620.0,4856.8,6361.9,24,,setembro/2026
Jaraguá do Sul,Czerniewicz,apartamento,venda,5905.1,5046.5,6854.3,96,6.6,setembro/2026
Jaraguá do Sul,Czerniewicz,apartamento,aluguel,32.5,26.7,39.5,25,6.6,setembro/2026
Jaraguá do Sul,Estrada Nova,apartamento,venda,5048.1,4727.3,5645.2,25,,setembro/2026
Jaraguá do Sul,Ilha da Figueira,apartamento,venda,5506.4,4922.6,6344.2,50,6.97,setembro/2026
Jaraguá do Sul,Ilha da Figueira,apartamento,aluguel,32.0,25.3,42.1,29,6.97,setembro/2026
Jaraguá do Sul,Jaraguá 84,apartamento,venda,4338.7,4264.7,4603.2,5,,setembro/2026
Jaraguá do Sul,Jaraguá 99,apartamento,venda,5263.2,4821.4,5862.1,25,7.02,setembro/2026
Jaraguá do Sul,Jaraguá 99,apartamento,aluguel,30.8,27.0,36.4,30,7.02,setembro/2026
Jaraguá do Sul,Jaraguá Esquerdo,apartamento,venda,6256.3,5138.4,7386.1,124,6.67,setembro/2026
Jaraguá do Sul,Jaraguá Esquerdo,apartamento,aluguel,34.8,26.9,39.7,38,6.67,setembro/2026
Jaraguá do Sul,João Pessoa,apartamento,venda,5234.2,4449.3,6024.4,40,7.52,setembro/2026
Jaraguá do Sul,João Pessoa,apartamento,aluguel,32.8,29.8,36.3,26,7.52,setembro/2026
Jaraguá do Sul,Nereu Ramos,apartamento,venda,4792.5,4415.3,5444.4,33,7.06,setembro/2026
Jaraguá do Sul,Nereu Ramos,apartamento,aluguel,28.2,24.7,31.4,24,7.06,setembro/2026
Jaraguá do Sul,Nova Brasília,apartamento,venda,7770.8,5657.2,10750.8,74,5.61,setembro/2026
Jaraguá do Sul,Nova Brasília,apartamento,aluguel,36.3,25.1,56.6,18,5.61,setembro/2026
Jaraguá do Sul,Rau,apartamento,venda,6045.9,5140.6,6749.5,63,7.4,setembro/2026
