cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
João Pessoa,Água Fria,casa,venda,3250.0,1761.0,5516.7,6,,setembro/2026
João Pessoa,Altiplano,casa,venda,8568.6,7710.9,10519.3,11,,setembro/2026
João Pessoa,Altiplano Cabo Branco,casa,venda,7419.4,4491.8,8359.1,33,,setembro/2026
João Pessoa,Anatólia,casa,venda,2283.3,2025.0,2554.2,6,,setembro/2026
João Pessoa,Bairro dos Estados,casa,venda,4050.9,3013.5,4961.9,23,6.99,setembro/2026
João Pessoa,Bairro dos Estados,casa,aluguel,23.6,20.8,40.2,11,6.99,setembro/2026
João Pessoa,Bancários,casa,venda,8333.3,4399.6,11934.3,23,4.8,setembro/2026
João Pessoa,Bancários,casa,aluguel,33.3,31.8,41.7,5,4.8,setembro/2026
João Pessoa,Barra de Gramame,casa,venda,3333.3,2794.1,8173.1,5,,setembro/2026
João Pessoa,Bessa,casa,venda,5818.8,4590.1,7526.8,24,8.25,setembro/2026
João Pessoa,Bessa,casa,aluguel,40.0,30.7,46.1,7,8.25,setembro/2026
João Pessoa,Brisamar,casa,venda,3793.7,2517.9,4721.4,12,6.14,setembro/2026
João Pessoa,Brisamar,casa,aluguel,19.4,17.1,21.5,7,6.14,setembro/2026
João Pessoa,Cabo Branco,casa,venda,6832.4,4788.9,11587.8,15,,setembro/2026
João Pessoa,Castelo Branco,casa,venda,2250.0,1880.0,2576.9,7,,setembro/2026
João Pessoa,Centro,casa,venda,2625.0,1731.6,4452.6,26,,setembro/2026
João Pessoa,Cidade dos Colibris,casa,venda,4402.5,2637.2,5276.1,12,,setembro/2026
João Pessoa,Colinas do Sul,casa,venda,2250.0,2090.9,3180.0,9,,setembro/2026
João Pessoa,Cristo Redentor,casa,venda,3333.3,2312.5,3959.3,23,,setembro/2026
João Pessoa,Cruz das Armas,casa,venda,3233.3,2500.0,4222.2,9,,setembro/2026
João Pessoa,Cuiá,casa,venda,2314.3,1912.5,3323.6,18,,setembro/2026
João Pessoa,Ernani Sátiro,casa,venda,2666.7,2427.2,4000.0,5,,setembro/2026
João Pessoa,Ernesto Geisel,casa,venda,3366.7,2645.5,4694.9,26,,setembro/2026
João Pessoa,Expedicionários,casa,venda,3923.3,2952.8,5103.9,24,,setembro/2026
João Pessoa,Funcionários,casa,venda,1433.7,1175.0,2375.0,11,,setembro/2026
João Pessoa,Gramame,casa,venda,3971.1,2275.0,4489.1,34,,setembro/2026
João Pessoa,Indústrias,casa,venda,2758.4,1150.0,3169.1,10,,setembro/2026
João Pessoa,Intermares,casa,venda,9724.4,8206.0,11501.1,12,,setembro/2026
João Pessoa,Jaguaribe,casa,venda,2333.3,2017.9,2941.2,21,10.59,setembro/2026
João Pessoa,Jaguaribe,casa,aluguel,20.6,14.0,23.3,5,10.59,setembro/2026
João Pessoa,Jardim Cidade Universitária,casa,venda,5208.3,3314.8,8022.2,35,,setembro/2026
João Pessoa,Jardim Oceania,casa,venda,7938.5,5750.0,9292.2,12,6.98,setembro/2026
João Pessoa,Jardim Oceania,casa,aluguel,46.2,42.9,48.7,5,6.98,setembro/2026
João Pessoa,Jardim São Paulo,casa,venda,3181.8,2537.9,5362.0,10,,setembro/2026
João Pessoa,João Paulo II,casa,venda,3909.8,2447.0,4787.0,24,,setembro/2026
João Pessoa,José Américo de Almeida,casa,venda,3662.4,2458.3,5000.0,41,,setembro/2026
João Pessoa,Manaíra,casa,venda,5187.5,3916.7,6518.4,23,8.44,setembro/2026
João Pessoa,Manaíra,casa,aluguel,36.5,27.7,45.9,8,8.44,setembro/2026
João Pessoa,Mangabeira,casa,venda,2550.3,1801.6,3417.6,27,,setembro/2026
João Pessoa,Miramar,casa,venda,4498.9,3588.0,5587.5,14,,setembro/2026
João Pessoa,Muçumagro,casa,venda,7147.4,5656.4,8243.1,76,,setembro/2026
João Pessoa,Paratibe,casa,venda,3000.0,2254.9,4017.9,29,,setembro/2026
João Pessoa,Pedro Gondim,casa,venda,4386.0,2857.1,5765.8,5,,setembro/2026
João Pessoa,Planalto Boa Esperança,casa,venda,3500.0,2845.7,4189.4,7,,setembro/2026
João Pessoa,Portal do Sol,casa,venda,7752.5,6328.0,9198.6,64,7.74,setembro/2026
João Pessoa,Portal do Sol,casa,aluguel,50.0,43.3,54.1,9,7.74,setembro/2026
João Pessoa,Tambauzinho,casa,venda,4800.0,3050.0,6524.6,17,,setembro/2026
João Pessoa,Torre,casa,venda,3361.1,2592.0,3868.9,10,4.96,setembro/2026
João Pessoa,Torre,casa,aluguel,13.9,12.5,14.9,5,4.96,setembro/2026
João Pessoa,Treze de Maio,casa,venda,3229.1,1927.8,4320.2,14,,setembro/2026
