cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Lages,Brusque,apartamento,venda,6697.2,4539.5,10574.7,9,,setembro/2026
Lages,Centenário,apartamento,venda,6313.4,5392.2,6603.8,5,,setembro/2026
Lages,Centro,apartamento,venda,5617.9,4293.5,8063.7,142,,setembro/2026
Lages,Conta Dinheiro,apartamento,venda,6037.7,4396.6,6650.0,11,,setembro/2026
Lages,Coral,apartamento,venda,6792.9,5588.2,7500.0,37,,setembro/2026
Lages,Frei Rogério,apartamento,venda,7274.8,6730.8,8490.6,5,,setembro/2026
Lages,Gethal,apartamento,venda,5108.7,4329.4,7221.3,6,,setembro/2026
Lages,Petrópolis,apartamento,venda,6725.8,5099.2,8288.3,10,,setembro/2026
Lages,Ponte Grande,apartamento,venda,5777.2,5113.6,6271.2,5,,setembro/2026
Lages,Promorar,apartamento,venda,2711.0,2231.2,3106.6,7,,setembro/2026
Lages,Sagrado Coração de Jesus,apartamento,venda,6791.2,6271.5,7772.2,7,,setembro/2026
Lages,São Cristóvão,apartamento,venda,7129.9,6156.1,8172.3,30,,setembro/2026
Lages,Universitário,apartamento,venda,6340.6,5146.8,6965.2,16,,setembro/2026
Lages,Vila Nova,apartamento,venda,6315.8,5131.6,6567.2,5,,setembro/2026
Lages,Araucária,casa,venda,1843.7,1366.6,2094.7,6,,setembro/2026
Lages,Beatriz,casa,venda,3520.0,2927.4,4546.9,11,,setembro/2026
Lages,Brusque,casa,venda,2470.6,2186.4,3053.6,14,,setembro/2026
Lages,Caravágio,casa,venda,3053.6,1922.2,4348.7,11,,setembro/2026
Lages,Centro,casa,venda,4601.9,3522.6,5682.8,58,,setembro/2026
Lages,Chapada,casa,venda,4642.5,4102.3,5323.7,18,,setembro/2026
Lages,Conta Dinheiro,casa,venda,1818.2,1139.6,2027.0,5,,setembro/2026
Lages,Copacabana,casa,venda,3972.0,2972.0,4916.7,33,,setembro/2026
Lages,Coral,casa,venda,4605.6,3721.7,5583.3,20,,setembro/2026
Lages,Frei Rogério,casa,venda,4483.5,2777.9,6244.3,20,,setembro/2026
Lages,Gethal,casa,venda,3499.4,1708.2,3615.2,7,,setembro/2026
Lages,Guarujá,casa,venda,4169.5,3556.8,5365.2,34,,setembro/2026
Lages,Jardim Panorâmico,casa,venda,4009.1,2879.8,5035.7,16,,setembro/2026
Lages,Maria Luiza,casa,venda,3197.3,3018.8,3368.5,6,,setembro/2026
Lages,Penha,casa,venda,4523.8,3978.4,5395.1,7,,setembro/2026
Lages,Petrópolis,casa,venda,2954.5,2020.7,3287.9,15,,setembro/2026
Lages,Popular,casa,venda,3100.8,2066.6,3993.5,11,,setembro/2026
Lages,Sagrado Coração de Jesus,casa,venda,4242.4,3044.4,5540.2,39,,setembro/2026
Lages,Santa Cândida,casa,venda,3689.3,3625.0,4571.4,5,,setembro/2026
Lages,Santa Catarina,casa,venda,3503.6,2570.7,4428.7,8,,setembro/2026
Lages,Santa Helena,casa,venda,3089.0,2567.5,3828.1,18,,setembro/2026
Lages,Santa Maria,casa,venda,1875.5,1080.1,3550.7,6,,setembro/2026
Lages,São Cristóvão,casa,venda,4440.6,3155.5,5089.6,22,,setembro/2026
Lages,São Miguel,casa,venda,4180.3,2890.1,4411.2,8,,setembro/2026
Lages,Universitário,casa,venda,3157.9,2285.7,5320.0,17,,setembro/2026
Lages,Vila Nova,casa,venda,2833.3,1922.4,4342.5,19,,setembro/2026
Lages,Bom Jesus,terreno,venda,236.2,219.5,442.9,5,,setembro/2026
Lages,Boqueirão,terreno,venda,584.1,477.7,658.1,8,,setembro/2026
Lages,Brusque,terreno,venda,1055.6,970.7,1130.7,7,,setembro/2026
Lages,Caroba,terreno,venda,150.0,115.9,218.8,10,,setembro/2026
Lages,Centro,terreno,venda,1506.4,825.3,1605.7,21,,setembro/2026
Lages,Chapada,terreno,venda,481.4,417.6,578.3,36,,setembro/2026
