cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Limeira,Boa Vista,apartamento,venda,4413.3,3398.3,5160.2,20,,setembro/2026
Limeira,Centro,apartamento,venda,3611.1,2891.2,4755.2,237,6.68,setembro/2026
Limeira,Centro,apartamento,aluguel,20.1,14.1,29.9,47,6.68,setembro/2026
Limeira,Chácara Antonieta,apartamento,venda,6100.0,5268.6,6768.3,39,6.9,setembro/2026
Limeira,Chácara Antonieta,apartamento,aluguel,35.1,31.7,36.3,5,6.9,setembro/2026
Limeira,Chácara Boa Vista da Graminha,apartamento,venda,7633.3,7222.2,8364.3,13,,setembro/2026
Limeira,Chácaras Antonieta,apartamento,venda,6000.0,5389.6,6899.1,47,6.5,setembro/2026
Limeira,Chácaras Antonieta,apartamento,aluguel,32.5,28.5,39.6,22,6.5,setembro/2026
Limeira,Cidade Jardim,apartamento,venda,3482.6,2932.9,3843.1,11,5.58,setembro/2026
Limeira,Cidade Jardim,apartamento,aluguel,16.2,13.8,17.5,5,5.58,setembro/2026
Limeira,Condomínio Varandas,apartamento,venda,6108.2,5766.8,6542.6,6,,setembro/2026
Limeira,Desmembramento Oscar Antonio Breda,apartamento,venda,8239.4,7037.1,8793.1,7,5.58,setembro/2026
Limeira,Desmembramento Oscar Antonio Breda,apartamento,aluguel,38.3,33.4,45.1,6,5.58,setembro/2026
Limeira,Fazenda Duas Barras,apartamento,venda,4907.4,2770.6,5307.8,16,6.92,setembro/2026
Limeira,Fazenda Duas Barras,apartamento,aluguel,28.3,27.8,31.5,7,6.92,setembro/2026
Limeira,Gleba Beatriz,apartamento,venda,5852.9,5648.1,6410.1,10,,setembro/2026
Limeira,Graminha,apartamento,venda,5959.6,5052.5,6977.6,24,,setembro/2026
Limeira,Itaipu,apartamento,venda,3260.9,3076.4,4358.6,8,,setembro/2026
Limeira,Jardim Adélia Cavicchia Grotta,apartamento,venda,5925.9,5315.0,6734.7,15,,setembro/2026
Limeira,Jardim Aquárius,apartamento,venda,11316.7,10171.5,12897.4,22,4.99,setembro/2026
Limeira,Jardim Aquárius,apartamento,aluguel,47.1,42.4,62.5,8,4.99,setembro/2026
Limeira,Jardim Brasil,apartamento,venda,3666.7,3548.4,3951.6,5,,setembro/2026
Limeira,Jardim Campo Belo,apartamento,venda,4388.4,3328.1,5198.8,28,4.73,setembro/2026
Limeira,Jardim Campo Belo,apartamento,aluguel,17.3,16.0,19.5,6,4.73,setembro/2026
Limeira,Jardim Cidade Universitária I,apartamento,aluguel,52.0,47.7,60.6,12,,setembro/2026
Limeira,Jardim Colina Verde,apartamento,venda,4791.7,4423.1,5608.7,33,,setembro/2026
Limeira,Jardim da Graminha,apartamento,venda,5521.3,4917.0,5789.7,8,,setembro/2026
Limeira,Jardim do Lago,apartamento,venda,5243.1,4433.3,6470.4,40,7.55,setembro/2026
Limeira,Jardim do Lago,apartamento,aluguel,33.0,29.4,38.4,14,7.55,setembro/2026
Limeira,Jardim Esmeralda,apartamento,venda,6180.3,5529.0,6637.9,26,6.29,setembro/2026
Limeira,Jardim Esmeralda,apartamento,aluguel,32.4,28.9,36.1,12,6.29,setembro/2026
Limeira,Jardim Esteves,apartamento,venda,6239.1,5594.8,7099.7,20,,setembro/2026
Limeira,Jardim Florença,apartamento,venda,9535.4,7471.1,10332.6,24,3.66,setembro/2026
Limeira,Jardim Florença,apartamento,aluguel,29.1,28.6,41.7,5,3.66,setembro/2026
Limeira,Jardim Ipiranga,apartamento,venda,4183.3,3791.7,4244.4,6,,setembro/2026
Limeira,Jardim Nossa Senhora de Fátima,apartamento,venda,9325.8,8966.3,9865.1,11,,setembro/2026
Limeira,Jardim Olga Veroni,apartamento,venda,3055.6,2616.7,3541.7,26,9.82,setembro/2026
Limeira,Jardim Olga Veroni,apartamento,aluguel,25.0,23.5,30.0,5,9.82,setembro/2026
Limeira,Jardim Orestes Veroni,apartamento,venda,6592.6,6188.5,7472.2,8,,setembro/2026
Limeira,Jardim Ouro Verde,apartamento,venda,5071.4,4761.9,5942.0,29,5.77,setembro/2026
Limeira,Jardim Ouro Verde,apartamento,aluguel,24.4,24.3,35.2,5,5.77,setembro/2026
Limeira,Jardim Parque Avenida,apartamento,venda,11377.6,10612.2,12244.9,9,,setembro/2026
Limeira,Jardim Parque Novo Mundo,apartamento,venda,5227.3,4530.2,6047.2,22,7.16,setembro/2026
Limeira,Jardim Parque Novo Mundo,apartamento,aluguel,31.2,28.6,36.6,18,7.16,setembro/2026
Limeira,Jardim Pérola,apartamento,venda,5538.5,5160.7,6071.4,9,,setembro/2026
Limeira,Jardim Piratininga,apartamento,venda,4321.0,3905.2,5108.7,31,,setembro/2026
Limeira,Jardim Residencial Francisco Cruãnes,apartamento,venda,8279.6,7860.8,8724.0,6,,setembro/2026
Limeira,Jardim Residencial Recanto Alvorada,apartamento,venda,2818.2,2254.9,3636.4,9,,setembro/2026
Limeira,Jardim Residencial Roseira,apartamento,venda,5660.4,5000.0,6981.1,13,,setembro/2026
Limeira,Jardim Residencial Victório Lucato,apartamento,venda,4830.5,4626.8,5225.0,6,,setembro/2026
Limeira,Jardim Rosa Marrafon Lucas,apartamento,venda,5421.7,4512.2,6481.5,5,,setembro/2026
Limeira,Jardim Santa Adélia,apartamento,venda,7018.5,5803.6,8020.8,38,7.2,setembro/2026
Limeira,Jardim Santa Adélia,apartamento,aluguel,42.1,34.5,47.4,25,7.2,setembro/2026
Limeira,Jardim Santo André,apartamento,venda,9459.1,8989.0,9992.8,15,5.05,setembro/2026
Limeira,Jardim Santo André,apartamento,aluguel,39.8,37.3,45.3,10,5.05,setembro/2026
Limeira,Jardim São Paulo,apartamento,venda,5970.6,5645.4,6451.2,6,,setembro/2026
Limeira,Jardim São Roque,apartamento,venda,6804.1,5645.2,8237.1,9,,setembro/2026
Limeira,Jardim Senador Vergueiro,apartamento,venda,7692.3,6666.7,9142.9,17,6.96,setembro/2026
Limeira,Jardim Senador Vergueiro,apartamento,aluguel,44.6,38.5,48.9,5,6.96,setembro/2026
Limeira,Jardim Trevo,apartamento,venda,5714.3,5142.9,6470.6,13,,setembro/2026
Limeira,Parque das Nações,apartamento,venda,5000.0,4434.0,5196.1,9,,setembro/2026
Limeira,Parque Egisto Ragazzo,apartamento,venda,4629.6,4140.6,5207.1,17,,setembro/2026
Limeira,Parque Hippolyto,apartamento,venda,5260.9,4674.4,6146.6,24,,setembro/2026
Limeira,Parque Novo Mundo,apartamento,venda,5000.0,4526.8,6073.6,31,,setembro/2026
Limeira,Parque Residencial Abílio Pedro,apartamento,venda,3416.7,3309.7,3735.1,10,,setembro/2026
Limeira,Parque Residencial Anavec,apartamento,venda,5769.2,5405.1,6252.7,11,,setembro/2026
Limeira,Residencial Alto do Lago,apartamento,venda,5957.4,5526.3,5978.3,5,,setembro/2026
Limeira,Residencial Costa Verde,apartamento,venda,4367.8,3669.9,4840.1,10,,setembro/2026
Limeira,Residencial Jardins,apartamento,venda,5534.3,4978.4,6085.9,12,6.4,setembro/2026
Limeira,Residencial Jardins,apartamento,aluguel,29.5,27.6,33.7,5,6.4,setembro/2026
Limeira,Residencial Morada das Acácias,apartamento,venda,4782.6,4166.7,5111.1,17,,setembro/2026
Limeira,Residencial Rubi,apartamento,venda,4560.3,3076.2,5538.7,22,8.21,setembro/2026
Limeira,Residencial Rubi,apartamento,aluguel,31.2,27.7,38.3,13,8.21,setembro/2026
Limeira,Residencial Villa do Sol,apartamento,venda,5957.4,5063.8,7511.4,9,,setembro/2026
Limeira,Terras de São Bento II,apartamento,venda,9375.0,9133.5,14886.4,5,,setembro/2026
Limeira,Vale das Esmeraldas,apartamento,venda,6681.5,6096.5,7147.1,20,,setembro/2026
Limeira,Vila Camargo,apartamento,venda,5270.5,4489.7,6171.3,32,4.76,setembro/2026
Limeira,Vila Camargo,apartamento,aluguel,20.9,18.0,36.4,5,4.76,setembro/2026
Limeira,Vila Cidade Jardim,apartamento,venda,3766.9,3455.0,4495.1,22,,setembro/2026
Limeira,Vila Claudia,apartamento,venda,3623.2,3167.3,4098.4,5,,setembro/2026
Limeira,Vila Conceição,apartamento,venda,3953.5,3764.0,4268.3,9,,setembro/2026
Limeira,Vila Cristóvam,apartamento,venda,8760.0,8097.4,9236.0,14,,setembro/2026
Limeira,Vila Independência,apartamento,venda,3866.5,3578.0,4386.4,22,,setembro/2026
Limeira,Vila Labaki,apartamento,venda,4655.2,4138.4,4915.3,9,,setembro/2026
Limeira,Vila Limeirânea,apartamento,venda,6350.8,5681.2,6673.4,8,,setembro/2026
Limeira,Vila Paraíso,apartamento,venda,3823.5,3430.6,3975.5,7,,setembro/2026
Limeira,Vila Paulista,apartamento,venda,4032.3,3494.0,4354.8,9,,setembro/2026
Limeira,Vila Primavera,apartamento,venda,8845.9,7785.2,9833.3,23,3.59,setembro/2026
Limeira,Vila Primavera,apartamento,aluguel,26.5,23.8,35.0,6,3.59,setembro/2026
Limeira,Vila Queiroz,apartamento,venda,4959.3,4400.0,5957.4,25,8.13,setembro/2026
Limeira,Vila Queiroz,apartamento,aluguel,33.6,31.9,35.4,6,8.13,setembro/2026
Limeira,Vila Santa Rosália,apartamento,venda,8295.5,7753.6,8985.5,13,5.69,setembro/2026
Limeira,Vila Santa Rosália,apartamento,aluguel,39.3,38.8,50.0,5,5.69,setembro/2026
Limeira,Vila São Geraldo,apartamento,venda,8047.6,7193.7,8810.1,6,,setembro/2026
Limeira,Vila Teixeira Marques,apartamento,venda,5000.0,4615.4,5288.5,13,,setembro/2026
Limeira,Boa Vista,casa,venda,2906.0,2592.1,3380.0,42,6.65,setembro/2026
Limeira,Boa Vista,casa,aluguel,16.1,12.6,18.2,6,6.65,setembro/2026
Limeira,Centro,casa,venda,3418.8,2626.6,4355.2,72,7.27,setembro/2026
Limeira,Centro,casa,aluguel,20.7,15.9,29.3,40,7.27,setembro/2026
Limeira,Chácaras Antonieta,casa,venda,3368.1,2884.1,3971.7,6,,setembro/2026
Limeira,Cidade Jardim,casa,venda,2316.1,2134.1,4188.6,12,11.24,setembro/2026
Limeira,Cidade Jardim,casa,aluguel,21.7,14.8,27.0,7,11.24,setembro/2026
Limeira,Conjunto Habitacional Victor d'Andrea,casa,venda,2201.8,2144.7,2668.7,9,,setembro/2026
Limeira,Conjunto Residencial Victor d'Andrea,casa,venda,2019.5,1953.3,2324.8,6,,setembro/2026
Limeira,Graminha,casa,venda,3300.0,3133.5,4002.8,7,,setembro/2026
Limeira,Jardim Adélia Cavicchia Grotta,casa,venda,3422.5,2868.7,4407.6,18,,setembro/2026
Limeira,Jardim Águas da Serra,casa,venda,3235.7,2096.5,3914.0,6,,setembro/2026
Limeira,Jardim Aquárius,casa,venda,5714.3,5080.2,6256.5,7,7.27,setembro/2026
Limeira,Jardim Aquárius,casa,aluguel,34.6,29.1,40.9,5,7.27,setembro/2026
Limeira,Jardim Bandeirantes,casa,venda,3000.0,2283.2,3555.5,7,,setembro/2026
Limeira,Jardim Barão,casa,venda,2874.1,2540.3,3589.7,10,,setembro/2026
Limeira,Jardim Bela Vista,casa,venda,3010.8,2952.8,3090.9,5,,setembro/2026
Limeira,Jardim Boa Vista,casa,venda,3258.2,2990.2,3965.1,14,,setembro/2026
Limeira,Jardim Brasil,casa,venda,2675.5,2128.5,3610.8,7,,setembro/2026
Limeira,Jardim Caieira,casa,venda,2991.8,2733.1,3888.9,25,,setembro/2026
Limeira,Jardim Campo Belo,casa,venda,3345.2,2466.1,4391.7,28,8.82,setembro/2026
Limeira,Jardim Campo Belo,casa,aluguel,24.6,20.7,26.7,5,8.82,setembro/2026
Limeira,Jardim Campo Verde,casa,venda,3963.3,3769.5,4897.5,7,,setembro/2026
Limeira,Jardim Campo Verde I,casa,venda,4689.7,3695.7,5361.5,13,,setembro/2026
Limeira,Jardim Campo Verde II,casa,venda,5000.0,4640.0,7156.0,5,,setembro/2026
Limeira,Jardim Canaã,casa,venda,3459.1,2756.6,3942.6,11,,setembro/2026
Limeira,Jardim Cavinato,casa,venda,2642.6,2222.2,3333.3,9,,setembro/2026
Limeira,Jardim Colina Verde,casa,venda,6880.7,4285.7,8080.8,13,,setembro/2026
Limeira,Jardim Colinas de São João,casa,venda,8241.8,6709.5,9247.8,19,,setembro/2026
Limeira,Jardim da Graminha,casa,venda,3162.8,2403.8,4317.7,11,,setembro/2026
Limeira,Jardim das Palmeiras,casa,venda,3070.6,2848.7,3459.3,18,,setembro/2026
Limeira,Jardim do Lago,casa,venda,2658.2,2222.2,3666.7,17,,setembro/2026
Limeira,Jardim dos Jequitibás,casa,venda,3404.8,2877.7,4348.9,28,,setembro/2026
Limeira,Jardim Elite,casa,venda,3482.5,2021.1,4632.5,12,,setembro/2026
Limeira,Jardim Esmeralda,casa,venda,2416.9,1876.6,3062.5,10,,setembro/2026
Limeira,Jardim Florença,casa,venda,5060.0,4512.2,7032.0,26,5.24,setembro/2026
Limeira,Jardim Florença,casa,aluguel,22.1,18.0,26.2,5,5.24,setembro/2026
Limeira,Jardim Glória,casa,venda,2923.2,2576.9,3346.9,6,,setembro/2026
Limeira,Jardim Gustavo Peccinini,casa,venda,3631.2,3166.7,4157.0,5,,setembro/2026
Limeira,Jardim Gustavo Picinini,casa,venda,3277.9,3245.6,3578.9,5,,setembro/2026
Limeira,Jardim Hortência,casa,venda,2741.0,2622.2,2901.9,9,,setembro/2026
Limeira,Jardim Ibirapuera,casa,venda,2822.6,2625.0,4108.5,9,,setembro/2026
Limeira,Jardim Ipanema,casa,venda,3238.3,2600.0,3705.6,15,,setembro/2026
Limeira,Jardim Lago Azul,casa,venda,3352.0,3048.8,3571.4,9,,setembro/2026
Limeira,Jardim Lagoa Nova,casa,venda,3042.7,2352.2,3634.3,22,,setembro/2026
Limeira,Jardim Manacá,casa,venda,3281.2,2907.0,3440.9,9,,setembro/2026
Limeira,Jardim Marajoara,casa,venda,5032.7,4574.5,5841.0,16,,setembro/2026
Limeira,Jardim Maria Flora,casa,venda,6363.2,3440.5,6674.0,6,,setembro/2026
Limeira,Jardim Mediterrâneo,casa,venda,4173.9,3993.7,4265.5,7,,setembro/2026
Limeira,Jardim Mercedes,casa,venda,3694.3,3499.7,4350.4,10,,setembro/2026
Limeira,Jardim Monte Carlo,casa,venda,5882.4,4423.7,6433.8,5,,setembro/2026
Limeira,Jardim Montezuma,casa,venda,3291.1,3081.2,5050.0,9,7.91,setembro/2026
Limeira,Jardim Montezuma,casa,aluguel,21.7,20.5,28.1,8,7.91,setembro/2026
Limeira,Jardim Morro Azul,casa,venda,2500.0,2342.2,2780.9,11,6.72,setembro/2026
Limeira,Jardim Morro Azul,casa,aluguel,14.0,9.6,19.6,5,6.72,setembro/2026
Limeira,Jardim Morro Branco,casa,venda,2560.5,2175.8,3861.5,6,,setembro/2026
Limeira,Jardim Nereide,casa,venda,3866.7,2870.2,4741.6,7,,setembro/2026
Limeira,Jardim Nossa Senhora de Fátima,casa,venda,6166.7,5254.2,7272.7,7,,setembro/2026
Limeira,Jardim Nossa Senhora do Amparo,casa,venda,3856.2,3640.3,4602.9,8,,setembro/2026
Limeira,Jardim Nova Europa,casa,venda,3452.7,2329.8,3927.6,18,,setembro/2026
Limeira,Jardim Nova Itália,casa,venda,3166.7,2680.0,3231.7,13,,setembro/2026
Limeira,Jardim Nova Suíça,casa,venda,2645.8,1985.8,3394.2,34,8.39,setembro/2026
Limeira,Jardim Nova Suíça,casa,aluguel,18.5,16.2,23.5,7,8.39,setembro/2026
