cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Macapá,Brasil Novo,casa,venda,5664.1,4498.3,5959.5,7,,setembro/2026
Macapá,Cabralzinho,casa,venda,4591.8,4189.2,5179.9,31,,setembro/2026
Macapá,Central,casa,venda,6030.3,4889.2,7005.9,16,,setembro/2026
Macapá,Fazendinha,casa,venda,4750.0,4280.8,5693.3,7,,setembro/2026
Macapá,Jardim Felicidade,casa,venda,3080.2,3024.2,4225.0,5,,setembro/2026
Macapá,Jardim Marco Zero,casa,venda,4213.5,2268.3,6002.8,10,,setembro/2026
Macapá,Marabaixo,casa,venda,4121.3,3159.7,4925.8,20,,setembro/2026
Macapá,Renascer,casa,venda,4227.5,2933.3,5900.0,9,,setembro/2026
Macapá,Santa Rita,casa,venda,3028.0,2142.7,4424.5,8,,setembro/2026
Macapá,São José,casa,venda,5001.8,4232.0,5258.6,32,,setembro/2026
Macapá,Universidade,casa,venda,5061.9,4710.1,5790.9,12,,setembro/2026
Macapá,Central,apartamento,venda,8989.5,7962.7,9324.9,8,,setembro/2026
Macapá,Jardim Marco Zero,apartamento,venda,7324.7,6405.2,8181.8,5,,setembro/2026
Macapá,Universidade,apartamento,venda,5221.5,4277.8,8008.0,7,,setembro/2026
Macapá,Brasil Novo,terreno,venda,673.6,279.5,1107.6,6,,setembro/2026
Macapá,Marabaixo,terreno,venda,496.8,440.0,958.1,9,,setembro/2026
Macapá,São José,terreno,venda,560.0,545.5,743.9,5,,setembro/2026
