cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Maceió,Antares,casa,venda,5036.2,3011.9,5955.9,64,7.36,setembro/2026
Maceió,Antares,casa,aluguel,30.9,28.7,35.9,10,7.36,setembro/2026
Maceió,Barro Duro,casa,venda,3556.7,3224.6,4140.4,24,6.95,setembro/2026
Maceió,Barro Duro,casa,aluguel,20.6,15.5,22.5,5,6.95,setembro/2026
Maceió,Benedito Bentes,casa,venda,2050.0,1782.4,2980.8,22,,setembro/2026
Maceió,Canaã,casa,venda,4110.8,2684.0,4713.2,6,,setembro/2026
Maceió,Centro,casa,venda,3529.4,2649.0,4109.6,13,,setembro/2026
Maceió,Cidade Universitária,casa,venda,2463.1,1583.3,3854.2,59,11.01,setembro/2026
Maceió,Cidade Universitária,casa,aluguel,22.6,18.5,26.7,9,11.01,setembro/2026
Maceió,Clima Bom,casa,venda,1596.8,1270.0,1783.7,14,,setembro/2026
Maceió,Cruz das Almas,casa,venda,5349.6,3833.3,6473.2,8,,setembro/2026
Maceió,Farol,casa,venda,2848.1,2045.3,3532.1,19,8.13,setembro/2026
Maceió,Farol,casa,aluguel,19.3,17.8,20.6,6,8.13,setembro/2026
Maceió,Feitosa,casa,venda,2955.8,2543.6,3843.8,24,,setembro/2026
Maceió,Garça Torta,casa,venda,7903.2,6250.0,12474.0,33,,setembro/2026
Maceió,Gruta de Lourdes,casa,venda,3367.9,2890.6,4583.3,39,,setembro/2026
Maceió,Guaxuma,casa,venda,7558.1,6993.4,8653.8,21,,setembro/2026
Maceió,Ipioca,casa,venda,3666.7,2272.7,4686.3,29,,setembro/2026
Maceió,Jacarecica,casa,venda,6380.8,4430.8,7283.7,12,,setembro/2026
Maceió,Jacintinho,casa,venda,2436.1,1882.2,2990.8,6,,setembro/2026
Maceió,Jardim Petrópolis,casa,venda,4445.5,3614.2,5211.2,66,8.31,setembro/2026
Maceió,Jardim Petrópolis,casa,aluguel,30.8,25.3,33.2,10,8.31,setembro/2026
Maceió,Jatiúca,casa,venda,4911.6,4311.2,9747.5,10,7.33,setembro/2026
Maceió,Jatiúca,casa,aluguel,30.0,27.9,44.6,8,7.33,setembro/2026
Maceió,Mangabeiras,casa,venda,5476.2,3927.2,6341.0,8,,setembro/2026
Maceió,Petrópolis,casa,venda,2154.2,1758.1,2565.7,6,,setembro/2026
Maceió,Pitanguinha,casa,venda,2761.9,2594.3,3344.3,7,,setembro/2026
Maceió,Poço,casa,venda,3776.9,2742.3,4546.9,22,,setembro/2026
Maceió,Ponta Grossa,casa,venda,1964.3,1695.5,2791.7,15,,setembro/2026
Maceió,Pontal da Barra,casa,venda,2741.9,2533.3,2950.9,5,,setembro/2026
Maceió,Prado,casa,venda,2333.3,1906.5,2758.6,23,,setembro/2026
Maceió,Santa Amélia,casa,venda,3511.5,1991.2,4977.7,15,,setembro/2026
Maceió,Santa Lúcia,casa,venda,1896.8,1508.7,2334.5,16,,setembro/2026
Maceió,Santos Dumont,casa,venda,1815.5,1170.1,2107.1,26,,setembro/2026
Maceió,São Jorge,casa,venda,6000.0,2812.5,6071.4,5,,setembro/2026
Maceió,Serraria,casa,venda,4888.9,3902.4,5833.3,57,,setembro/2026
Maceió,Tabuleiro do Martins,casa,venda,1935.6,1437.5,3204.5,24,,setembro/2026
Maceió,Trapiche da Barra,casa,venda,1961.5,1372.5,2154.4,12,,setembro/2026
Maceió,Vergel do Lago,casa,venda,1769.2,1369.2,2950.0,9,,setembro/2026
Maceió,Antares,apartamento,venda,5186.3,4545.5,6378.0,40,8.56,setembro/2026
Maceió,Antares,apartamento,aluguel,37.0,32.9,43.8,26,8.56,setembro/2026
Maceió,Barro Duro,apartamento,venda,7888.9,6644.1,8531.8,31,,setembro/2026
Maceió,Benedito Bentes,apartamento,venda,3229.2,3018.9,3800.0,29,10.33,setembro/2026
Maceió,Benedito Bentes,apartamento,aluguel,27.8,24.2,31.2,10,10.33,setembro/2026
Maceió,Centro,apartamento,venda,6462.6,3854.2,10362.6,10,,setembro/2026
Maceió,Cidade Universitária,apartamento,venda,5044.4,4581.1,5915.9,18,7.78,setembro/2026
Maceió,Cidade Universitária,apartamento,aluguel,32.7,27.8,35.6,17,7.78,setembro/2026
Maceió,Cruz das Almas,apartamento,venda,12831.9,10128.2,15711.6,128,5.99,setembro/2026
Maceió,Cruz das Almas,apartamento,aluguel,64.1,54.8,79.6,55,5.99,setembro/2026
Maceió,Farol,apartamento,venda,7219.0,5797.6,9216.0,76,8.16,setembro/2026
Maceió,Farol,apartamento,aluguel,49.1,42.3,53.6,19,8.16,setembro/2026
Maceió,Feitosa,apartamento,venda,3571.4,3370.9,3876.6,15,,setembro/2026
Maceió,Gruta de Lourdes,apartamento,venda,6462.4,4877.2,7948.1,34,,setembro/2026
Maceió,Guaxuma,apartamento,venda,10558.6,8654.1,11788.0,48,7.19,setembro/2026
Maceió,Guaxuma,apartamento,aluguel,63.3,56.6,66.2,10,7.19,setembro/2026
Maceió,Ipioca,apartamento,venda,13609.9,10888.9,14860.1,20,,setembro/2026
Maceió,Jacarecica,apartamento,venda,12104.1,10599.7,15158.8,68,6.94,setembro/2026
Maceió,Jacarecica,apartamento,aluguel,70.0,62.2,100.0,9,6.94,setembro/2026
Maceió,Jatiúca,apartamento,venda,11555.6,8456.9,14492.0,307,6.32,setembro/2026
Maceió,Jatiúca,apartamento,aluguel,60.9,49.1,75.6,129,6.32,setembro/2026
Maceió,Mangabeiras,apartamento,venda,8833.3,7746.0,10634.7,63,6.32,setembro/2026
Maceió,Mangabeiras,apartamento,aluguel,46.5,37.1,58.8,17,6.32,setembro/2026
Maceió,Pajuçara,apartamento,venda,14750.5,11038.3,18828.7,58,5.01,setembro/2026
Maceió,Pajuçara,apartamento,aluguel,61.6,50.1,77.4,24,5.01,setembro/2026
Maceió,Pescaria,apartamento,venda,7190.3,6213.5,7695.5,14,,setembro/2026
Maceió,Petrópolis,apartamento,venda,3690.5,3111.1,4285.7,21,9.92,setembro/2026
Maceió,Petrópolis,apartamento,aluguel,30.5,28.8,31.6,8,9.92,setembro/2026
Maceió,Pinheiro,apartamento,aluguel,47.3,43.5,51.2,6,,setembro/2026
Maceió,Poço,apartamento,venda,6923.1,5500.0,8219.2,25,8.6,setembro/2026
Maceió,Poço,apartamento,aluguel,49.6,44.5,59.8,18,8.6,setembro/2026
Maceió,Ponta da Terra,apartamento,venda,8035.1,6153.0,11738.8,6,,setembro/2026
Maceió,Ponta Verde,apartamento,venda,11506.5,8333.3,15545.1,392,6.11,setembro/2026
Maceió,Ponta Verde,apartamento,aluguel,58.6,45.8,79.0,124,6.11,setembro/2026
Maceió,Prado,apartamento,venda,4520.2,4169.3,4796.9,8,,setembro/2026
Maceió,Santa Amélia,apartamento,venda,3827.1,3346.8,4851.5,26,,setembro/2026
Maceió,Santa Lúcia,apartamento,venda,4166.7,3964.3,4437.8,7,,setembro/2026
Maceió,Santos Dumont,apartamento,venda,3207.5,2476.1,3678.9,7,,setembro/2026
Maceió,São Jorge,apartamento,venda,6259.3,5357.1,8488.4,29,8.65,setembro/2026
Maceió,São Jorge,apartamento,aluguel,45.1,42.2,47.5,8,8.65,setembro/2026
Maceió,Serraria,apartamento,venda,5511.8,4547.9,7153.2,54,6.97,setembro/2026
Maceió,Serraria,apartamento,aluguel,32.0,27.9,42.9,21,6.97,setembro/2026
Maceió,Tabuleiro do Martins,apartamento,venda,4761.9,3771.8,5631.3,45,8.01,setembro/2026
Maceió,Tabuleiro do Martins,apartamento,aluguel,31.8,28.6,35.7,21,8.01,setembro/2026
Maceió,Antares,terreno,venda,1134.3,814.0,1338.7,11,,setembro/2026
Maceió,Cidade Universitária,terreno,venda,1265.0,1060.4,1406.2,8,,setembro/2026
Maceió,Farol,terreno,venda,1578.9,1000.0,2815.0,7,,setembro/2026
Maceió,Garça Torta,terreno,venda,1494.3,1001.0,2241.5,11,,setembro/2026
Maceió,Guaxuma,terreno,venda,1070.3,951.3,1400.7,18,,setembro/2026
Maceió,Ipioca,terreno,venda,603.2,382.3,651.5,8,,setembro/2026
Maceió,Jardim Petrópolis,terreno,venda,1162.4,947.7,1517.1,8,,setembro/2026
Maceió,Serraria,terreno,venda,1149.8,909.1,1583.3,13,,setembro/2026
