cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Manaus,Adrianópolis,apartamento,venda,9878.9,6670.2,12266.7,96,7.91,setembro/2026
Manaus,Adrianópolis,apartamento,aluguel,65.1,52.9,79.3,24,7.91,setembro/2026
Manaus,Aleixo,apartamento,venda,8424.4,7125.1,9920.9,54,8.28,setembro/2026
Manaus,Aleixo,apartamento,aluguel,58.1,47.2,64.2,12,8.28,setembro/2026
Manaus,Alvorada,apartamento,venda,6086.6,5608.6,6290.6,10,,setembro/2026
Manaus,Centro,apartamento,venda,4264.1,3147.6,5432.2,28,11.06,setembro/2026
Manaus,Centro,apartamento,aluguel,39.3,35.0,48.2,8,11.06,setembro/2026
Manaus,Chapada,apartamento,venda,5287.8,4392.4,7168.6,26,8.12,setembro/2026
Manaus,Chapada,apartamento,aluguel,35.8,34.2,43.2,8,8.12,setembro/2026
Manaus,Cidade Nova,apartamento,venda,5000.0,3640.6,5249.6,11,8.28,setembro/2026
Manaus,Cidade Nova,apartamento,aluguel,34.5,19.8,49.3,6,8.28,setembro/2026
Manaus,Colônia Santo Antônio,apartamento,venda,5190.1,4617.0,5507.4,8,,setembro/2026
Manaus,Colônia Terra Nova,apartamento,venda,3833.3,3287.6,4428.1,23,9.39,setembro/2026
Manaus,Colônia Terra Nova,apartamento,aluguel,30.0,26.7,34.9,9,9.39,setembro/2026
Manaus,Compensa,apartamento,venda,5463.5,3445.7,6159.3,8,,setembro/2026
Manaus,Coroado,apartamento,venda,5949.4,4767.2,7147.7,7,,setembro/2026
Manaus,Da Paz,apartamento,venda,5476.2,3866.7,6447.1,17,,setembro/2026
Manaus,Distrito Industrial I,apartamento,venda,4705.9,4285.7,5662.2,9,,setembro/2026
Manaus,Dom Pedro,apartamento,venda,7908.6,6949.8,9245.9,36,9.03,setembro/2026
Manaus,Dom Pedro,apartamento,aluguel,59.5,53.0,62.5,9,9.03,setembro/2026
Manaus,Dom Pedro I,apartamento,venda,8108.9,7064.5,9262.5,19,7.99,setembro/2026
Manaus,Dom Pedro I,apartamento,aluguel,54.0,49.4,61.0,8,7.99,setembro/2026
Manaus,Flores,apartamento,venda,6158.2,5044.7,7341.3,46,8.57,setembro/2026
Manaus,Flores,apartamento,aluguel,44.0,33.3,49.0,29,8.57,setembro/2026
Manaus,Gilberto Mestrinho,apartamento,venda,4671.5,4379.9,5967.2,6,,setembro/2026
Manaus,Japiim,apartamento,venda,4857.5,4155.0,6779.5,20,,setembro/2026
Manaus,Lago Azul,apartamento,venda,2901.4,2402.9,3943.4,46,12.12,setembro/2026
Manaus,Lago Azul,apartamento,aluguel,29.3,27.1,33.3,5,12.12,setembro/2026
Manaus,Lírio do Vale,apartamento,venda,6092.1,5393.4,6708.5,10,7.88,setembro/2026
Manaus,Lírio do Vale,apartamento,aluguel,40.0,29.9,49.1,7,7.88,setembro/2026
Manaus,Morada do Sol,apartamento,venda,10747.1,9791.6,11751.6,12,,setembro/2026
Manaus,Nossa Senhora das Graças,apartamento,venda,6725.5,5379.9,9150.8,54,9.03,setembro/2026
Manaus,Nossa Senhora das Graças,apartamento,aluguel,50.6,41.7,64.1,26,9.03,setembro/2026
Manaus,Nova Esperança,apartamento,venda,6811.0,5613.2,9673.9,12,,setembro/2026
Manaus,Novo Aleixo,apartamento,venda,6355.9,5554.8,6852.2,11,10.57,setembro/2026
Manaus,Novo Aleixo,apartamento,aluguel,56.0,49.6,58.9,7,10.57,setembro/2026
Manaus,Parque 10 de Novembro,apartamento,venda,6431.9,5387.6,7555.8,66,9.33,setembro/2026
Manaus,Parque 10 de Novembro,apartamento,aluguel,50.0,43.0,63.3,30,9.33,setembro/2026
Manaus,Planalto,apartamento,venda,6730.8,6177.7,7625.3,35,8.91,setembro/2026
Manaus,Planalto,apartamento,aluguel,50.0,47.5,57.6,7,8.91,setembro/2026
Manaus,Ponta Negra,apartamento,venda,8449.5,7278.8,11430.5,103,7.71,setembro/2026
Manaus,Ponta Negra,apartamento,aluguel,54.3,45.2,62.9,71,7.71,setembro/2026
Manaus,Praça 14 de Janeiro,apartamento,venda,10229.9,4250.0,10919.5,5,,setembro/2026
Manaus,Santa Etelvina,apartamento,venda,2619.0,2286.9,4139.6,8,,setembro/2026
Manaus,Santo Agostinho,apartamento,aluguel,50.5,48.1,52.8,6,,setembro/2026
Manaus,São Francisco,apartamento,venda,8333.3,6944.1,8390.8,7,,setembro/2026
Manaus,São Jorge,apartamento,venda,7736.4,6201.3,9340.9,14,9.69,setembro/2026
Manaus,São Jorge,apartamento,aluguel,62.5,61.7,66.5,8,9.69,setembro/2026
Manaus,São José Operário,apartamento,venda,5253.8,4030.2,5749.8,18,,setembro/2026
Manaus,Tarumã,apartamento,venda,3722.2,3200.1,4372.2,14,11.8,setembro/2026
Manaus,Tarumã,apartamento,aluguel,36.6,32.1,45.2,9,11.8,setembro/2026
Manaus,Tarumã-Açu,apartamento,venda,2833.3,2370.4,4166.7,25,,setembro/2026
Manaus,Vieiralves,apartamento,venda,5339.8,5048.5,7222.2,9,,setembro/2026
Manaus,Adrianópolis,casa,venda,4807.8,2855.8,7292.3,23,,setembro/2026
Manaus,Aleixo,casa,venda,5141.4,2925.9,9848.5,43,,setembro/2026
Manaus,Alvorada,casa,venda,1826.9,1500.0,2576.4,24,,setembro/2026
Manaus,Cachoeirinha,casa,venda,2291.5,1588.3,3691.0,10,,setembro/2026
