cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Natal,Alecrim,casa,venda,1975.9,1370.9,2691.1,46,,setembro/2026
Natal,Barro Vermelho,casa,venda,1928.6,1695.5,2570.1,53,10.89,setembro/2026
Natal,Barro Vermelho,casa,aluguel,17.5,12.0,21.7,6,10.89,setembro/2026
Natal,Candelária,casa,venda,3833.9,2400.0,6285.7,65,,setembro/2026
Natal,Capim Macio,casa,venda,3000.0,2428.6,4063.6,73,,setembro/2026
Natal,Cidade Alta,casa,venda,1815.4,1680.7,2103.6,14,,setembro/2026
Natal,Dix-Sept Rosado,casa,venda,1500.0,1481.5,2215.6,5,,setembro/2026
Natal,Igapó,casa,venda,1236.3,1125.2,1565.3,8,,setembro/2026
Natal,Lagoa Nova,casa,venda,2755.9,2132.5,3620.7,100,9.75,setembro/2026
Natal,Lagoa Nova,casa,aluguel,22.4,14.1,32.6,15,9.75,setembro/2026
Natal,Lagoa Seca,casa,venda,2400.8,2271.4,2575.0,6,,setembro/2026
Natal,Neópolis,casa,venda,2549.8,1962.5,4562.5,50,8.0,setembro/2026
Natal,Neópolis,casa,aluguel,17.0,16.5,26.4,5,8.0,setembro/2026
Natal,Nordeste,casa,venda,1666.1,1101.8,1951.9,6,,setembro/2026
Natal,Nossa Senhora da Apresentação,casa,venda,1106.0,912.7,1636.3,6,,setembro/2026
Natal,Nossa Senhora de Nazaré,casa,venda,2268.9,2000.0,2625.7,21,,setembro/2026
Natal,Nova Descoberta,casa,venda,3257.6,3000.0,3399.8,7,,setembro/2026
Natal,Pajuçara,casa,venda,1600.0,1298.0,2249.1,23,,setembro/2026
Natal,Petrópolis,casa,venda,2911.4,2294.0,5281.0,17,,setembro/2026
Natal,Pitimbu,casa,venda,3446.9,2017.8,6839.3,36,,setembro/2026
Natal,Planalto,casa,venda,1774.2,1028.2,2232.1,7,,setembro/2026
Natal,Ponta Negra,casa,venda,3513.5,2437.5,5421.7,77,6.42,setembro/2026
Natal,Ponta Negra,casa,aluguel,18.8,12.3,35.8,9,6.42,setembro/2026
Natal,Potengi,casa,venda,1600.0,1080.2,2169.3,15,,setembro/2026
Natal,Redinha,casa,venda,1784.8,1458.8,1995.4,10,,setembro/2026
Natal,Tirol,casa,venda,4225.4,2818.2,5025.7,29,6.39,setembro/2026
Natal,Tirol,casa,aluguel,22.5,18.8,30.2,7,6.39,setembro/2026
Natal,Alecrim,apartamento,venda,4888.9,3288.5,5512.8,7,,setembro/2026
Natal,Areia Preta,apartamento,venda,7911.9,5988.1,10000.0,68,7.77,setembro/2026
Natal,Areia Preta,apartamento,aluguel,51.2,41.7,53.8,11,7.77,setembro/2026
Natal,Barro Vermelho,apartamento,venda,5423.7,3670.9,6909.1,81,8.72,setembro/2026
Natal,Barro Vermelho,apartamento,aluguel,39.4,35.1,47.2,10,8.72,setembro/2026
Natal,Candelária,apartamento,venda,6198.9,4063.7,8531.7,92,7.98,setembro/2026
Natal,Candelária,apartamento,aluguel,41.2,28.4,47.4,17,7.98,setembro/2026
Natal,Capim Macio,apartamento,venda,7852.0,5682.3,9725.7,172,7.34,setembro/2026
Natal,Capim Macio,apartamento,aluguel,48.0,40.8,56.7,33,7.34,setembro/2026
Natal,Cidade Alta,apartamento,venda,3428.6,2605.3,4375.0,17,,setembro/2026
Natal,Cidade da Esperança,apartamento,venda,5101.4,4527.3,5702.6,12,,setembro/2026
Natal,Dix-Sept Rosado,apartamento,venda,5944.9,3110.2,6672.4,14,,setembro/2026
