cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Novo Hamburgo,Boa Saúde,casa,venda,3557.4,2605.8,4352.6,52,,setembro/2026
Novo Hamburgo,Boa Vista,casa,venda,4221.7,3350.8,6054.0,94,5.8,setembro/2026
Novo Hamburgo,Boa Vista,casa,aluguel,20.4,16.8,25.8,10,5.8,setembro/2026
Novo Hamburgo,Canudos,casa,venda,3778.6,2668.8,5115.7,167,6.07,setembro/2026
Novo Hamburgo,Canudos,casa,aluguel,19.1,16.2,23.8,12,6.07,setembro/2026
Novo Hamburgo,Centro,casa,venda,5000.0,2964.4,6381.9,37,7.15,setembro/2026
Novo Hamburgo,Centro,casa,aluguel,29.8,22.0,35.0,7,7.15,setembro/2026
Novo Hamburgo,Guarani,casa,venda,3813.6,2620.6,4931.2,80,,setembro/2026
Novo Hamburgo,Hamburgo Velho,casa,venda,4347.3,3372.6,5987.6,80,7.54,setembro/2026
Novo Hamburgo,Hamburgo Velho,casa,aluguel,27.3,19.0,33.6,6,7.54,setembro/2026
Novo Hamburgo,Ideal,casa,venda,3700.0,2928.0,4951.3,158,6.65,setembro/2026
Novo Hamburgo,Ideal,casa,aluguel,20.5,17.7,27.5,9,6.65,setembro/2026
Novo Hamburgo,Industrial,casa,venda,4547.5,3139.6,5930.5,10,,setembro/2026
Novo Hamburgo,Jardim Mauá,casa,venda,5150.6,3755.9,7166.7,93,,setembro/2026
Novo Hamburgo,Liberdade,casa,venda,2702.8,2153.0,3531.1,42,,setembro/2026
Novo Hamburgo,Lomba Grande,casa,venda,5334.0,4636.4,5964.5,38,,setembro/2026
Novo Hamburgo,Mauá,casa,venda,5607.5,4285.7,6810.8,25,,setembro/2026
Novo Hamburgo,Operário,casa,venda,4933.0,3407.1,6111.4,54,,setembro/2026
Novo Hamburgo,Ouro Branco,casa,venda,3766.4,2837.6,4658.3,58,,setembro/2026
Novo Hamburgo,Pátria Nova,casa,venda,5652.2,4338.5,6696.3,23,,setembro/2026
Novo Hamburgo,Petrópolis,casa,venda,4408.7,3440.0,5348.1,84,,setembro/2026
Novo Hamburgo,Primavera,casa,venda,3690.5,2672.6,4913.8,87,,setembro/2026
Novo Hamburgo,Rincão,casa,venda,3725.7,2976.1,4894.0,68,5.51,setembro/2026
Novo Hamburgo,Rincão,casa,aluguel,17.1,16.2,18.6,5,5.51,setembro/2026
Novo Hamburgo,Rio Branco,casa,venda,3716.3,2815.0,5036.9,39,,setembro/2026
Novo Hamburgo,Rondônia,casa,venda,4722.2,3470.0,5931.1,135,,setembro/2026
Novo Hamburgo,Santo Afonso,casa,venda,2676.8,1779.2,3940.5,32,,setembro/2026
Novo Hamburgo,São Jorge,casa,venda,4387.8,3274.4,5555.0,35,7.88,setembro/2026
Novo Hamburgo,São Jorge,casa,aluguel,28.8,23.4,29.1,5,7.88,setembro/2026
Novo Hamburgo,São José,casa,venda,3698.5,2774.0,4026.2,10,,setembro/2026
Novo Hamburgo,Vila Nova,casa,venda,4773.9,3234.6,6092.8,45,4.3,setembro/2026
Novo Hamburgo,Vila Nova,casa,aluguel,17.1,16.5,19.7,5,4.3,setembro/2026
Novo Hamburgo,Vila Rosa,casa,venda,5492.3,3304.8,8655.9,20,,setembro/2026
Novo Hamburgo,Bairro Industrial,apartamento,venda,4386.0,4210.5,4561.4,5,,setembro/2026
Novo Hamburgo,Boa Vista,apartamento,venda,5079.4,4168.4,6603.6,67,9.85,setembro/2026
