cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Palhoça,Alto Aririu,apartamento,venda,5191.3,4629.5,5839.6,6,,setembro/2026
Palhoça,Aririu,apartamento,venda,5494.4,5113.0,6403.5,56,6.81,setembro/2026
Palhoça,Aririu,apartamento,aluguel,31.2,26.9,37.7,44,6.81,setembro/2026
Palhoça,Aririú da Formiga,apartamento,venda,4557.7,4135.1,5055.6,11,7.48,setembro/2026
Palhoça,Aririú da Formiga,apartamento,aluguel,28.4,27.0,29.4,8,7.48,setembro/2026
Palhoça,Barra do Aririú,apartamento,venda,4833.3,4271.4,5952.4,49,7.82,setembro/2026
Palhoça,Barra do Aririú,apartamento,aluguel,31.5,27.0,41.3,26,7.82,setembro/2026
Palhoça,Bela Vista,apartamento,venda,5594.0,4823.1,6461.9,63,6.95,setembro/2026
Palhoça,Bela Vista,apartamento,aluguel,32.4,27.6,36.6,48,6.95,setembro/2026
Palhoça,Caminho Novo,apartamento,venda,5818.2,5111.1,6879.3,17,7.57,setembro/2026
Palhoça,Caminho Novo,apartamento,aluguel,36.7,30.2,43.2,15,7.57,setembro/2026
Palhoça,Centro,apartamento,venda,7150.8,6063.8,8742.5,113,5.59,setembro/2026
Palhoça,Centro,apartamento,aluguel,33.3,29.5,41.1,39,5.59,setembro/2026
Palhoça,Cidade Universitária Pedra Branca,apartamento,venda,9996.0,8430.7,11943.8,20,4.77,setembro/2026
Palhoça,Cidade Universitária Pedra Branca,apartamento,aluguel,39.7,35.8,47.4,26,4.77,setembro/2026
Palhoça,Guarda do Cubatão,apartamento,venda,5336.2,4771.1,5884.9,30,5.98,setembro/2026
Palhoça,Guarda do Cubatão,apartamento,aluguel,26.6,22.8,30.2,16,5.98,setembro/2026
Palhoça,Jardim Eldorado,apartamento,venda,6316.6,5604.6,8164.4,32,7.12,setembro/2026
Palhoça,Jardim Eldorado,apartamento,aluguel,37.5,34.3,41.6,9,7.12,setembro/2026
Palhoça,Madri,apartamento,venda,6111.1,5156.2,6545.5,5,6.54,setembro/2026
Palhoça,Madri,apartamento,aluguel,33.3,30.7,37.7,7,6.54,setembro/2026
Palhoça,Nova,apartamento,venda,5960.0,5306.5,6993.2,77,6.95,setembro/2026
Palhoça,Nova,apartamento,aluguel,34.5,30.0,42.0,29,6.95,setembro/2026
Palhoça,Nova Palhoca,apartamento,venda,6393.8,5929.8,6889.9,10,,setembro/2026
Palhoça,Pachecos,apartamento,venda,5238.1,4598.0,6444.4,13,6.74,setembro/2026
Palhoça,Pachecos,apartamento,aluguel,29.4,26.5,31.5,18,6.74,setembro/2026
Palhoça,Pagani,apartamento,venda,8281.2,6794.3,9980.5,219,5.58,setembro/2026
Palhoça,Pagani,apartamento,aluguel,38.5,31.0,49.3,100,5.58,setembro/2026
Palhoça,Passa Vinte,apartamento,venda,7066.7,6100.0,9622.6,81,5.76,setembro/2026
Palhoça,Passa Vinte,apartamento,aluguel,33.9,29.9,44.1,44,5.76,setembro/2026
Palhoça,Pedra Branca,apartamento,venda,11221.4,8878.2,13822.8,492,4.97,setembro/2026
Palhoça,Pedra Branca,apartamento,aluguel,46.5,37.2,57.1,201,4.97,setembro/2026
Palhoça,Pinheira,apartamento,venda,7759.1,6481.5,8947.5,69,7.15,setembro/2026
Palhoça,Pinheira,apartamento,aluguel,46.2,45.4,47.3,8,7.15,setembro/2026
Palhoça,Ponta do Papagaio,apartamento,venda,7800.0,5205.6,9243.3,7,,setembro/2026
Palhoça,Ponte do Imaruim,apartamento,venda,6833.3,6229.2,7675.4,41,5.85,setembro/2026
Palhoça,Ponte do Imaruim,apartamento,aluguel,33.3,26.2,40.7,32,5.85,setembro/2026
Palhoça,Praia da Pinheira,apartamento,venda,7500.0,6747.8,10206.1,11,,setembro/2026
Palhoça,Praia de Fora,apartamento,venda,6695.3,5236.2,7663.8,28,5.31,setembro/2026
Palhoça,Praia de Fora,apartamento,aluguel,29.6,24.0,31.5,18,5.31,setembro/2026
Palhoça,Praia do Sonho,apartamento,venda,8014.3,6558.6,9609.6,26,,setembro/2026
Palhoça,Praia do Sonho (Ens Brito),apartamento,venda,7333.3,6354.5,8169.0,5,,setembro/2026
Palhoça,Rio Grande,apartamento,venda,6380.0,5775.9,6500.0,9,,setembro/2026
Palhoça,São Sebastião,apartamento,venda,5460.8,4704.5,6410.6,60,6.64,setembro/2026
Palhoça,São Sebastião,apartamento,aluguel,30.2,25.5,37.6,43,6.64,setembro/2026
Palhoça,Alto Aririu,casa,venda,6131.6,3927.6,7251.1,51,,setembro/2026
Palhoça,Aririu,casa,venda,5000.0,3924.0,6038.1,67,7.92,setembro/2026
Palhoça,Aririu,casa,aluguel,33.0,26.0,37.7,11,7.92,setembro/2026
Palhoça,Aririú da Formiga,casa,venda,5741.7,4983.1,5957.2,11,,setembro/2026
Palhoça,Balneário Ponta do Papagaio (Ens Brito),casa,venda,5029.6,4334.1,5863.8,7,,setembro/2026
Palhoça,Barra do Aririú,casa,venda,5138.9,3625.0,6658.3,131,5.16,setembro/2026
Palhoça,Barra do Aririú,casa,aluguel,22.1,18.2,26.4,9,5.16,setembro/2026
Palhoça,Bela Vista,casa,venda,5442.5,3746.0,7092.1,291,8.64,setembro/2026
Palhoça,Bela Vista,casa,aluguel,39.2,26.6,45.7,34,8.64,setembro/2026
Palhoça,Caminho Novo,casa,venda,6034.2,4225.0,7386.8,48,,setembro/2026
Palhoça,Centro,casa,venda,5496.7,4312.3,7360.8,79,7.38,setembro/2026
Palhoça,Centro,casa,aluguel,33.8,25.2,40.1,17,7.38,setembro/2026
Palhoça,Cidade Universitária Pedra Branca,casa,venda,9266.7,8112.1,12865.1,23,5.93,setembro/2026
Palhoça,Cidade Universitária Pedra Branca,casa,aluguel,45.8,34.2,59.4,13,5.93,setembro/2026
Palhoça,Enseada de Brito,casa,venda,5555.6,4000.0,7528.7,33,,setembro/2026
Palhoça,Enseada do Brito,casa,venda,1991.6,1442.5,3690.0,7,,setembro/2026
Palhoça,Enseada do Brito (Ens Brito),casa,venda,4151.2,2217.5,5666.7,12,,setembro/2026
Palhoça,Guarda do Cubatão,casa,venda,5805.9,3671.1,7061.4,108,,setembro/2026
Palhoça,Guarda do Embaú,casa,venda,3249.5,2465.3,4835.4,27,,setembro/2026
Palhoça,Jardim Eldorado,casa,venda,5509.7,3962.6,7305.3,40,,setembro/2026
Palhoça,Madri,casa,venda,5791.7,3900.0,6964.3,65,6.44,setembro/2026
Palhoça,Madri,casa,aluguel,31.1,28.9,34.0,5,6.44,setembro/2026
Palhoça,Nova,casa,venda,5879.0,4277.1,7027.8,110,,setembro/2026
Palhoça,Nova Palhoca,casa,venda,6265.1,6141.7,6692.9,9,,setembro/2026
Palhoça,Pachecos,casa,venda,5143.5,3836.7,6896.1,30,,setembro/2026
Palhoça,Pagani,casa,venda,7250.0,5473.1,8275.5,71,7.1,setembro/2026
Palhoça,Pagani,casa,aluguel,42.9,25.7,54.5,13,7.1,setembro/2026
Palhoça,Passa Vinte,casa,venda,5277.8,4139.7,7680.8,51,9.07,setembro/2026
Palhoça,Passa Vinte,casa,aluguel,39.9,32.5,49.6,6,9.07,setembro/2026
Palhoça,Passagem de Maciambú (Ens Brito),casa,venda,2900.0,2666.7,4500.0,9,,setembro/2026
Palhoça,Passagem do Massiambú,casa,venda,3460.5,2520.2,5722.9,16,,setembro/2026
Palhoça,Pedra Branca,casa,venda,9781.1,7673.4,12866.7,360,7.29,setembro/2026
Palhoça,Pedra Branca,casa,aluguel,59.4,47.1,64.4,31,7.29,setembro/2026
Palhoça,Pinheira,casa,venda,3818.7,2484.7,5767.0,102,,setembro/2026
Palhoça,Ponta do Papagaio,casa,venda,6000.0,5039.3,7497.6,7,,setembro/2026
Palhoça,Ponte do Imaruim,casa,venda,5454.5,4116.7,7416.2,79,7.55,setembro/2026
