cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Palmas,1003 Sul,casa,venda,5046.3,4204.6,6000.0,21,,setembro/2026
Palmas,109 Sul,casa,venda,12024.4,11261.3,14218.0,5,,setembro/2026
Palmas,110 Norte,casa,venda,4928.4,4037.4,6243.8,8,,setembro/2026
Palmas,110 Sul,casa,venda,6693.4,5542.6,8627.7,8,,setembro/2026
Palmas,1103 Sul,casa,venda,5281.7,4259.7,5906.4,23,,setembro/2026
Palmas,1104 Sul,casa,venda,5351.4,5301.2,5714.3,5,,setembro/2026
Palmas,1204 Sul,casa,venda,3063.2,2241.7,4264.2,8,,setembro/2026
Palmas,1205 Sul,casa,venda,5766.4,4522.8,6052.7,10,,setembro/2026
Palmas,1305 Sul,casa,venda,4857.1,3480.0,5394.7,7,,setembro/2026
Palmas,1404 Sul,casa,venda,5002.0,3518.5,5525.1,14,,setembro/2026
Palmas,1406 Sul,casa,venda,4662.5,4057.9,5082.0,12,,setembro/2026
Palmas,1503 Sul,casa,venda,4952.1,3926.9,5478.9,48,,setembro/2026
Palmas,1504 Sul,casa,venda,4739.9,3186.7,5658.9,12,,setembro/2026
Palmas,1506 Sul,casa,venda,5006.6,3281.7,5462.0,24,,setembro/2026
Palmas,1601 Sul,casa,venda,3709.5,3371.2,4997.8,8,,setembro/2026
Palmas,1603 Sul,casa,venda,4565.2,3881.3,5997.3,15,,setembro/2026
Palmas,204 Sul,casa,venda,7250.6,6215.1,10046.9,6,,setembro/2026
Palmas,207 Sul,casa,venda,6958.8,4884.8,7142.9,5,,setembro/2026
Palmas,209 Sul,casa,venda,13432.8,12743.7,13945.1,7,,setembro/2026
Palmas,303 Sul,casa,venda,5912.3,5445.3,8538.1,8,,setembro/2026
Palmas,305 Sul,casa,venda,5823.8,4926.8,7282.9,10,,setembro/2026
Palmas,307 Sul,casa,venda,4217.0,4050.5,5125.0,12,,setembro/2026
Palmas,309 Sul,casa,venda,6353.7,4881.4,7687.9,30,,setembro/2026
Palmas,403 Sul,casa,venda,5301.6,4704.4,6439.6,8,,setembro/2026
Palmas,404 Sul,casa,venda,6795.6,5586.5,8000.9,10,,setembro/2026
Palmas,405 Sul,casa,venda,5918.5,4347.7,7004.9,20,8.84,setembro/2026
Palmas,405 Sul,casa,aluguel,43.6,37.9,45.7,6,8.84,setembro/2026
Palmas,407 Sul,casa,venda,5555.6,4539.0,6562.5,21,,setembro/2026
Palmas,409 Sul,casa,venda,5694.3,4784.5,6860.1,19,,setembro/2026
Palmas,505 Sul,casa,venda,6620.3,5820.0,8067.0,52,,setembro/2026
Palmas,507 Sul,casa,venda,5203.6,3941.7,6292.0,31,,setembro/2026
