cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Penha,Armação,casa,venda,7435.9,6015.6,9984.4,66,5.34,setembro/2026
Penha,Armação,casa,aluguel,33.1,24.8,37.7,6,5.34,setembro/2026
Penha,Armação do Itapocorói,casa,venda,6637.6,5384.6,7615.4,21,,setembro/2026
Penha,Centro,casa,venda,6527.5,5422.7,8431.8,90,4.61,setembro/2026
Penha,Centro,casa,aluguel,25.1,23.6,28.5,6,4.61,setembro/2026
Penha,Gravatá,casa,venda,5635.3,3800.0,7568.0,13,,setembro/2026
Penha,Nossa Senhora de Fatima,casa,venda,5909.1,3887.2,6710.2,28,,setembro/2026
Penha,Praia Alegre,casa,venda,7666.4,5286.9,9465.8,12,,setembro/2026
Penha,Praia de Armação,casa,venda,7202.0,5768.5,10492.1,26,,setembro/2026
Penha,Praia de Armação do Itapocorói,casa,venda,6106.2,4934.2,9300.0,13,,setembro/2026
Penha,Praia de São Miguel,casa,venda,5904.0,4603.5,8702.0,6,,setembro/2026
Penha,Praia Grande,casa,venda,9259.3,8516.5,11250.0,11,,setembro/2026
Penha,Santa Lidia,casa,venda,4998.9,4186.2,6385.3,8,,setembro/2026
Penha,Armação,apartamento,venda,11785.7,8864.6,15274.7,381,4.98,setembro/2026
Penha,Armação,apartamento,aluguel,48.9,41.5,53.6,19,4.98,setembro/2026
Penha,Armação do Itapocorói,apartamento,venda,11126.8,9579.8,12926.2,7,,setembro/2026
Penha,Bacia da Vovó,apartamento,venda,16504.3,14586.6,19506.8,10,,setembro/2026
Penha,Centro,apartamento,venda,11340.6,8694.2,14807.8,412,5.15,setembro/2026
Penha,Centro,apartamento,aluguel,48.7,36.7,54.3,17,5.15,setembro/2026
Penha,Gravatá,apartamento,venda,6902.8,6747.9,7052.5,6,,setembro/2026
Penha,Itapocorói,apartamento,venda,12744.3,10930.5,14402.3,22,,setembro/2026
Penha,Nossa Senhora de Fatima,apartamento,venda,6395.4,5127.6,9399.7,51,,setembro/2026
Penha,Praia Alegre,apartamento,venda,10588.9,8758.4,12387.4,30,,setembro/2026
Penha,Praia da Armação,apartamento,venda,19654.5,19006.0,21866.3,9,,setembro/2026
Penha,Praia de Armação,apartamento,venda,10649.4,8901.1,12285.7,38,,setembro/2026
Penha,Praia de Armação do Itapocorói,apartamento,venda,11927.7,8780.0,14776.1,165,,setembro/2026
Penha,Praia do Quilombo,apartamento,venda,14318.4,12399.3,22105.2,11,,setembro/2026
Penha,Praia Grande,apartamento,venda,9800.0,7225.2,11788.9,7,,setembro/2026
Penha,Armação,terreno,venda,2564.9,1984.1,3460.1,13,,setembro/2026
Penha,Centro,terreno,venda,1851.9,1286.1,2424.7,33,,setembro/2026
Penha,Gravatá,terreno,venda,1074.4,446.5,1231.1,5,,setembro/2026
Penha,Nossa Senhora de Fatima,terreno,venda,1118.1,834.3,1451.4,22,,setembro/2026
Penha,Praia de Armação,terreno,venda,2148.1,1500.0,3560.0,5,,setembro/2026
Penha,Centro,sala,aluguel,64.1,58.2,88.2,7,,setembro/2026
