cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Piracicaba,Água Branca,apartamento,venda,4897.3,4240.1,5899.5,26,6.81,setembro/2026
Piracicaba,Água Branca,apartamento,aluguel,27.8,25.0,33.5,15,6.81,setembro/2026
Piracicaba,Água Seca,apartamento,venda,4494.1,3516.3,5147.3,12,,setembro/2026
Piracicaba,Alemães,apartamento,venda,8384.6,6500.0,10122.5,45,6.25,setembro/2026
Piracicaba,Alemães,apartamento,aluguel,43.7,37.1,55.6,17,6.25,setembro/2026
Piracicaba,Alto,apartamento,venda,4634.9,3750.0,6279.6,124,8.7,setembro/2026
Piracicaba,Alto,apartamento,aluguel,33.6,23.8,41.8,35,8.7,setembro/2026
Piracicaba,Bongue,apartamento,venda,4775.4,3833.3,9220.0,8,,setembro/2026
Piracicaba,Campestre,apartamento,venda,4130.4,3714.2,4673.9,29,7.76,setembro/2026
Piracicaba,Campestre,apartamento,aluguel,26.7,21.5,31.9,10,7.76,setembro/2026
Piracicaba,Castelinho,apartamento,venda,4670.7,4362.4,5623.3,9,,setembro/2026
Piracicaba,Centro,apartamento,venda,4252.0,3581.1,5555.6,261,9.2,setembro/2026
Piracicaba,Centro,apartamento,aluguel,32.6,21.4,45.0,65,9.2,setembro/2026
Piracicaba,Chácara Esperia,apartamento,venda,5368.9,4923.1,5769.2,5,,setembro/2026
Piracicaba,Chácaras Água Branca,apartamento,venda,3636.4,2712.0,4109.9,11,,setembro/2026
Piracicaba,Cidade Alta,apartamento,venda,5178.6,3916.1,7590.9,63,8.71,setembro/2026
Piracicaba,Cidade Alta,apartamento,aluguel,37.6,30.9,49.7,54,8.71,setembro/2026
Piracicaba,Cidade Jardim,apartamento,venda,7000.0,3673.7,10351.9,23,10.46,setembro/2026
Piracicaba,Cidade Jardim,apartamento,aluguel,61.0,53.2,70.6,16,10.46,setembro/2026
Piracicaba,Dois Córregos,apartamento,venda,4657.5,4077.8,6784.1,39,7.01,setembro/2026
Piracicaba,Dois Córregos,apartamento,aluguel,27.2,23.3,31.3,14,7.01,setembro/2026
Piracicaba,Glebas Califórnia,apartamento,venda,4655.3,3953.7,5100.0,39,7.66,setembro/2026
Piracicaba,Glebas Califórnia,apartamento,aluguel,29.7,24.4,38.1,12,7.66,setembro/2026
Piracicaba,Higienópolis,apartamento,venda,4487.2,3283.6,5625.0,33,5.51,setembro/2026
Piracicaba,Higienópolis,apartamento,aluguel,20.6,19.9,28.7,10,5.51,setembro/2026
Piracicaba,Jaraguá,apartamento,venda,3762.7,3220.3,4964.5,13,,setembro/2026
Piracicaba,Jardim Abaeté,apartamento,venda,4623.0,4321.3,5112.2,23,6.49,setembro/2026
Piracicaba,Jardim Abaeté,apartamento,aluguel,25.0,23.2,27.0,7,6.49,setembro/2026
Piracicaba,Jardim Belvedere,apartamento,venda,3037.3,2234.6,3360.2,7,,setembro/2026
Piracicaba,Jardim Brasília,apartamento,venda,6041.7,5130.6,6943.4,11,,setembro/2026
Piracicaba,Jardim Califórnia,apartamento,venda,5844.5,5198.7,7964.3,12,7.93,setembro/2026
Piracicaba,Jardim Califórnia,apartamento,aluguel,38.6,32.9,43.6,6,7.93,setembro/2026
Piracicaba,Jardim Caxambu,apartamento,venda,3536.9,3175.8,4341.9,24,,setembro/2026
Piracicaba,Jardim Elite,apartamento,venda,5356.6,3887.1,8766.8,80,7.1,setembro/2026
Piracicaba,Jardim Elite,apartamento,aluguel,31.7,25.8,44.0,30,7.1,setembro/2026
Piracicaba,Jardim Europa,apartamento,venda,10119.0,8600.7,11445.8,25,6.62,setembro/2026
Piracicaba,Jardim Europa,apartamento,aluguel,55.8,51.1,70.1,20,6.62,setembro/2026
Piracicaba,Jardim Itapuã,apartamento,venda,3694.5,3445.1,4092.3,10,,setembro/2026
Piracicaba,Jardim Maria,apartamento,venda,3479.2,3098.5,4250.0,10,,setembro/2026
Piracicaba,Jardim Nova Iguaçu,apartamento,venda,4545.5,3975.6,5051.7,27,6.86,setembro/2026
Piracicaba,Jardim Nova Iguaçu,apartamento,aluguel,26.0,22.9,28.6,8,6.86,setembro/2026
Piracicaba,Jardim Nova Suíça,apartamento,venda,3636.4,3066.4,4043.4,8,7.49,setembro/2026
Piracicaba,Jardim Nova Suíça,apartamento,aluguel,22.7,20.0,25.0,5,7.49,setembro/2026
Piracicaba,Jardim Parque Jupiá,apartamento,venda,4075.0,3412.3,4755.2,39,7.16,setembro/2026
Piracicaba,Jardim Parque Jupiá,apartamento,aluguel,24.3,23.4,30.0,8,7.16,setembro/2026
Piracicaba,Jardim Petrópolis,apartamento,venda,2846.2,2695.8,3047.4,8,,setembro/2026
Piracicaba,Jardim Santa Isabel,apartamento,venda,3368.8,3049.8,3620.1,14,,setembro/2026
Piracicaba,Jardim São Francisco,apartamento,venda,4000.0,3444.4,4711.1,25,6.99,setembro/2026
Piracicaba,Jardim São Francisco,apartamento,aluguel,23.3,18.7,28.3,10,6.99,setembro/2026
Piracicaba,Jardim São Jorge,apartamento,venda,3111.1,2172.8,3278.6,5,,setembro/2026
Piracicaba,Jardim Sol Nascente,apartamento,venda,4231.4,4054.9,4413.8,6,,setembro/2026
Piracicaba,Jupiá,apartamento,venda,4846.1,3340.9,4994.8,10,,setembro/2026
Piracicaba,Loteamento Kobayat Líbano,apartamento,venda,3311.1,3107.3,3861.4,13,,setembro/2026
Piracicaba,Monte Líbano,apartamento,venda,3528.4,3219.7,3743.4,6,,setembro/2026
Piracicaba,Morumbi,apartamento,venda,4424.7,2788.4,5537.2,28,7.05,setembro/2026
Piracicaba,Morumbi,apartamento,aluguel,26.0,19.1,38.2,13,7.05,setembro/2026
