cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Porto Velho,Aeroclube,casa,venda,5268.7,3032.8,6851.0,46,,setembro/2026
Porto Velho,Agenor de Carvalho,casa,venda,2607.1,2006.1,3422.2,27,,setembro/2026
Porto Velho,Agenor M. de Carvalho,casa,venda,2450.0,1989.7,2870.5,14,,setembro/2026
Porto Velho,Alphaville,casa,venda,6986.9,6022.7,7357.8,7,,setembro/2026
Porto Velho,Aponiã,casa,venda,2939.1,2191.7,6565.4,72,,setembro/2026
Porto Velho,Areal,casa,venda,1527.5,1177.8,3303.1,11,,setembro/2026
Porto Velho,Bairro Industrial,casa,venda,5845.2,5032.1,6701.9,10,,setembro/2026
Porto Velho,Bairro Novo,casa,venda,4000.0,3400.0,4444.4,5,,setembro/2026
Porto Velho,Caiari,casa,venda,2867.9,1543.2,3125.0,5,,setembro/2026
Porto Velho,Caladinho,casa,venda,1771.6,1278.3,2302.8,7,,setembro/2026
Porto Velho,Castanheira,casa,venda,2118.7,1705.4,3075.0,12,,setembro/2026
Porto Velho,Centro,casa,venda,2285.7,1686.8,3641.3,7,,setembro/2026
Porto Velho,Cidade Jardim,casa,venda,6348.1,5611.7,7500.0,10,,setembro/2026
Porto Velho,Cohab,casa,venda,2513.9,1489.0,3598.3,10,,setembro/2026
Porto Velho,Conceição,casa,venda,1765.0,1560.7,2900.0,18,,setembro/2026
Porto Velho,Condominio Ecoville,casa,venda,8717.2,8595.6,9024.9,8,,setembro/2026
Porto Velho,Condomínio Vila Eletronorte,casa,venda,3481.8,2350.4,5000.0,5,,setembro/2026
Porto Velho,Costa e Silva,casa,venda,6210.1,3607.1,7152.3,26,,setembro/2026
Porto Velho,Cuniã,casa,venda,2095.2,1759.5,2723.2,23,,setembro/2026
Porto Velho,Eldorado,casa,venda,2081.0,1663.9,3730.1,12,,setembro/2026
Porto Velho,Eletronorte,casa,venda,3306.3,2343.1,3821.0,6,,setembro/2026
Porto Velho,Embratel,casa,venda,2750.0,2200.0,4285.7,21,,setembro/2026
Porto Velho,Esperança da Comunidade,casa,venda,1993.8,1659.5,3325.6,10,,setembro/2026
Porto Velho,Flodoaldo Pontes Pinto,casa,venda,3928.8,2526.7,4888.9,41,,setembro/2026
Porto Velho,Floresta,casa,venda,1911.6,1577.6,2437.5,10,,setembro/2026
Porto Velho,Greenville,casa,venda,3692.1,2815.3,4180.4,6,,setembro/2026
Porto Velho,Igarapé,casa,venda,1944.6,1358.3,3238.1,22,,setembro/2026
Porto Velho,Jardim Santana,casa,venda,1716.7,1337.5,2110.8,6,,setembro/2026
Porto Velho,Juscelino Kubitschek,casa,venda,2628.1,2100.0,3000.0,5,,setembro/2026
Porto Velho,Lagoa,casa,venda,4562.0,2657.6,5827.9,39,,setembro/2026
Porto Velho,Lagoinha,casa,venda,2102.6,1685.0,2408.3,10,,setembro/2026
Porto Velho,Liberdade,casa,venda,3000.0,2400.0,3278.7,9,,setembro/2026
Porto Velho,Nossa Senhora das Graças,casa,venda,3153.8,2712.3,4250.0,14,,setembro/2026
Porto Velho,Nova,casa,venda,2466.1,1958.3,4197.8,24,,setembro/2026
Porto Velho,Nova Esperança,casa,venda,4642.9,3291.1,6244.6,87,,setembro/2026
Porto Velho,Nova Floresta,casa,venda,2525.3,2058.8,3460.2,13,,setembro/2026
Porto Velho,Novo Horizonte,casa,venda,4490.7,2461.4,6252.8,19,,setembro/2026
Porto Velho,Olaria,casa,venda,2646.2,2282.9,3093.8,10,,setembro/2026
Porto Velho,Panair,casa,venda,2912.3,2185.7,4900.6,10,,setembro/2026
Porto Velho,Pedrinhas,casa,venda,2666.7,1804.0,6005.0,14,,setembro/2026
Porto Velho,Planalto,casa,venda,4412.1,2296.6,5268.1,12,,setembro/2026
Porto Velho,Rio Madeira,casa,venda,5468.8,3777.8,6671.1,65,,setembro/2026
Porto Velho,São Cristóvão,casa,venda,5000.0,3304.1,7614.2,7,,setembro/2026
Porto Velho,São João Bosco,casa,venda,2750.0,2154.5,4807.7,17,,setembro/2026
Porto Velho,Tancredo Neves,casa,venda,1145.2,966.7,1666.7,9,,setembro/2026
Porto Velho,Tiradentes,casa,venda,2625.0,2557.5,2925.9,5,,setembro/2026
Porto Velho,Três Marias,casa,venda,1812.5,1205.4,2663.2,16,,setembro/2026
Porto Velho,Triângulo,casa,venda,6218.8,5937.5,6764.5,21,,setembro/2026
Porto Velho,Agenor de Carvalho,apartamento,venda,4916.7,4554.6,6219.4,11,,setembro/2026
Porto Velho,Aponiã,apartamento,venda,6491.2,5487.8,6730.8,9,,setembro/2026
Porto Velho,Bairro Industrial,apartamento,venda,4990.4,4694.4,5956.6,12,,setembro/2026
Porto Velho,Bairro Novo,apartamento,venda,3760.1,3333.3,3993.2,6,,setembro/2026
Porto Velho,Embratel,apartamento,venda,6312.9,4679.8,8022.4,18,,setembro/2026
Porto Velho,Flodoaldo Pontes Pinto,apartamento,venda,6865.7,6666.7,7466.7,5,,setembro/2026
Porto Velho,Floresta,apartamento,venda,3629.0,3454.5,4528.3,9,,setembro/2026
Porto Velho,Igarapé,apartamento,venda,6258.6,6016.1,6696.4,7,,setembro/2026
Porto Velho,Industrial,apartamento,venda,5833.3,5101.3,6166.7,7,,setembro/2026
Porto Velho,Lagoa,apartamento,venda,6240.4,5135.5,7363.5,25,,setembro/2026
Porto Velho,Liberdade,apartamento,venda,5612.2,4864.9,6363.6,9,,setembro/2026
Porto Velho,Nossa Senhora das Graças,apartamento,venda,6388.9,4961.5,7655.9,8,7.76,setembro/2026
Porto Velho,Nossa Senhora das Graças,apartamento,aluguel,41.3,36.8,43.9,6,7.76,setembro/2026
Porto Velho,Nova,apartamento,venda,5390.7,4468.8,6745.3,8,,setembro/2026
Porto Velho,Nova Esperança,apartamento,venda,5281.7,4857.1,6608.1,9,,setembro/2026
Porto Velho,Olaria,apartamento,venda,7009.3,5222.6,8825.2,35,6.47,setembro/2026
Porto Velho,Olaria,apartamento,aluguel,37.8,29.8,46.0,10,6.47,setembro/2026
Porto Velho,Pedrinhas,apartamento,venda,5083.9,4292.2,7148.3,16,8.59,setembro/2026
Porto Velho,Pedrinhas,apartamento,aluguel,36.4,32.1,42.4,8,8.59,setembro/2026
Porto Velho,Residencial Brisas do Madeira,apartamento,venda,7236.8,7105.3,7368.4,5,,setembro/2026
Porto Velho,Residencial Garden Club,apartamento,aluguel,40.5,38.7,42.0,5,,setembro/2026
Porto Velho,Rio Madeira,apartamento,venda,6617.6,5395.1,7500.5,51,7.71,setembro/2026
Porto Velho,Rio Madeira,apartamento,aluguel,42.5,36.5,51.3,12,7.71,setembro/2026
Porto Velho,São João Bosco,apartamento,venda,8149.2,5548.6,9021.7,16,,setembro/2026
Porto Velho,Tiradentes,apartamento,venda,6591.6,5697.6,7574.3,8,,setembro/2026
Porto Velho,Triângulo,apartamento,venda,4729.3,4270.7,5428.6,18,6.34,setembro/2026
Porto Velho,Triângulo,apartamento,aluguel,25.0,24.3,26.8,5,6.34,setembro/2026
Porto Velho,Aeroclube,terreno,venda,530.0,308.3,605.6,23,,setembro/2026
Porto Velho,Alphaville,terreno,venda,594.5,574.2,616.3,6,,setembro/2026
Porto Velho,Aponiã,terreno,venda,819.6,402.8,1367.0,24,,setembro/2026
Porto Velho,Areal,terreno,venda,706.7,559.6,711.1,5,,setembro/2026
Porto Velho,Bairro Industrial,terreno,venda,2569.4,404.2,2666.7,5,,setembro/2026
Porto Velho,Caiari,terreno,venda,595.7,549.6,833.3,5,,setembro/2026
Porto Velho,Castanheira,terreno,venda,368.3,330.0,396.0,5,,setembro/2026
Porto Velho,Centro,terreno,venda,1118.3,730.7,1668.5,8,,setembro/2026
Porto Velho,Cidade Jardim,terreno,venda,537.9,306.4,590.4,6,,setembro/2026
Porto Velho,Eldorado,terreno,venda,473.1,363.6,768.5,8,,setembro/2026
Porto Velho,Embratel,terreno,venda,1600.0,1098.3,1930.6,7,,setembro/2026
Porto Velho,Flodoaldo Pontes Pinto,terreno,venda,858.6,666.7,1053.9,9,,setembro/2026
Porto Velho,Floresta,terreno,venda,300.0,279.8,323.3,5,,setembro/2026
Porto Velho,Igarapé,terreno,venda,1000.0,564.1,1083.3,5,,setembro/2026
Porto Velho,Lagoa,terreno,venda,450.0,321.2,981.8,7,,setembro/2026
Porto Velho,Lagoinha,terreno,venda,333.3,243.7,543.3,7,,setembro/2026
Porto Velho,Nova,terreno,venda,746.7,674.7,1057.1,5,,setembro/2026
Porto Velho,Nova Esperança,terreno,venda,500.0,201.9,724.6,15,,setembro/2026
Porto Velho,Olaria,terreno,venda,1483.3,1164.9,1600.0,12,,setembro/2026
Porto Velho,Pedrinhas,terreno,venda,810.8,714.3,866.7,9,,setembro/2026
Porto Velho,Planalto,terreno,venda,103.3,78.8,186.4,8,,setembro/2026
Porto Velho,Residencial Viena,terreno,venda,266.7,83.3,383.3,5,,setembro/2026
Porto Velho,Rio Madeira,terreno,venda,466.5,359.2,1100.0,9,,setembro/2026
Porto Velho,São Cristóvão,terreno,venda,1385.3,1150.0,1661.4,6,,setembro/2026
Porto Velho,São João Bosco,terreno,venda,796.2,640.2,849.5,5,,setembro/2026
Porto Velho,Socialista,terreno,venda,490.2,181.7,700.0,5,,setembro/2026
Porto Velho,Teixeirão,terreno,venda,220.0,205.0,220.0,6,,setembro/2026
Porto Velho,Triângulo,terreno,venda,450.1,413.5,511.0,26,,setembro/2026
Porto Velho,Caiari,sala,aluguel,62.2,59.4,80.2,7,,setembro/2026
Porto Velho,Castanheira,sala,aluguel,20.0,15.0,25.0,5,,setembro/2026
Porto Velho,Centro,sala,aluguel,35.0,25.0,55.4,19,,setembro/2026
Porto Velho,Embratel,sala,aluguel,55.2,44.4,111.1,5,,setembro/2026
Porto Velho,Olaria,sala,aluguel,66.4,52.0,87.6,12,,setembro/2026
Porto Velho,São Cristóvão,sala,aluguel,56.3,50.4,62.1,6,,setembro/2026
Porto Velho,Centro,galpao,aluguel,15.2,11.9,22.5,12,,setembro/2026
Porto Velho,Nova,galpao,aluguel,24.0,22.2,25.0,5,,setembro/2026
