cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Recife,Aflitos,apartamento,venda,5769.2,4603.9,7710.3,119,12.52,setembro/2026
Recife,Aflitos,apartamento,aluguel,60.2,47.7,74.3,20,12.52,setembro/2026
Recife,Afogados,apartamento,venda,4687.5,3104.4,6026.4,16,,setembro/2026
Recife,Água Fria,apartamento,venda,4117.6,3466.7,4539.2,15,,setembro/2026
Recife,Apipucos,apartamento,venda,9473.5,7148.7,11605.5,50,,setembro/2026
Recife,Areias,apartamento,venda,2720.2,2433.7,3779.1,10,,setembro/2026
Recife,Arruda,apartamento,venda,3833.3,3115.8,4534.0,23,,setembro/2026
Recife,Barro,apartamento,venda,6722.2,5556.1,7260.1,26,6.46,setembro/2026
Recife,Barro,apartamento,aluguel,36.2,32.4,42.1,7,6.46,setembro/2026
Recife,Boa Viagem,apartamento,venda,8798.1,5724.0,12804.0,676,9.0,setembro/2026
Recife,Boa Viagem,apartamento,aluguel,66.0,44.1,86.6,239,9.0,setembro/2026
Recife,Boa Vista,apartamento,venda,6904.8,3928.6,11304.4,109,11.05,setembro/2026
Recife,Boa Vista,apartamento,aluguel,63.6,36.7,93.6,46,11.05,setembro/2026
Recife,Bongi,apartamento,venda,3373.5,2961.4,4225.5,11,,setembro/2026
Recife,Brasília Teimosa,apartamento,venda,14906.7,9701.5,15238.1,5,,setembro/2026
Recife,Campo Grande,apartamento,venda,5538.7,4187.7,7255.1,56,9.49,setembro/2026
Recife,Campo Grande,apartamento,aluguel,43.8,41.8,52.3,9,9.49,setembro/2026
Recife,Casa Amarela,apartamento,venda,8134.9,6948.8,9273.1,122,8.78,setembro/2026
Recife,Casa Amarela,apartamento,aluguel,59.5,49.4,66.3,32,8.78,setembro/2026
Recife,Casa Forte,apartamento,venda,9170.7,6756.8,12058.8,173,7.82,setembro/2026
Recife,Casa Forte,apartamento,aluguel,59.8,50.0,66.3,34,7.82,setembro/2026
Recife,Caxangá,apartamento,venda,6586.8,5666.7,8222.2,49,,setembro/2026
Recife,Cidade Universitária,apartamento,venda,8205.7,6878.8,9070.4,11,,setembro/2026
Recife,Cordeiro,apartamento,venda,4848.5,3352.9,8400.0,57,6.01,setembro/2026
Recife,Cordeiro,apartamento,aluguel,24.3,21.8,30.7,15,6.01,setembro/2026
Recife,Derby,apartamento,venda,4296.3,3074.6,5308.6,30,,setembro/2026
Recife,Dois Irmãos,apartamento,venda,12195.1,9756.1,12814.9,5,,setembro/2026
Recife,Dois Unidos,apartamento,venda,6710.1,6112.0,7097.2,6,,setembro/2026
Recife,Encruzilhada,apartamento,venda,7539.7,6285.7,9745.8,105,9.07,setembro/2026
Recife,Encruzilhada,apartamento,aluguel,57.0,38.8,64.7,20,9.07,setembro/2026
Recife,Engenho do Meio,apartamento,venda,3346.9,2181.1,4350.6,16,,setembro/2026
Recife,Espinheiro,apartamento,venda,6666.7,4768.2,9311.5,153,12.65,setembro/2026
Recife,Espinheiro,apartamento,aluguel,70.3,49.5,91.2,42,12.65,setembro/2026
Recife,Estância,apartamento,venda,6260.9,3181.4,6828.5,7,,setembro/2026
Recife,Graças,apartamento,venda,6614.6,4771.4,9501.2,150,13.04,setembro/2026
Recife,Graças,apartamento,aluguel,71.9,49.3,88.7,56,13.04,setembro/2026
Recife,Guabiraba,apartamento,venda,4452.4,3656.7,5791.7,16,,setembro/2026
Recife,Hipódromo,apartamento,venda,7766.4,5895.9,8233.3,16,,setembro/2026
Recife,Ilha do Leite,apartamento,venda,11967.1,8625.0,13965.0,57,9.73,setembro/2026
Recife,Ilha do Leite,apartamento,aluguel,97.0,90.7,105.0,15,9.73,setembro/2026
Recife,Ilha do Retiro,apartamento,venda,9230.0,8418.3,10286.6,64,7.89,setembro/2026
Recife,Ilha do Retiro,apartamento,aluguel,60.7,55.0,67.7,19,7.89,setembro/2026
Recife,Imbiribeira,apartamento,venda,7638.9,6383.0,10393.4,89,10.13,setembro/2026
Recife,Imbiribeira,apartamento,aluguel,64.5,53.3,78.2,39,10.13,setembro/2026
