cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Rio de Janeiro,Abolição,apartamento,venda,3648.6,3121.3,4327.2,75,7.14,setembro/2026
Rio de Janeiro,Abolição,apartamento,aluguel,21.7,19.7,24.9,15,7.14,setembro/2026
Rio de Janeiro,Água Santa,apartamento,venda,3470.0,2600.7,5027.8,64,7.4,setembro/2026
Rio de Janeiro,Água Santa,apartamento,aluguel,21.4,16.7,22.7,5,7.4,setembro/2026
Rio de Janeiro,Alto da Boa Vista,apartamento,venda,5498.1,4656.2,7634.6,32,,setembro/2026
Rio de Janeiro,Anchieta,apartamento,venda,2428.6,2000.0,3125.0,53,,setembro/2026
Rio de Janeiro,Andaraí,apartamento,venda,5135.1,4293.1,6106.2,129,6.87,setembro/2026
Rio de Janeiro,Andaraí,apartamento,aluguel,29.4,27.8,35.3,24,6.87,setembro/2026
Rio de Janeiro,Anil,apartamento,venda,5204.1,4217.9,6530.0,78,8.09,setembro/2026
Rio de Janeiro,Anil,apartamento,aluguel,35.1,26.0,50.0,61,8.09,setembro/2026
Rio de Janeiro,Bancários,apartamento,venda,4285.7,3645.1,4791.8,59,,setembro/2026
Rio de Janeiro,Bangu,apartamento,venda,3162.7,2353.7,4011.4,56,8.31,setembro/2026
Rio de Janeiro,Bangu,apartamento,aluguel,21.9,18.3,25.0,19,8.31,setembro/2026
Rio de Janeiro,Barra da Tijuca,apartamento,venda,14166.7,10926.0,17888.6,676,6.11,setembro/2026
Rio de Janeiro,Barra da Tijuca,apartamento,aluguel,72.1,55.2,91.7,317,6.11,setembro/2026
Rio de Janeiro,Barra Olímpica,apartamento,venda,9462.4,7960.5,11040.3,171,7.55,setembro/2026
Rio de Janeiro,Barra Olímpica,apartamento,aluguel,59.5,50.0,70.5,126,7.55,setembro/2026
Rio de Janeiro,Benfica,apartamento,venda,3670.8,3071.8,5288.3,55,8.6,setembro/2026
Rio de Janeiro,Benfica,apartamento,aluguel,26.3,19.5,44.3,7,8.6,setembro/2026
Rio de Janeiro,Bento Ribeiro,apartamento,venda,3283.5,2706.7,4216.3,48,7.02,setembro/2026
Rio de Janeiro,Bento Ribeiro,apartamento,aluguel,19.2,16.7,22.9,17,7.02,setembro/2026
Rio de Janeiro,Bonsucesso,apartamento,venda,4908.2,3726.6,6104.5,62,5.75,setembro/2026
Rio de Janeiro,Bonsucesso,apartamento,aluguel,23.5,18.9,34.1,26,5.75,setembro/2026
Rio de Janeiro,Botafogo,apartamento,venda,13378.4,10736.0,16270.9,259,6.97,setembro/2026
Rio de Janeiro,Botafogo,apartamento,aluguel,77.7,63.6,97.8,79,6.97,setembro/2026
Rio de Janeiro,Brás de Pina,apartamento,venda,2575.0,2045.6,3856.8,36,9.51,setembro/2026
Rio de Janeiro,Brás de Pina,apartamento,aluguel,20.4,18.1,23.8,22,9.51,setembro/2026
Rio de Janeiro,Braz de Pina,apartamento,venda,3254.0,2196.4,4083.3,46,7.78,setembro/2026
Rio de Janeiro,Braz de Pina,apartamento,aluguel,21.1,18.2,22.1,15,7.78,setembro/2026
Rio de Janeiro,Cachambi,apartamento,venda,5090.9,3916.7,6878.3,111,6.46,setembro/2026
Rio de Janeiro,Cachambi,apartamento,aluguel,27.4,20.7,40.4,39,6.46,setembro/2026
Rio de Janeiro,Cacuia,apartamento,venda,5114.3,4022.3,5852.9,41,,setembro/2026
Rio de Janeiro,Caju,apartamento,venda,4166.7,3735.6,4571.4,5,,setembro/2026
Rio de Janeiro,Camorim,apartamento,venda,7460.0,5903.5,9460.2,114,8.8,setembro/2026
Rio de Janeiro,Camorim,apartamento,aluguel,54.7,40.3,58.9,29,8.8,setembro/2026
Rio de Janeiro,Campinho,apartamento,venda,3097.8,2615.4,3979.6,73,6.35,setembro/2026
Rio de Janeiro,Campinho,apartamento,aluguel,16.4,13.8,22.3,28,6.35,setembro/2026
Rio de Janeiro,Campo dos Afonsos,apartamento,venda,6245.3,5260.0,6509.4,5,,setembro/2026
Rio de Janeiro,Campo Grande,apartamento,venda,3622.2,2727.3,4722.2,285,6.63,setembro/2026
Rio de Janeiro,Campo Grande,apartamento,aluguel,20.0,15.5,26.3,109,6.63,setembro/2026
Rio de Janeiro,Cascadura,apartamento,venda,3500.0,2760.2,4067.8,63,6.38,setembro/2026
Rio de Janeiro,Cascadura,apartamento,aluguel,18.6,14.3,23.0,39,6.38,setembro/2026
Rio de Janeiro,Catete,apartamento,venda,11250.0,9365.4,13680.6,95,6.75,setembro/2026
Rio de Janeiro,Catete,apartamento,aluguel,63.3,52.2,84.0,25,6.75,setembro/2026
Rio de Janeiro,Catumbi,apartamento,venda,4447.8,3773.6,4868.4,25,,setembro/2026
Rio de Janeiro,Cavalcanti,apartamento,venda,2604.2,1643.8,3421.1,41,,setembro/2026
Rio de Janeiro,Centro,apartamento,venda,7818.2,5950.0,10294.1,149,9.93,setembro/2026
Rio de Janeiro,Centro,apartamento,aluguel,64.7,42.4,90.2,98,9.93,setembro/2026
Rio de Janeiro,Cidade de Deus,apartamento,venda,3043.5,1270.8,3685.2,5,,setembro/2026
Rio de Janeiro,Cidade Jardim,apartamento,venda,10103.1,9677.1,11046.5,9,,setembro/2026
Rio de Janeiro,Cidade Nova,apartamento,venda,6583.3,5571.4,8750.0,37,,setembro/2026
Rio de Janeiro,Cocotá,apartamento,venda,4241.6,3725.0,4805.8,70,,setembro/2026
Rio de Janeiro,Coelho Neto,apartamento,venda,2397.9,1798.7,3671.1,52,,setembro/2026
Rio de Janeiro,Colégio,apartamento,venda,4130.4,2750.1,5357.1,65,,setembro/2026
Rio de Janeiro,Copacabana,apartamento,venda,12226.8,9141.7,16666.7,564,7.76,setembro/2026
Rio de Janeiro,Copacabana,apartamento,aluguel,79.1,58.2,100.0,175,7.76,setembro/2026
Rio de Janeiro,Cordovil,apartamento,venda,3072.4,2205.6,3638.2,70,7.66,setembro/2026
Rio de Janeiro,Cordovil,apartamento,aluguel,19.6,17.3,21.1,10,7.66,setembro/2026
Rio de Janeiro,Cosme Velho,apartamento,venda,10256.4,9000.0,11627.9,57,,setembro/2026
Rio de Janeiro,Cosmos,apartamento,venda,2561.0,2034.5,3527.8,75,7.59,setembro/2026
Rio de Janeiro,Cosmos,apartamento,aluguel,16.2,14.2,18.3,42,7.59,setembro/2026
Rio de Janeiro,Curicica,apartamento,venda,5601.5,4200.0,7346.9,77,6.04,setembro/2026
Rio de Janeiro,Curicica,apartamento,aluguel,28.2,20.9,34.5,33,6.04,setembro/2026
Rio de Janeiro,Del Castilho,apartamento,venda,5848.0,4200.9,7101.1,94,7.41,setembro/2026
Rio de Janeiro,Del Castilho,apartamento,aluguel,36.1,22.0,51.7,21,7.41,setembro/2026
Rio de Janeiro,Deodoro,apartamento,aluguel,25.8,21.8,27.7,5,,setembro/2026
Rio de Janeiro,Encantado,apartamento,venda,4406.1,3420.9,5331.0,74,5.58,setembro/2026
Rio de Janeiro,Encantado,apartamento,aluguel,20.5,15.8,33.0,17,5.58,setembro/2026
Rio de Janeiro,Engenheiro Leal,apartamento,venda,2368.4,2009.0,2987.0,27,,setembro/2026
Rio de Janeiro,Engenho da Rainha,apartamento,venda,3500.0,2696.4,4277.7,63,,setembro/2026
Rio de Janeiro,Engenho de Dentro,apartamento,venda,3866.7,3212.9,4961.5,83,8.35,setembro/2026
Rio de Janeiro,Engenho de Dentro,apartamento,aluguel,26.9,20.6,30.4,26,8.35,setembro/2026
Rio de Janeiro,Engenho Novo,apartamento,venda,3428.6,2854.1,4136.9,79,8.64,setembro/2026
Rio de Janeiro,Engenho Novo,apartamento,aluguel,24.7,19.6,30.7,56,8.64,setembro/2026
Rio de Janeiro,Estácio,apartamento,venda,5000.0,4166.7,5681.8,45,8.76,setembro/2026
Rio de Janeiro,Estácio,apartamento,aluguel,36.5,31.2,43.3,6,8.76,setembro/2026
Rio de Janeiro,Flamengo,apartamento,venda,11908.5,9436.3,15394.2,224,6.83,setembro/2026
Rio de Janeiro,Flamengo,apartamento,aluguel,67.8,51.3,89.0,90,6.83,setembro/2026
Rio de Janeiro,Freguesia (Ilha do Governador),apartamento,venda,4430.4,3866.7,5065.8,37,8.59,setembro/2026
Rio de Janeiro,Freguesia (Ilha do Governador),apartamento,aluguel,31.7,25.8,41.7,43,8.59,setembro/2026
Rio de Janeiro,Freguesia (Jacarepaguá),apartamento,venda,5447.2,4549.9,6923.1,271,6.5,setembro/2026
Rio de Janeiro,Freguesia (Jacarepaguá),apartamento,aluguel,29.5,24.7,37.8,43,6.5,setembro/2026
Rio de Janeiro,Gamboa,apartamento,venda,8643.3,5867.3,10271.1,36,,setembro/2026
Rio de Janeiro,Gardênia Azul,apartamento,venda,3636.4,2575.6,5093.6,37,,setembro/2026
Rio de Janeiro,Gávea,apartamento,venda,16439.9,12326.9,20154.0,116,6.06,setembro/2026
Rio de Janeiro,Gávea,apartamento,aluguel,83.0,77.8,106.1,17,6.06,setembro/2026
Rio de Janeiro,Glória,apartamento,venda,19252.6,10519.7,22658.7,64,5.58,setembro/2026
Rio de Janeiro,Glória,apartamento,aluguel,89.6,66.1,108.3,24,5.58,setembro/2026
Rio de Janeiro,Grajaú,apartamento,venda,5572.2,4574.4,6719.4,130,7.34,setembro/2026
Rio de Janeiro,Grajaú,apartamento,aluguel,34.1,25.2,39.5,32,7.34,setembro/2026
Rio de Janeiro,Guadalupe,apartamento,venda,2398.1,1879.7,3513.9,80,9.31,setembro/2026
Rio de Janeiro,Guadalupe,apartamento,aluguel,18.6,16.2,20.8,7,9.31,setembro/2026
Rio de Janeiro,Guaratiba,apartamento,venda,3104.2,2687.5,3795.5,49,6.88,setembro/2026
Rio de Janeiro,Guaratiba,apartamento,aluguel,17.8,14.7,19.7,18,6.88,setembro/2026
Rio de Janeiro,Higienópolis,apartamento,venda,3689.9,3102.8,4207.1,34,9.11,setembro/2026
Rio de Janeiro,Higienópolis,apartamento,aluguel,28.0,23.7,30.1,7,9.11,setembro/2026
Rio de Janeiro,Honório Gurgel,apartamento,venda,2744.9,2048.1,3168.3,51,,setembro/2026
Rio de Janeiro,Humaitá,apartamento,venda,13098.6,11327.7,15148.0,128,5.83,setembro/2026
Rio de Janeiro,Humaitá,apartamento,aluguel,63.6,55.1,75.0,21,5.83,setembro/2026
Rio de Janeiro,Ilha do Governador,apartamento,venda,4679.9,3840.3,5045.0,12,,setembro/2026
Rio de Janeiro,Inhaúma,apartamento,venda,3723.4,3115.3,5241.1,75,5.58,setembro/2026
Rio de Janeiro,Inhaúma,apartamento,aluguel,17.3,16.9,17.5,5,5.58,setembro/2026
Rio de Janeiro,Inhoaíba,apartamento,venda,2802.8,1975.8,3701.9,75,7.79,setembro/2026
Rio de Janeiro,Inhoaíba,apartamento,aluguel,18.2,16.7,22.4,7,7.79,setembro/2026
Rio de Janeiro,Ipanema,apartamento,venda,21909.7,18311.3,25254.5,178,5.54,setembro/2026
Rio de Janeiro,Ipanema,apartamento,aluguel,101.1,86.4,125.5,87,5.54,setembro/2026
Rio de Janeiro,Irajá,apartamento,venda,4000.0,3381.6,4972.2,34,7.2,setembro/2026
Rio de Janeiro,Irajá,apartamento,aluguel,24.0,20.0,37.5,77,7.2,setembro/2026
Rio de Janeiro,Itanhangá,apartamento,venda,4285.7,3522.4,5400.3,23,8.4,setembro/2026
Rio de Janeiro,Itanhangá,apartamento,aluguel,30.0,24.2,32.7,7,8.4,setembro/2026
Rio de Janeiro,Jacaré,apartamento,venda,2650.0,2386.4,4186.5,11,,setembro/2026
Rio de Janeiro,Jacarepaguá,apartamento,venda,8807.8,6617.6,11640.3,117,6.51,setembro/2026
Rio de Janeiro,Jacarepaguá,apartamento,aluguel,47.8,38.9,59.0,86,6.51,setembro/2026
Rio de Janeiro,Jardim América,apartamento,venda,2836.4,2304.2,3333.8,58,8.0,setembro/2026
