cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São José do Rio Preto,Alto Rio Preto,casa,venda,3166.7,2708.3,3411.8,5,,setembro/2026
São José do Rio Preto,Bela Vista,casa,venda,4020.8,3461.6,4855.1,8,,setembro/2026
São José do Rio Preto,Belvedere Terra Nova,casa,venda,4611.1,4157.9,5266.7,13,,setembro/2026
São José do Rio Preto,Boa Vista,casa,venda,2609.1,1947.2,3517.9,116,7.73,setembro/2026
São José do Rio Preto,Boa Vista,casa,aluguel,16.8,14.1,25.2,49,7.73,setembro/2026
São José do Rio Preto,Bom Jardim,casa,venda,2313.2,2059.4,4347.8,5,,setembro/2026
São José do Rio Preto,Bosque da Felicidade,casa,venda,2453.6,1955.5,3111.4,15,,setembro/2026
São José do Rio Preto,Buona Vita,casa,venda,6455.4,5964.8,7403.1,23,,setembro/2026
São José do Rio Preto,Cecap,casa,venda,1472.2,1369.4,1561.7,7,,setembro/2026
São José do Rio Preto,Centro,casa,venda,3676.5,2355.6,5262.0,31,6.01,setembro/2026
São José do Rio Preto,Centro,casa,aluguel,18.4,13.5,25.7,38,6.01,setembro/2026
São José do Rio Preto,Centro (Engenheiro Schmitt),casa,venda,4132.2,3375.0,4285.7,5,,setembro/2026
São José do Rio Preto,Cidade Nova,casa,venda,2866.3,2360.3,3674.5,8,,setembro/2026
São José do Rio Preto,Conjunto Habitacional,casa,venda,1500.0,1412.5,2849.7,11,,setembro/2026
São José do Rio Preto,Conjunto Habitacional Caic,casa,venda,2000.0,1875.0,2662.4,5,,setembro/2026
São José do Rio Preto,Conjunto Habitacional Costa do Sol,casa,venda,2013.5,1617.5,2756.4,14,,setembro/2026
São José do Rio Preto,Conjunto Habitacional Cristo Rei,casa,venda,2354.2,1725.0,2639.7,14,,setembro/2026
São José do Rio Preto,Conjunto Habitacional São Deocleciano,casa,venda,2216.0,1899.1,2659.9,32,,setembro/2026
São José do Rio Preto,Damha I,casa,venda,8637.2,6578.3,10010.5,20,,setembro/2026
São José do Rio Preto,Damha II,casa,venda,4752.1,4379.7,5915.2,11,,setembro/2026
São José do Rio Preto,Damha III,casa,venda,5768.1,4980.4,6897.7,14,,setembro/2026
São José do Rio Preto,Damha IV,casa,venda,6021.4,5371.8,9016.7,16,,setembro/2026
