cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São José,Areias,apartamento,venda,6879.3,5535.7,8181.8,145,6.54,setembro/2026
São José,Areias,apartamento,aluguel,37.5,31.9,43.7,78,6.54,setembro/2026
São José,Barreiros,apartamento,venda,8612.5,6885.2,10260.4,252,5.96,setembro/2026
São José,Barreiros,apartamento,aluguel,42.8,34.8,52.4,147,5.96,setembro/2026
São José,Bela Vista,apartamento,venda,7368.4,6320.4,8218.2,27,6.29,setembro/2026
São José,Bela Vista,apartamento,aluguel,38.6,34.6,44.1,17,6.29,setembro/2026
São José,Campinas,apartamento,venda,8898.1,7357.0,11449.5,362,5.68,setembro/2026
São José,Campinas,apartamento,aluguel,42.1,34.2,56.0,177,5.68,setembro/2026
São José,Centro,apartamento,venda,9613.9,8253.8,14012.7,41,5.11,setembro/2026
São José,Centro,apartamento,aluguel,40.9,34.1,52.3,12,5.11,setembro/2026
São José,Distrito Industrial,apartamento,venda,8930.7,8672.6,9377.5,6,,setembro/2026
São José,Fazenda Santo Antônio,apartamento,venda,7693.2,6324.8,8977.2,20,5.9,setembro/2026
São José,Fazenda Santo Antônio,apartamento,aluguel,37.8,33.5,56.3,18,5.9,setembro/2026
São José,Flor de Nápolis,apartamento,venda,6325.1,5828.1,6880.5,8,,setembro/2026
São José,Floresta,apartamento,venda,9159.3,8141.3,10104.4,14,,setembro/2026
São José,Forquilhas,apartamento,venda,6357.2,5328.4,7129.3,64,6.78,setembro/2026
São José,Forquilhas,apartamento,aluguel,35.9,30.9,43.5,48,6.78,setembro/2026
São José,Forquilhinhas,apartamento,venda,6224.0,5342.0,6694.9,44,7.0,setembro/2026
São José,Forquilhinhas,apartamento,aluguel,36.3,33.1,39.5,20,7.0,setembro/2026
São José,Ipiranga,apartamento,venda,6846.2,5555.6,8205.5,57,6.96,setembro/2026
São José,Ipiranga,apartamento,aluguel,39.7,34.1,49.0,57,6.96,setembro/2026
São José,Jardim Cidade de Florianópolis,apartamento,venda,7134.3,6069.1,8261.9,31,6.31,setembro/2026
São José,Jardim Cidade de Florianópolis,apartamento,aluguel,37.5,33.6,46.0,27,6.31,setembro/2026
São José,Kobrasol,apartamento,venda,9292.9,7164.2,11946.9,249,5.82,setembro/2026
São José,Kobrasol,apartamento,aluguel,45.1,36.7,58.1,150,5.82,setembro/2026
São José,Nossa Senhora do Rosário,apartamento,venda,8153.1,6582.3,9916.0,113,5.45,setembro/2026
São José,Nossa Senhora do Rosário,apartamento,aluguel,37.0,32.0,43.6,64,5.45,setembro/2026
São José,Picadas do Sul,apartamento,venda,6184.2,5445.5,6832.6,7,5.7,setembro/2026
São José,Picadas do Sul,apartamento,aluguel,29.4,23.2,32.7,16,5.7,setembro/2026
São José,Ponta de Baixo,apartamento,venda,5594.6,5102.5,7610.1,10,7.46,setembro/2026
São José,Ponta de Baixo,apartamento,aluguel,34.8,32.9,40.1,6,7.46,setembro/2026
São José,Potecas,apartamento,venda,5294.1,4776.3,6766.6,23,8.23,setembro/2026
São José,Potecas,apartamento,aluguel,36.3,30.3,48.4,15,8.23,setembro/2026
São José,Praia Comprida,apartamento,venda,8500.0,7020.2,11336.8,83,4.94,setembro/2026
São José,Praia Comprida,apartamento,aluguel,35.0,31.1,42.0,44,4.94,setembro/2026
São José,Real Parque,apartamento,venda,5052.1,4454.1,5566.7,20,8.08,setembro/2026
São José,Real Parque,apartamento,aluguel,34.0,30.5,39.4,19,8.08,setembro/2026
São José,Roçado,apartamento,venda,8125.0,6427.7,10251.4,63,6.29,setembro/2026
São José,Roçado,apartamento,aluguel,42.6,34.7,49.8,27,6.29,setembro/2026
São José,São Luiz,apartamento,aluguel,32.7,28.6,36.9,5,,setembro/2026
São José,Serraria,apartamento,venda,5563.4,5010.5,6961.2,98,7.51,setembro/2026
São José,Serraria,apartamento,aluguel,34.8,28.0,41.7,84,7.51,setembro/2026
São José,Sertão do Maruim,apartamento,venda,5928.7,5126.1,6780.1,50,7.0,setembro/2026
São José,Sertão do Maruim,apartamento,aluguel,34.6,29.7,40.6,31,7.0,setembro/2026
São José,Areias,casa,venda,5941.2,4515.4,7127.6,87,9.39,setembro/2026
São José,Areias,casa,aluguel,46.5,45.0,50.0,8,9.39,setembro/2026
São José,Barreiros,casa,venda,5474.9,4066.4,7381.0,149,6.51,setembro/2026
São José,Barreiros,casa,aluguel,29.7,24.0,37.2,27,6.51,setembro/2026
São José,Bela Vista,casa,venda,4873.3,3184.5,7218.2,32,10.56,setembro/2026
São José,Bela Vista,casa,aluguel,42.9,33.1,50.5,10,10.56,setembro/2026
São José,Bosque das Mansões,casa,venda,8333.3,6268.7,12913.9,25,,setembro/2026
São José,Campinas,casa,venda,7291.7,5066.7,8892.3,21,,setembro/2026
São José,Centro,casa,venda,5679.3,4561.5,7685.2,60,9.72,setembro/2026
São José,Centro,casa,aluguel,46.0,34.1,48.4,7,9.72,setembro/2026
São José,Fazenda Santo Antônio,casa,venda,4930.2,2472.0,5944.5,31,,setembro/2026
São José,Flor de Nápolis,casa,venda,3864.7,2663.3,5333.3,17,,setembro/2026
São José,Forquilhas,casa,venda,5476.7,3867.1,7111.5,494,8.46,setembro/2026
São José,Forquilhas,casa,aluguel,38.6,28.5,41.7,22,8.46,setembro/2026
São José,Forquilhas Leste,casa,venda,6576.1,3571.4,7166.7,9,,setembro/2026
