cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São Luís,Alto do Calhau,apartamento,venda,8095.2,6947.4,11525.6,7,8.03,setembro/2026
São Luís,Alto do Calhau,apartamento,aluguel,54.2,49.2,60.8,5,8.03,setembro/2026
São Luís,Angelim,apartamento,venda,5716.1,3877.5,6222.4,10,8.63,setembro/2026
São Luís,Angelim,apartamento,aluguel,41.1,37.5,45.5,7,8.63,setembro/2026
São Luís,Bequimão,apartamento,venda,5813.7,3272.7,6488.7,5,,setembro/2026
São Luís,Calhau,apartamento,venda,8509.6,7468.3,10153.8,34,8.25,setembro/2026
São Luís,Calhau,apartamento,aluguel,58.5,52.6,71.4,29,8.25,setembro/2026
São Luís,Cohab Anil IV,apartamento,venda,2368.4,2028.4,5234.0,7,,setembro/2026
São Luís,Cohafuma,apartamento,venda,5273.7,4749.0,6831.1,6,,setembro/2026
São Luís,Cohajap,apartamento,venda,5677.3,4923.9,6912.1,6,,setembro/2026
São Luís,Cohama,apartamento,venda,8636.4,7301.8,10014.2,15,6.09,setembro/2026
São Luís,Cohama,apartamento,aluguel,43.8,32.9,53.4,10,6.09,setembro/2026
São Luís,Jaracaty,apartamento,venda,8221.2,7686.2,9292.8,6,,setembro/2026
São Luís,Jardim Eldorado,apartamento,venda,7798.5,7383.1,8120.0,6,5.32,setembro/2026
São Luís,Jardim Eldorado,apartamento,aluguel,34.6,32.1,40.7,13,5.32,setembro/2026
São Luís,Jardim Renascença,apartamento,venda,6716.4,5353.0,9797.0,39,10.26,setembro/2026
São Luís,Jardim Renascença,apartamento,aluguel,57.4,44.9,68.6,74,10.26,setembro/2026
São Luís,Jardim São Francisco,apartamento,venda,8732.2,8501.0,9457.8,7,,setembro/2026
São Luís,Olho Dagua,apartamento,venda,8367.8,6973.7,9353.1,6,8.58,setembro/2026
São Luís,Olho Dagua,apartamento,aluguel,59.8,40.7,78.8,6,8.58,setembro/2026
São Luís,Parque Shalon,apartamento,aluguel,45.7,45.3,57.1,5,,setembro/2026
São Luís,Ponta Dareia,apartamento,venda,12393.2,10683.8,15328.5,53,7.04,setembro/2026
São Luís,Ponta Dareia,apartamento,aluguel,72.7,57.6,89.4,60,7.04,setembro/2026
São Luís,Ponta do Farol,apartamento,venda,11868.3,9771.4,13719.6,24,6.97,setembro/2026
São Luís,Ponta do Farol,apartamento,aluguel,68.9,61.7,89.9,23,6.97,setembro/2026
São Luís,Quitandinha,apartamento,aluguel,57.6,53.0,62.9,6,,setembro/2026
São Luís,Recanto dos Vinhais,apartamento,venda,6210.3,4072.6,8148.3,6,,setembro/2026
São Luís,Renascença,apartamento,venda,8369.7,6409.3,9949.3,34,7.23,setembro/2026
São Luís,Renascença,apartamento,aluguel,50.4,42.4,72.1,14,7.23,setembro/2026
São Luís,São Francisco,apartamento,venda,4756.1,3272.7,5056.2,13,,setembro/2026
São Luís,São Marcos,apartamento,venda,13860.3,12743.0,15598.9,16,,setembro/2026
São Luís,Turu,apartamento,venda,6231.1,4038.1,8280.9,34,7.41,setembro/2026
São Luís,Turu,apartamento,aluguel,38.5,30.6,54.5,37,7.41,setembro/2026
São Luís,Vila Vicente Fialho,apartamento,venda,8448.3,7683.8,8825.2,7,6.9,setembro/2026
São Luís,Vila Vicente Fialho,apartamento,aluguel,48.6,44.9,52.2,5,6.9,setembro/2026
São Luís,Vinhais,apartamento,venda,4833.3,4800.0,5813.7,5,,setembro/2026
São Luís,Alto do Calhau,casa,venda,11250.0,10654.1,12396.2,5,,setembro/2026
São Luís,Angelim,casa,venda,3000.0,2916.7,3545.5,5,,setembro/2026
São Luís,Aracagi,casa,venda,4400.0,3517.5,4533.5,7,,setembro/2026
São Luís,Calhau,casa,venda,4759.7,4011.5,9000.0,8,8.95,setembro/2026
São Luís,Calhau,casa,aluguel,35.5,23.3,38.8,6,8.95,setembro/2026
São Luís,Centro,casa,venda,1757.0,1244.2,2614.6,8,8.81,setembro/2026
São Luís,Centro,casa,aluguel,12.9,10.9,15.3,5,8.81,setembro/2026
São Luís,Chácara Brasil,casa,venda,3206.7,1808.0,3729.2,8,,setembro/2026
São Luís,Cidade Operária,casa,venda,2075.9,1216.7,3260.1,8,,setembro/2026
São Luís,Cohafuma,casa,venda,4166.7,3429.0,5203.7,7,,setembro/2026
São Luís,Cohajap,casa,venda,6298.2,3333.3,6781.2,5,,setembro/2026
São Luís,Cohama,casa,venda,5816.7,3791.7,7059.3,11,5.51,setembro/2026
São Luís,Cohama,casa,aluguel,26.7,24.3,43.3,5,5.51,setembro/2026
São Luís,Cohatrac,casa,venda,2500.0,2250.0,2750.0,5,,setembro/2026
