cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
São Paulo,Aclimação,casa,venda,7344.6,5900.0,9050.0,85,7.01,setembro/2026
São Paulo,Aclimação,casa,aluguel,42.9,30.4,46.9,17,7.01,setembro/2026
São Paulo,Água Branca,casa,venda,8899.1,7049.5,10375.0,6,,setembro/2026
São Paulo,Água Fria,casa,venda,5909.1,4555.8,7481.3,75,6.09,setembro/2026
São Paulo,Água Fria,casa,aluguel,30.0,18.7,33.3,9,6.09,setembro/2026
São Paulo,Água Funda,casa,venda,4780.0,3969.7,4956.6,7,,setembro/2026
São Paulo,Água Rasa,casa,venda,5324.9,4179.2,7154.1,26,,setembro/2026
São Paulo,Alto da Boa Vista,casa,venda,9335.7,8079.0,12605.6,45,6.02,setembro/2026
São Paulo,Alto da Boa Vista,casa,aluguel,46.8,45.0,50.8,6,6.02,setembro/2026
São Paulo,Alto da Lapa,casa,venda,8904.1,8046.0,10161.3,33,4.88,setembro/2026
São Paulo,Alto da Lapa,casa,aluguel,36.2,30.0,53.6,9,4.88,setembro/2026
São Paulo,Alto da Mooca,casa,venda,5536.7,4876.8,7692.3,53,6.2,setembro/2026
São Paulo,Alto da Mooca,casa,aluguel,28.6,20.0,30.6,7,6.2,setembro/2026
São Paulo,Alto da Riviera,casa,venda,3353.7,2693.3,3933.3,7,,setembro/2026
São Paulo,Alto de Pinheiros,casa,venda,13872.8,10790.2,18532.7,191,4.47,setembro/2026
São Paulo,Alto de Pinheiros,casa,aluguel,51.7,40.0,61.6,17,4.47,setembro/2026
São Paulo,Altos de Vila Prudente,casa,venda,3666.7,2657.5,3950.0,7,,setembro/2026
São Paulo,Americanópolis,casa,venda,4023.0,3412.5,5613.6,15,8.2,setembro/2026
São Paulo,Americanópolis,casa,aluguel,27.5,26.7,28.6,5,8.2,setembro/2026
São Paulo,Anhangüera,casa,venda,4480.0,4375.0,5164.3,5,,setembro/2026
São Paulo,Aricanduva,casa,venda,4490.4,2792.1,5472.8,18,,setembro/2026
São Paulo,Artur Alvim,casa,venda,4722.2,3846.2,6048.4,17,,setembro/2026
