cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Teresina,Acarape,casa,venda,2143.6,1908.2,3208.3,12,,setembro/2026
Teresina,Aeroporto,casa,venda,3719.0,2833.3,5000.0,21,,setembro/2026
Teresina,Aldebaran Leste,casa,venda,6194.7,6180.6,6666.7,5,,setembro/2026
Teresina,Angelim,casa,venda,2400.0,1833.3,3000.0,21,,setembro/2026
Teresina,Aroeiras,casa,venda,2701.6,1687.5,3850.8,6,,setembro/2026
Teresina,Bela Vista,casa,venda,2111.1,1652.2,2939.4,25,,setembro/2026
Teresina,Cabral,casa,venda,3452.9,2500.0,4836.8,9,,setembro/2026
Teresina,Campestre,casa,venda,3636.4,3095.2,4653.6,13,,setembro/2026
Teresina,Centro,casa,venda,3030.3,2160.5,4545.5,85,4.99,setembro/2026
Teresina,Centro,casa,aluguel,12.6,9.2,20.0,31,4.99,setembro/2026
Teresina,Centro Sul,casa,venda,3750.0,3244.9,5229.0,7,,setembro/2026
Teresina,Cidade Nova,casa,venda,1818.2,1647.1,2246.4,9,,setembro/2026
Teresina,Colorado,casa,venda,2031.2,1644.4,2928.6,7,,setembro/2026
Teresina,Cristo Rei,casa,venda,3996.8,2441.7,5541.7,22,,setembro/2026
Teresina,Esplanada,casa,venda,2426.6,1901.6,2984.3,18,,setembro/2026
Teresina,Fátima,casa,venda,5053.2,3398.4,7377.0,45,9.64,setembro/2026
Teresina,Fátima,casa,aluguel,40.6,27.1,57.7,12,9.64,setembro/2026
Teresina,Gurupi,casa,venda,5313.7,3601.9,6972.3,50,,setembro/2026
Teresina,Horto,casa,venda,4545.5,3824.2,6741.3,37,7.34,setembro/2026
Teresina,Horto,casa,aluguel,27.8,23.8,29.3,7,7.34,setembro/2026
Teresina,Ilhotas,casa,venda,2666.7,2272.7,4765.2,5,,setembro/2026
Teresina,Ininga,casa,venda,3968.4,3151.9,5358.3,120,7.62,setembro/2026
Teresina,Ininga,casa,aluguel,25.2,15.3,35.2,18,7.62,setembro/2026
