cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Uberaba,Abadia,casa,venda,2695.8,2361.5,3260.9,77,8.1,setembro/2026
Uberaba,Abadia,casa,aluguel,18.2,17.6,24.6,6,8.1,setembro/2026
Uberaba,Alfredo Freire I,casa,venda,1882.8,1828.6,2008.0,5,,setembro/2026
Uberaba,Alfredo Freire III,casa,venda,3200.0,2694.3,4144.3,7,,setembro/2026
Uberaba,Amoroso Costa,casa,venda,2662.2,2401.5,3657.1,20,,setembro/2026
Uberaba,Antônia Cândida I,casa,venda,2166.7,2035.9,2629.1,7,,setembro/2026
Uberaba,Ayat 2,casa,venda,8000.0,7352.9,8277.8,5,,setembro/2026
Uberaba,Beija-Flor,casa,venda,2485.3,2120.6,2884.5,22,,setembro/2026
Uberaba,Beija-Flor II,casa,venda,3589.7,2359.6,5582.5,57,11.4,setembro/2026
Uberaba,Beija-Flor II,casa,aluguel,34.1,23.7,36.1,7,11.4,setembro/2026
Uberaba,Boa Vista,casa,venda,2546.3,2026.1,3365.9,165,7.07,setembro/2026
Uberaba,Boa Vista,casa,aluguel,15.0,12.0,18.2,33,7.07,setembro/2026
Uberaba,Bom Retiro,casa,venda,2355.1,1712.0,3109.2,29,6.93,setembro/2026
Uberaba,Bom Retiro,casa,aluguel,13.6,11.0,16.6,7,6.93,setembro/2026
Uberaba,Cassio Rezende,casa,venda,2500.4,2270.1,2923.9,10,,setembro/2026
Uberaba,Centro,casa,venda,2792.6,2020.5,3605.1,66,8.08,setembro/2026
Uberaba,Centro,casa,aluguel,18.8,14.2,22.5,37,8.08,setembro/2026
Uberaba,Cidade Jardim,casa,venda,2787.7,2362.9,3207.8,24,10.03,setembro/2026
Uberaba,Cidade Jardim,casa,aluguel,23.3,21.0,25.2,7,10.03,setembro/2026
Uberaba,Cidade Nova,casa,venda,2792.6,2177.5,3278.1,48,,setembro/2026
Uberaba,Cidade Ozanan,casa,venda,1733.3,1666.7,1891.9,5,,setembro/2026
Uberaba,Club Residence Ayat,casa,venda,6417.1,6095.2,7325.0,9,,setembro/2026
Uberaba,Conjunto Alfredo Freire,casa,venda,1738.5,1679.5,1787.3,7,,setembro/2026
Uberaba,Conjunto Antônio Barbosa de Souza,casa,venda,2083.3,1783.0,2513.5,7,,setembro/2026
Uberaba,Conjunto Cássio Rezende,casa,venda,2044.4,1865.3,2605.1,27,8.63,setembro/2026
Uberaba,Conjunto Cássio Rezende,casa,aluguel,14.7,11.5,18.7,6,8.63,setembro/2026
Uberaba,Conjunto Chica Ferreira,casa,venda,2323.2,1428.2,2695.2,7,,setembro/2026
Uberaba,Conjunto Costa Telles I,casa,venda,2142.9,1891.3,2900.0,29,,setembro/2026
Uberaba,Conjunto Costa Telles II,casa,venda,2373.8,2144.6,2743.3,34,,setembro/2026
Uberaba,Conjunto Frei Eugênio,casa,venda,2616.3,2279.4,2974.3,23,,setembro/2026
Uberaba,Conjunto Guanabara,casa,venda,2639.8,2043.5,3142.3,15,,setembro/2026
Uberaba,Conjunto José Barbosa,casa,venda,2365.3,2171.2,2561.9,12,,setembro/2026
Uberaba,Conjunto José Vallim de Melo,casa,venda,1818.2,1525.2,2610.1,23,,setembro/2026
Uberaba,Conjunto Manoel Mendes,casa,venda,2862.6,2353.5,3737.2,48,6.29,setembro/2026
Uberaba,Conjunto Manoel Mendes,casa,aluguel,15.0,14.3,22.5,5,6.29,setembro/2026
Uberaba,Conjunto Margarida Rosa de Azevedo,casa,venda,3866.0,2329.5,4999.3,47,,setembro/2026
Uberaba,Conjunto Maringá I,casa,venda,1869.6,1833.3,1954.3,5,,setembro/2026
Uberaba,Conjunto Morada do Sol,casa,venda,2111.1,1800.0,2837.8,17,,setembro/2026
Uberaba,Conjunto Pontal,casa,venda,3157.9,2727.3,4285.7,13,,setembro/2026
Uberaba,Conjunto Uberaba,casa,venda,1816.2,1533.3,2129.7,34,,setembro/2026
Uberaba,Conjunto Umuarama,casa,venda,2705.5,2178.4,3164.6,7,,setembro/2026
Uberaba,Cyrela Landscape,casa,venda,8152.0,7243.5,9104.3,74,5.52,setembro/2026
Uberaba,Cyrela Landscape,casa,aluguel,37.5,34.6,42.1,7,5.52,setembro/2026
Uberaba,Cyrela Landscape II (Residencial Vitória),casa,venda,8500.0,7600.2,8666.0,7,,setembro/2026
Uberaba,Damha II,casa,venda,10217.4,6000.0,11399.0,5,,setembro/2026
Uberaba,Damha III Residencial,casa,venda,10895.3,10215.3,11293.0,8,,setembro/2026
Uberaba,Damha Residencial Uberaba I,casa,venda,8734.1,6893.1,9705.9,36,,setembro/2026
Uberaba,Damha Residencial Uberaba II,casa,venda,8948.5,8287.0,10582.5,46,,setembro/2026
Uberaba,Damha Residencial Uberaba III,casa,venda,10275.9,9643.1,11117.1,28,,setembro/2026
Uberaba,Dom Eduardo,casa,venda,4109.6,3320.0,4452.1,13,,setembro/2026
Uberaba,Elza Amui,casa,venda,1801.1,1439.4,2567.2,6,,setembro/2026
Uberaba,"Espanha, Residencial Jardim",casa,venda,3936.9,3551.6,4840.9,8,,setembro/2026
Uberaba,Estados Unidos,casa,venda,2907.0,2235.3,3602.8,125,7.22,setembro/2026
Uberaba,Estados Unidos,casa,aluguel,17.5,13.0,20.7,33,7.22,setembro/2026
Uberaba,Estados Unidos - Residencial,casa,venda,2679.8,2144.4,3603.2,8,,setembro/2026
Uberaba,Estância dos Ipês,casa,venda,8222.2,7211.1,9033.0,83,4.86,setembro/2026
Uberaba,Estância dos Ipês,casa,aluguel,33.3,29.8,46.6,11,4.86,setembro/2026
Uberaba,Fabrício,casa,venda,2691.7,1939.0,3544.9,151,7.45,setembro/2026
Uberaba,Fabrício,casa,aluguel,16.7,13.8,21.7,22,7.45,setembro/2026
Uberaba,Flamboyant Residencial Park,casa,venda,7561.8,6935.8,8910.0,44,5.55,setembro/2026
Uberaba,Flamboyant Residencial Park,casa,aluguel,35.0,31.4,42.1,8,5.55,setembro/2026
Uberaba,Grande Horizonte,casa,venda,2636.0,2221.7,3466.9,48,,setembro/2026
