mes,cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
2026-08,Corupá,Ano Bom,casa,venda,3254.0,1963.9,5213.3,12,,agosto/2026
2026-08,Corupá,Bomplandt,casa,venda,5333.3,3836.4,5922.2,9,,agosto/2026
2026-08,Corupá,Centro,casa,venda,3325.0,2482.1,4513.3,17,,agosto/2026
2026-08,Corupá,João Tozini,casa,venda,3571.4,3461.5,5357.1,13,,agosto/2026
2026-08,Corupá,Seminário,casa,venda,4398.0,3362.2,5744.0,12,,agosto/2026
2026-08,Corupá,XV de Novembro,casa,venda,4291.0,3631.8,4824.1,6,,agosto/2026
2026-08,Corupá,Centro,terreno,venda,700.8,354.8,907.8,8,,agosto/2026
2026-08,Corupá,Seminário,terreno,venda,491.4,413.6,547.6,6,,agosto/2026
2026-08,Guaramirim,Amizade,casa,venda,4306.1,2690.3,5685.1,50,,agosto/2026
2026-08,Guaramirim,Avaí,casa,venda,4599.4,2669.9,5685.2,54,,agosto/2026
2026-08,Guaramirim,Bananal do Sul,casa,venda,4666.7,3656.2,5737.5,61,,agosto/2026
2026-08,Guaramirim,Barro Branco,casa,venda,4985.7,3976.2,5585.7,15,,agosto/2026
2026-08,Guaramirim,Beira Rio,casa,venda,4921.9,4310.5,5342.5,49,,agosto/2026
2026-08,Guaramirim,Caixa d'Água,casa,venda,4861.1,3357.1,5372.3,27,,agosto/2026
2026-08,Guaramirim,Centro,casa,venda,4052.9,2979.7,6112.9,37,,agosto/2026
2026-08,Guaramirim,Corticeira,casa,venda,4822.3,3216.5,5252.9,22,,agosto/2026
2026-08,Guaramirim,Escolinha,casa,venda,4984.4,3921.1,5631.3,54,,agosto/2026
2026-08,Guaramirim,Figueirinha,casa,venda,4500.0,3900.0,5000.0,5,,agosto/2026
2026-08,Guaramirim,Guamiranga,casa,venda,4907.7,3873.2,5430.4,13,,agosto/2026
2026-08,Guaramirim,Ilha da Figueira,casa,venda,5176.5,3744.6,6158.7,31,,agosto/2026
2026-08,Guaramirim,Imigrantes,casa,venda,3709.7,2266.7,5000.0,13,,agosto/2026
2026-08,Guaramirim,Nova Esperança,casa,venda,3662.7,2664.6,5999.4,14,,agosto/2026
2026-08,Guaramirim,Rio Branco,casa,venda,5258.6,4822.6,5857.1,29,,agosto/2026
2026-08,Guaramirim,Vila Amizade,casa,venda,2777.8,2401.8,3928.2,7,,agosto/2026
2026-08,Guaramirim,Amizade,apartamento,venda,5454.5,5000.0,6220.5,19,8.21,agosto/2026
2026-08,Guaramirim,Amizade,apartamento,aluguel,37.3,34.0,57.6,11,8.21,agosto/2026
2026-08,Guaramirim,Avaí,apartamento,venda,4769.2,4511.3,5387.3,11,,agosto/2026
2026-08,Guaramirim,Bananal do Sul,apartamento,venda,5036.2,4695.6,5334.8,8,,agosto/2026
2026-08,Guaramirim,Beira Rio,apartamento,venda,5285.7,4720.8,5586.6,10,,agosto/2026
2026-08,Guaramirim,Centro,apartamento,venda,5718.6,4859.7,6466.3,54,6.59,agosto/2026
2026-08,Guaramirim,Centro,apartamento,aluguel,31.4,27.0,33.7,12,6.59,agosto/2026
2026-08,Guaramirim,Corticeira,apartamento,venda,3522.7,3144.1,4083.3,15,,agosto/2026
2026-08,Guaramirim,Escolinha,apartamento,venda,4040.5,3376.9,5714.3,5,,agosto/2026
2026-08,Guaramirim,Ilha da Figueira,apartamento,venda,5316.7,4823.1,5916.7,12,,agosto/2026
2026-08,Guaramirim,Amizade,terreno,venda,711.1,394.3,807.2,20,,agosto/2026
2026-08,Guaramirim,Avaí,terreno,venda,696.3,551.7,872.1,33,,agosto/2026
2026-08,Guaramirim,Bananal do Sul,terreno,venda,1098.5,691.9,1099.9,53,,agosto/2026
2026-08,Guaramirim,Barro Branco,terreno,venda,151.3,67.2,482.7,8,,agosto/2026
2026-08,Guaramirim,Beira Rio,terreno,venda,467.9,250.0,652.8,9,,agosto/2026
2026-08,Guaramirim,Caixa d'Água,terreno,venda,398.2,142.3,553.3,14,,agosto/2026
2026-08,Guaramirim,Centro,terreno,venda,922.5,665.4,1505.4,29,,agosto/2026
2026-08,Guaramirim,Corticeira,terreno,venda,390.9,254.7,519.1,23,,agosto/2026
2026-08,Guaramirim,Escolinha,terreno,venda,275.7,197.5,374.1,6,,agosto/2026
2026-08,Guaramirim,Estrada Bananal do Sul,terreno,venda,1101.5,1100.4,1102.6,28,,agosto/2026
2026-08,Guaramirim,Guamiranga,terreno,venda,261.6,161.7,459.2,9,,agosto/2026
2026-08,Guaramirim,Ilha da Figueira,terreno,venda,494.4,378.3,570.0,11,,agosto/2026
2026-08,Guaramirim,Imigrantes,terreno,venda,594.7,492.4,989.4,10,,agosto/2026
2026-08,Guaramirim,Jacu-Açu,terreno,venda,388.2,230.0,413.5,7,,agosto/2026
2026-08,Guaramirim,Rio Branco,terreno,venda,468.3,328.7,641.4,37,,agosto/2026
2026-08,Guaramirim,Zona Rural,terreno,venda,306.9,167.0,405.5,6,,agosto/2026
2026-08,Guaramirim,Centro,sala,aluguel,60.7,44.8,67.2,8,,agosto/2026
2026-08,Guaramirim,Bruderthal,galpao,aluguel,22.1,14.2,28.2,6,,agosto/2026
2026-08,Guaramirim,Ilha da Figueira,galpao,aluguel,17.2,15.0,19.8,10,,agosto/2026
2026-08,Guaramirim,Imigrantes,galpao,aluguel,18.8,17.3,19.1,6,,agosto/2026
2026-08,Guaramirim,Nova Esperança,galpao,aluguel,20.0,17.1,20.0,5,,agosto/2026
2026-08,Jaraguá do Sul,Água Verde,apartamento,venda,6017.2,5187.5,6658.3,16,5.94,agosto/2026
2026-08,Jaraguá do Sul,Água Verde,apartamento,aluguel,29.8,25.0,34.7,13,5.94,agosto/2026
2026-08,Jaraguá do Sul,Amizade,apartamento,venda,5323.7,4461.5,6381.6,77,6.97,agosto/2026
2026-08,Jaraguá do Sul,Amizade,apartamento,aluguel,30.9,27.6,33.9,29,6.97,agosto/2026
2026-08,Jaraguá do Sul,Baependi,apartamento,venda,6058.4,5047.2,7791.4,110,7.61,agosto/2026
2026-08,Jaraguá do Sul,Baependi,apartamento,aluguel,38.4,33.3,45.8,38,7.61,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,apartamento,venda,5311.9,4564.3,6386.6,57,7.09,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Cerro,apartamento,aluguel,31.4,28.0,40.9,25,7.09,agosto/2026
2026-08,Jaraguá do Sul,Barra do Rio Molha,apartamento,venda,5967.1,5365.6,8269.7,29,,agosto/2026
2026-08,Jaraguá do Sul,Centenário,apartamento,venda,6403.1,5421.4,7280.6,15,5.81,agosto/2026
