cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Itajaí,Bairro Fazenda,apartamento,venda,13186.8,11250.0,16087.0,113,5.64,setembro/2026
Itajaí,Bairro Fazenda,apartamento,aluguel,62.0,55.0,68.2,19,5.64,setembro/2026
Itajaí,Balneário Santa Clara,apartamento,venda,18125.0,14427.0,18254.0,9,5.76,setembro/2026
Itajaí,Balneário Santa Clara,apartamento,aluguel,87.0,68.2,103.9,77,5.76,setembro/2026
Itajaí,Barra do Rio,apartamento,venda,9322.0,7658.1,9666.7,9,6.53,setembro/2026
Itajaí,Barra do Rio,apartamento,aluguel,50.7,43.7,53.8,11,6.53,setembro/2026
Itajaí,Cabeçudas,apartamento,venda,18544.3,14258.7,21697.4,34,4.57,setembro/2026
Itajaí,Cabeçudas,apartamento,aluguel,70.6,62.1,90.2,34,4.57,setembro/2026
Itajaí,Carvalho,apartamento,venda,7959.2,6984.9,9111.1,11,6.54,setembro/2026
Itajaí,Carvalho,apartamento,aluguel,43.4,35.3,50.1,10,6.54,setembro/2026
Itajaí,Centro,apartamento,venda,12144.4,9126.4,15681.0,292,5.04,setembro/2026
Itajaí,Centro,apartamento,aluguel,51.0,41.9,63.4,147,5.04,setembro/2026
Itajaí,Cidade Nova,apartamento,venda,7535.2,6980.7,8203.7,20,7.56,setembro/2026
Itajaí,Cidade Nova,apartamento,aluguel,47.5,42.6,52.6,18,7.56,setembro/2026
Itajaí,Cordeiros,apartamento,venda,7791.7,6725.8,9059.6,79,7.04,setembro/2026
Itajaí,Cordeiros,apartamento,aluguel,45.7,41.5,52.3,29,7.04,setembro/2026
Itajaí,Costa Cavalcanti,apartamento,venda,8583.0,7062.1,8751.3,5,,setembro/2026
Itajaí,Dom Bosco,apartamento,venda,9500.0,8533.3,10915.5,53,5.81,setembro/2026
Itajaí,Dom Bosco,apartamento,aluguel,46.0,40.7,51.9,30,5.81,setembro/2026
Itajaí,Espinheiros,apartamento,venda,6666.7,5555.6,7428.0,33,7.51,setembro/2026
Itajaí,Espinheiros,apartamento,aluguel,41.7,33.6,49.8,38,7.51,setembro/2026
Itajaí,Fazenda,apartamento,venda,14125.0,11904.8,17153.3,245,4.99,setembro/2026
Itajaí,Fazenda,apartamento,aluguel,58.7,48.0,72.8,127,4.99,setembro/2026
Itajaí,Fazendinha,apartamento,venda,12753.3,11358.6,16226.3,50,6.56,setembro/2026
Itajaí,Fazendinha,apartamento,aluguel,69.7,51.1,95.6,32,6.56,setembro/2026
Itajaí,Fiúza Lima,apartamento,venda,10562.5,9800.0,11766.1,13,,setembro/2026
Itajaí,Itaipava,apartamento,venda,6808.5,6156.6,7329.9,23,6.7,setembro/2026
Itajaí,Itaipava,apartamento,aluguel,38.0,35.0,48.3,23,6.7,setembro/2026
Itajaí,Murta,apartamento,venda,7031.9,5911.1,7691.8,24,7.8,setembro/2026
Itajaí,Murta,apartamento,aluguel,45.7,42.9,68.7,9,7.8,setembro/2026
Itajaí,Praia Brava,apartamento,venda,19333.3,15878.9,23647.3,221,4.91,setembro/2026
Itajaí,Praia Brava,apartamento,aluguel,79.1,62.8,100.0,257,4.91,setembro/2026
Itajaí,Ressacada,apartamento,venda,9888.9,8229.2,11717.5,59,5.86,setembro/2026
Itajaí,Ressacada,apartamento,aluguel,48.3,44.6,54.4,36,5.86,setembro/2026
Itajaí,Santa Clara,apartamento,venda,19784.8,14971.5,23423.1,17,,setembro/2026
Itajaí,Santa Regina,apartamento,venda,5691.6,5261.2,6735.2,12,10.54,setembro/2026
Itajaí,Santa Regina,apartamento,aluguel,50.0,44.4,75.0,13,10.54,setembro/2026
Itajaí,São João,apartamento,venda,9080.4,7432.1,10924.9,79,6.36,setembro/2026
Itajaí,São João,apartamento,aluguel,48.1,39.4,59.7,66,6.36,setembro/2026
Itajaí,São Judas,apartamento,venda,9693.1,8389.8,10845.3,80,6.36,setembro/2026
Itajaí,São Judas,apartamento,aluguel,51.4,45.8,58.3,41,6.36,setembro/2026
Itajaí,São Vicente,apartamento,venda,8210.0,6736.1,9516.1,69,7.31,setembro/2026
Itajaí,São Vicente,apartamento,aluguel,50.0,42.0,59.5,60,7.31,setembro/2026
Itajaí,Vila Operária,apartamento,venda,10735.0,9241.5,11701.0,106,5.81,setembro/2026
Itajaí,Vila Operária,apartamento,aluguel,52.0,45.2,59.3,36,5.81,setembro/2026
Itajaí,Bairro Fazenda,casa,venda,10526.3,7562.5,13890.3,24,4.56,setembro/2026
Itajaí,Bairro Fazenda,casa,aluguel,40.0,32.0,56.0,7,4.56,setembro/2026
Itajaí,Barra do Rio,casa,venda,5276.5,3973.5,7723.2,38,,setembro/2026
Itajaí,Cabeçudas,casa,venda,14003.7,12000.0,17076.5,26,4.57,setembro/2026
Itajaí,Cabeçudas,casa,aluguel,53.3,43.6,66.6,11,4.57,setembro/2026
Itajaí,Centro,casa,venda,8500.0,6286.1,10870.7,95,5.41,setembro/2026
Itajaí,Centro,casa,aluguel,38.3,28.4,50.3,28,5.41,setembro/2026
Itajaí,Cidade Nova,casa,venda,4710.1,3317.9,6787.5,62,,setembro/2026
Itajaí,Cordeiros,casa,venda,5479.5,3400.0,7416.7,137,8.96,setembro/2026
Itajaí,Cordeiros,casa,aluguel,40.9,27.5,45.2,12,8.96,setembro/2026
Itajaí,Dom Bosco,casa,venda,7835.8,6082.6,9739.2,115,6.23,setembro/2026
Itajaí,Dom Bosco,casa,aluguel,40.7,31.5,46.8,12,6.23,setembro/2026
Itajaí,Espinheiros,casa,venda,4790.2,3762.5,6274.0,82,6.51,setembro/2026
Itajaí,Espinheiros,casa,aluguel,26.0,21.1,30.2,7,6.51,setembro/2026
Itajaí,Fazenda,casa,venda,7938.7,5766.8,11188.5,82,5.44,setembro/2026
Itajaí,Fazenda,casa,aluguel,36.0,32.0,39.9,16,5.44,setembro/2026
Itajaí,Fazendinha,casa,venda,9166.7,5911.3,10909.1,33,5.11,setembro/2026
Itajaí,Fazendinha,casa,aluguel,39.0,36.6,44.4,8,5.11,setembro/2026
Itajaí,Itaipava,casa,venda,5654.8,2969.9,6742.4,23,,setembro/2026
Itajaí,Murta,casa,venda,5723.7,3915.8,7098.2,52,,setembro/2026
Itajaí,Paciência,casa,venda,4120.6,2217.2,5596.1,6,,setembro/2026
Itajaí,Praia Brava,casa,venda,17754.9,12142.9,21500.0,25,,setembro/2026
Itajaí,Ressacada,casa,venda,8910.9,7276.7,9849.0,55,,setembro/2026
Itajaí,Rio do Meio,casa,venda,7483.3,6226.9,14057.3,19,,setembro/2026
Itajaí,Santa Regina,casa,venda,5000.0,3688.5,7761.7,64,9.0,setembro/2026
Itajaí,Santa Regina,casa,aluguel,37.5,31.5,53.7,7,9.0,setembro/2026
Itajaí,São João,casa,venda,7723.6,4978.5,8925.1,151,5.9,setembro/2026
Itajaí,São João,casa,aluguel,38.0,30.2,46.0,14,5.9,setembro/2026
Itajaí,São Judas,casa,venda,7222.2,5000.0,9693.9,89,8.51,setembro/2026
Itajaí,São Judas,casa,aluguel,51.2,37.0,60.3,16,8.51,setembro/2026
Itajaí,São Vicente,casa,venda,5300.0,3455.2,7448.8,187,8.33,setembro/2026
Itajaí,São Vicente,casa,aluguel,36.8,29.8,42.6,26,8.33,setembro/2026
Itajaí,Vila Operária,casa,venda,8000.0,6511.6,8677.7,17,,setembro/2026
Itajaí,Bairro Fazenda,terreno,venda,1750.4,1260.4,3939.0,8,,setembro/2026
Itajaí,Cabeçudas,terreno,venda,2979.4,2241.3,3406.6,8,,setembro/2026
Itajaí,Centro,terreno,venda,6127.4,4405.0,10148.2,12,,setembro/2026
Itajaí,Cidade Nova,terreno,venda,1596.4,500.0,1846.7,9,,setembro/2026
Itajaí,Cordeiros,terreno,venda,1837.7,1624.0,2040.5,14,,setembro/2026
Itajaí,Dom Bosco,terreno,venda,3064.4,2587.0,4682.5,6,,setembro/2026
Itajaí,Espinheiros,terreno,venda,1330.0,822.3,1594.6,19,,setembro/2026
Itajaí,Fazenda,terreno,venda,3250.0,1689.8,3614.1,7,,setembro/2026
Itajaí,Fazendinha,terreno,venda,2348.4,1618.3,3457.6,12,,setembro/2026
Itajaí,Itaipava,terreno,venda,701.8,399.8,1469.2,21,,setembro/2026
Itajaí,Limoeiro,terreno,venda,645.1,520.0,914.5,15,,setembro/2026
Itajaí,Paciência,terreno,venda,445.8,416.7,500.0,5,,setembro/2026
Itajaí,Praia Brava,terreno,venda,7063.9,4580.3,12035.4,7,,setembro/2026
