cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Itapoá,Balneario Cambiju,casa,venda,6301.4,5405.9,6897.8,15,,setembro/2026
Itapoá,Balneario Santa Clara,casa,venda,4902.0,2388.9,7580.0,5,,setembro/2026
Itapoá,Bamerindus,casa,venda,4892.1,4159.6,6395.7,19,,setembro/2026
Itapoá,Barra do Sai,casa,venda,5722.4,4619.5,7043.5,183,6.98,setembro/2026
Itapoá,Barra do Sai,casa,aluguel,33.3,29.2,34.1,7,6.98,setembro/2026
Itapoá,Brandalize,casa,venda,4276.3,3048.2,5843.4,19,,setembro/2026
Itapoá,Brasília,casa,venda,5557.7,3888.9,6800.0,29,,setembro/2026
Itapoá,Cambiju,casa,venda,5228.9,4126.7,6398.5,53,,setembro/2026
Itapoá,Centro,casa,venda,5895.7,5085.2,6529.5,48,4.09,setembro/2026
Itapoá,Centro,casa,aluguel,20.1,16.6,24.3,5,4.09,setembro/2026
Itapoá,Continental,casa,venda,5606.1,4187.2,7089.9,43,,setembro/2026
Itapoá,Imperador,casa,venda,2708.3,2510.2,3439.5,5,,setembro/2026
Itapoá,Itapema do Norte,casa,venda,5909.1,4363.6,6909.5,97,4.85,setembro/2026
Itapoá,Itapema do Norte,casa,aluguel,23.9,10.9,30.9,10,4.85,setembro/2026
Itapoá,Itapema do Sai,casa,venda,4103.3,3152.8,5980.4,11,,setembro/2026
Itapoá,Jardim da Barra,casa,venda,4773.5,3358.4,6066.5,14,,setembro/2026
Itapoá,Jardim Perola do Atlântico,casa,venda,4484.4,3841.7,5901.5,14,,setembro/2026
Itapoá,Mariluz,casa,venda,4407.1,3025.0,4993.2,16,,setembro/2026
Itapoá,Paese,casa,venda,5404.3,4513.7,6734.2,22,,setembro/2026
Itapoá,Pontal,casa,venda,5000.0,4752.7,6003.5,7,,setembro/2026
Itapoá,Pontal do Norte,casa,venda,5645.7,3909.1,6502.2,31,,setembro/2026
Itapoá,Praia das Palmeiras,casa,venda,3822.4,2759.0,5275.3,8,,setembro/2026
Itapoá,Princesa do Mar,casa,venda,5359.6,3389.8,5700.0,25,,setembro/2026
Itapoá,Rainha,casa,venda,5833.3,4693.9,7284.8,13,,setembro/2026
Itapoá,Rainha do Mar,casa,venda,6144.3,4857.1,7462.7,33,,setembro/2026
Itapoá,Rio Gracioso,casa,venda,2291.7,2142.9,3047.1,5,,setembro/2026
Itapoá,Rosa dos Ventos,casa,venda,5341.1,3933.3,6266.1,8,,setembro/2026
Itapoá,Sai Mirim,casa,venda,5270.3,4151.0,6649.7,19,,setembro/2026
Itapoá,Samambaial,casa,venda,4830.9,3738.3,5237.0,15,,setembro/2026
Itapoá,São José,casa,venda,5525.0,4748.7,6096.9,42,4.82,setembro/2026
Itapoá,São José,casa,aluguel,22.2,21.1,25.6,5,4.82,setembro/2026
Itapoá,Uirapuru,casa,venda,5718.8,4650.0,6141.2,7,,setembro/2026
Itapoá,Volta Ao Mundo,casa,venda,3600.2,2776.4,4612.4,14,,setembro/2026
