cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Belo Horizonte,Aarão Reis,casa,venda,2222.2,1577.4,2957.3,7,,setembro/2026
Belo Horizonte,Acaiaca,casa,venda,2237.6,1729.7,2945.5,18,,setembro/2026
Belo Horizonte,Alípio de Melo,casa,venda,4641.0,3605.2,5850.6,122,7.32,setembro/2026
Belo Horizonte,Alípio de Melo,casa,aluguel,28.3,20.0,33.3,11,7.32,setembro/2026
Belo Horizonte,Alto Barroca,casa,venda,4333.3,3500.0,5128.2,29,,setembro/2026
Belo Horizonte,Alto Caiçaras,casa,venda,3895.0,2834.1,4625.3,32,,setembro/2026
Belo Horizonte,Alto dos Pinheiros,casa,venda,4200.0,2903.2,6221.2,17,,setembro/2026
Belo Horizonte,Alto Vera Cruz,casa,venda,1326.7,1014.0,2183.9,7,,setembro/2026
Belo Horizonte,Álvaro Camargos,casa,venda,4345.1,3814.2,5029.9,12,,setembro/2026
Belo Horizonte,Anchieta,casa,venda,6606.6,5759.8,7777.0,23,5.99,setembro/2026
Belo Horizonte,Anchieta,casa,aluguel,33.0,29.5,35.5,7,5.99,setembro/2026
Belo Horizonte,Aparecida,casa,venda,2887.8,2431.5,3783.9,15,,setembro/2026
Belo Horizonte,Aparecida Sétima Seção,casa,venda,2450.0,1527.8,3483.6,5,,setembro/2026
Belo Horizonte,Araguaia,casa,venda,2777.3,1801.1,3934.8,30,,setembro/2026
Belo Horizonte,Átila de Paiva,casa,venda,3651.7,2941.5,5074.6,12,,setembro/2026
Belo Horizonte,Bandeirantes,casa,venda,7160.6,5752.0,9397.4,81,5.66,setembro/2026
Belo Horizonte,Bandeirantes,casa,aluguel,33.8,30.5,37.4,6,5.66,setembro/2026
Belo Horizonte,Bandeirantes (Pampulha),casa,venda,6573.7,5187.7,8925.9,126,5.49,setembro/2026
Belo Horizonte,Bandeirantes (Pampulha),casa,aluguel,30.1,26.3,40.4,12,5.49,setembro/2026
Belo Horizonte,Barreiro,casa,venda,5033.6,3683.6,6190.5,93,5.94,setembro/2026
Belo Horizonte,Barreiro,casa,aluguel,24.9,19.8,31.2,15,5.94,setembro/2026
Belo Horizonte,Barro Preto,casa,venda,6560.9,4466.9,8883.3,16,5.89,setembro/2026
Belo Horizonte,Barro Preto,casa,aluguel,32.2,25.0,38.7,14,5.89,setembro/2026
Belo Horizonte,Barroca,casa,venda,4518.7,3364.6,5595.2,36,7.78,setembro/2026
Belo Horizonte,Barroca,casa,aluguel,29.3,22.4,34.0,14,7.78,setembro/2026
Belo Horizonte,Belmonte,casa,venda,2952.6,2300.0,4872.4,6,,setembro/2026
Belo Horizonte,Belvedere,casa,venda,10000.0,7904.6,11200.1,55,6.59,setembro/2026
Belo Horizonte,Belvedere,casa,aluguel,54.9,45.5,62.0,33,6.59,setembro/2026
Belo Horizonte,Betânia,casa,venda,3992.9,3179.0,4935.0,86,8.81,setembro/2026
Belo Horizonte,Betânia,casa,aluguel,29.3,25.3,36.0,13,8.81,setembro/2026
Belo Horizonte,Boa Viagem,casa,venda,8962.3,8286.4,9746.9,7,,setembro/2026
Belo Horizonte,Boa Vista,casa,venda,3291.0,2231.4,4607.6,50,8.46,setembro/2026
Belo Horizonte,Boa Vista,casa,aluguel,23.2,19.5,33.4,8,8.46,setembro/2026
Belo Horizonte,Bom Jesus,casa,venda,3071.8,2435.1,3654.4,6,,setembro/2026
Belo Horizonte,Bonfim,casa,venda,2750.0,2161.4,3525.6,37,,setembro/2026
Belo Horizonte,Bonsucesso,casa,venda,4020.4,1409.0,5577.2,12,,setembro/2026
Belo Horizonte,Brasil Industrial,casa,venda,3899.1,2835.1,4400.0,13,,setembro/2026
Belo Horizonte,Brasil Industrial (Barreiro),casa,venda,3413.9,2060.0,5586.9,8,,setembro/2026
Belo Horizonte,Braúnas,casa,venda,6196.8,4582.3,8077.9,28,,setembro/2026
Belo Horizonte,Buritis,casa,venda,9452.1,7146.6,11618.8,87,4.58,setembro/2026
Belo Horizonte,Buritis,casa,aluguel,36.1,30.0,59.1,10,4.58,setembro/2026
Belo Horizonte,Cachoeirinha,casa,venda,3638.6,2917.6,5217.7,28,,setembro/2026
Belo Horizonte,Caiçara,casa,venda,4564.2,3442.3,5634.9,71,,setembro/2026
Belo Horizonte,Caiçara-Adelaide,casa,venda,4418.6,3066.7,5303.2,37,,setembro/2026
Belo Horizonte,Caiçaras,casa,venda,4352.2,2943.0,6806.1,64,,setembro/2026
Belo Horizonte,Calafate,casa,venda,5728.3,3730.4,7359.5,34,,setembro/2026
Belo Horizonte,Califórnia,casa,venda,3074.8,1966.3,4147.4,38,,setembro/2026
Belo Horizonte,Camargos,casa,venda,4366.2,3242.2,5158.7,59,,setembro/2026
