cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Campo Grande,Água Limpa Park,casa,venda,4523.8,4189.2,6084.1,11,,setembro/2026
Campo Grande,Alves Pereira,casa,venda,3500.0,2333.3,3564.3,5,,setembro/2026
Campo Grande,Amambaí,casa,venda,3448.5,2160.7,4350.6,16,,setembro/2026
Campo Grande,Arnaldo Estevão Figueiredo,casa,venda,3200.0,3007.9,3624.8,5,,setembro/2026
Campo Grande,Bairro Seminário,casa,venda,2500.0,2109.7,4995.2,7,,setembro/2026
Campo Grande,Bom Retiro,casa,venda,2800.0,2650.0,5092.6,5,,setembro/2026
Campo Grande,Cabreúva,casa,venda,3744.3,3116.6,4971.0,10,,setembro/2026
Campo Grande,Caiçara,casa,venda,3628.8,2689.0,4796.9,10,,setembro/2026
Campo Grande,Carandá Bosque,casa,venda,6349.2,4975.1,7072.5,27,,setembro/2026
Campo Grande,Centro,casa,venda,3663.0,2813.1,5276.7,8,7.34,setembro/2026
Campo Grande,Centro,casa,aluguel,22.4,20.8,26.1,7,7.34,setembro/2026
Campo Grande,Chácara Cachoeira,casa,venda,7887.3,5297.3,9134.6,17,7.01,setembro/2026
Campo Grande,Chácara Cachoeira,casa,aluguel,46.1,32.4,48.0,5,7.01,setembro/2026
Campo Grande,Cidade Jardim,casa,venda,6598.4,6026.3,7232.1,8,,setembro/2026
Campo Grande,Conjunto Aero Rancho,casa,venda,2195.7,2000.0,3716.6,13,,setembro/2026
Campo Grande,Conjunto Residencial Estrela do Sul,casa,venda,2250.0,2172.2,2577.0,7,,setembro/2026
Campo Grande,Conjunto Residencial Octavio Pécora,casa,venda,2000.0,1325.0,4005.2,6,,setembro/2026
Campo Grande,Conjunto Residencial Recanto dos Rouxinóis,casa,venda,2277.8,2118.2,4524.6,7,,setembro/2026
Campo Grande,Conjunto União II,casa,venda,2600.3,1980.0,2946.4,5,,setembro/2026
Campo Grande,Coophasul,casa,venda,3216.4,2600.0,4058.0,9,,setembro/2026
Campo Grande,Coophatrabalho,casa,venda,2333.3,1693.2,3677.2,11,,setembro/2026
Campo Grande,Coronel Antonino,casa,venda,4634.0,3711.3,5473.7,13,,setembro/2026
Campo Grande,Guanandi,casa,venda,2670.6,2072.7,4591.8,25,,setembro/2026
Campo Grande,Guanandi II,casa,venda,3304.3,2290.0,4469.4,12,,setembro/2026
Campo Grande,Itanhangá Park,casa,venda,7660.3,6348.1,10283.4,7,,setembro/2026
Campo Grande,Jardim Aero Rancho,casa,venda,4294.3,2971.2,5168.0,16,,setembro/2026
Campo Grande,Jardim Aeroporto,casa,venda,3031.9,2366.7,3796.3,10,,setembro/2026
Campo Grande,Jardim Alto São Francisco,casa,venda,3727.3,3557.8,4748.4,7,,setembro/2026
Campo Grande,Jardim Anache,casa,venda,4142.9,2604.2,4486.4,13,,setembro/2026
Campo Grande,Jardim Autonomista,casa,venda,5705.8,3979.7,7027.8,12,,setembro/2026
Campo Grande,Jardim Auxiliadora,casa,venda,4650.0,3277.8,5289.4,8,,setembro/2026
Campo Grande,Jardim Batistão,casa,venda,3928.6,2419.4,4594.6,5,,setembro/2026
Campo Grande,Jardim Bela Vista,casa,venda,5877.0,4641.8,7500.1,6,,setembro/2026
Campo Grande,Jardim Campo Alto,casa,venda,2611.1,2315.8,2678.6,5,,setembro/2026
Campo Grande,Jardim Centenário,casa,venda,3422.1,2780.1,4355.1,9,,setembro/2026
Campo Grande,Jardim Colibrí,casa,venda,2692.9,2466.4,3152.4,8,,setembro/2026
Campo Grande,Jardim Colúmbia,casa,venda,4335.2,2361.5,4717.7,18,,setembro/2026
Campo Grande,Jardim das Cerejeiras,casa,venda,4181.3,2694.9,4764.2,6,,setembro/2026
Campo Grande,Jardim das Nações,casa,venda,4400.9,3430.8,5837.6,14,,setembro/2026
Campo Grande,Jardim Imá,casa,venda,3641.5,2730.5,4777.8,6,,setembro/2026
