cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Cuiabá,Alphaville II,casa,venda,11625.3,10448.1,12552.7,6,,setembro/2026
Cuiabá,Altos do Coxipó,casa,venda,2881.4,2307.0,3501.5,8,,setembro/2026
Cuiabá,Araés,casa,venda,2673.5,2198.9,3050.9,8,,setembro/2026
Cuiabá,Boa Esperança,casa,venda,3034.3,2372.1,3716.7,46,6.53,setembro/2026
Cuiabá,Boa Esperança,casa,aluguel,16.5,15.7,19.5,11,6.53,setembro/2026
Cuiabá,Centro Norte,casa,venda,3478.1,2109.4,4369.0,8,8.28,setembro/2026
Cuiabá,Centro Norte,casa,aluguel,24.0,21.4,32.2,5,8.28,setembro/2026
Cuiabá,Centro Sul,casa,venda,3333.3,2866.2,3764.0,9,,setembro/2026
Cuiabá,Cidade Alta,casa,venda,3474.1,2809.9,4015.6,12,10.36,setembro/2026
Cuiabá,Cidade Alta,casa,aluguel,30.0,22.2,39.9,7,10.36,setembro/2026
Cuiabá,Coophema,casa,venda,5011.5,4029.0,5719.1,10,,setembro/2026
Cuiabá,Cpa II,casa,venda,2283.9,2004.0,3042.3,8,,setembro/2026
Cuiabá,Cpa IV,casa,venda,2272.7,2000.0,3076.9,5,,setembro/2026
Cuiabá,Despraiado,casa,venda,5777.8,4480.8,6553.9,11,,setembro/2026
Cuiabá,Distrito Industrial,casa,venda,4269.7,3866.7,5221.2,13,,setembro/2026
Cuiabá,Dom Aquino,casa,venda,2931.0,2566.0,4578.2,11,,setembro/2026
Cuiabá,Goiabeiras,casa,venda,3821.1,2571.8,4166.7,9,,setembro/2026
Cuiabá,Jardim,casa,venda,4749.8,3683.3,6567.7,23,9.42,setembro/2026
Cuiabá,Jardim,casa,aluguel,37.3,26.1,55.6,8,9.42,setembro/2026
Cuiabá,Jardim Califórnia,casa,venda,3548.6,2676.3,4500.0,11,,setembro/2026
Cuiabá,Jardim das Américas,casa,venda,5435.3,4927.7,6394.1,10,6.98,setembro/2026
