cidade,bairro,tipo,modo,mediana_rs_m2,p25,p75,n_anuncios,yield_anual_pct,coleta
Belém,Batista Campos,apartamento,venda,10439.6,6493.5,13013.7,105,8.28,setembro/2026
Belém,Batista Campos,apartamento,aluguel,72.0,59.3,86.8,27,8.28,setembro/2026
Belém,Campina,apartamento,venda,5517.2,4831.0,6466.0,11,4.89,setembro/2026
Belém,Campina,apartamento,aluguel,22.5,14.7,36.6,15,4.89,setembro/2026
Belém,Coqueiro,apartamento,venda,5873.0,5106.4,6326.5,17,7.38,setembro/2026
Belém,Coqueiro,apartamento,aluguel,36.1,31.0,38.9,8,7.38,setembro/2026
Belém,Cremação,apartamento,venda,7450.0,5074.5,10334.4,32,10.24,setembro/2026
Belém,Cremação,apartamento,aluguel,63.6,55.6,76.1,9,10.24,setembro/2026
Belém,Fátima,apartamento,venda,10357.1,8536.7,12115.4,8,9.0,setembro/2026
Belém,Fátima,apartamento,aluguel,77.7,65.2,91.7,12,9.0,setembro/2026
Belém,Guamá,apartamento,venda,7386.4,5542.4,9570.8,7,,setembro/2026
Belém,Jurunas,apartamento,venda,5993.1,4960.9,11188.8,26,9.95,setembro/2026
Belém,Jurunas,apartamento,aluguel,49.7,30.7,54.2,12,9.95,setembro/2026
Belém,Mangueirão,apartamento,venda,5750.0,5079.4,6790.1,13,,setembro/2026
Belém,Marambaia,apartamento,venda,7947.0,5747.7,8474.4,10,5.29,setembro/2026
Belém,Marambaia,apartamento,aluguel,35.0,25.3,47.3,10,5.29,setembro/2026
Belém,Marco,apartamento,venda,8309.5,6250.0,9734.2,64,8.3,setembro/2026
Belém,Marco,apartamento,aluguel,57.5,41.5,78.8,35,8.3,setembro/2026
Belém,Nazaré,apartamento,venda,10317.5,6493.5,12271.0,89,8.3,setembro/2026
Belém,Nazaré,apartamento,aluguel,71.4,48.1,93.8,21,8.3,setembro/2026
Belém,Parque Verde,apartamento,venda,7386.4,6500.0,8010.3,17,7.44,setembro/2026
Belém,Parque Verde,apartamento,aluguel,45.8,37.5,55.6,14,7.44,setembro/2026
Belém,Pedreira,apartamento,venda,8846.2,7307.7,10122.0,49,8.1,setembro/2026
Belém,Pedreira,apartamento,aluguel,59.7,49.7,72.3,35,8.1,setembro/2026
Belém,Reduto,apartamento,venda,8177.6,6222.2,12126.4,21,9.33,setembro/2026
Belém,Reduto,apartamento,aluguel,63.6,43.0,88.0,11,9.33,setembro/2026
Belém,Sacramenta,apartamento,venda,8804.3,7428.6,9375.0,5,,setembro/2026
Belém,São Brás,apartamento,venda,7846.5,6226.0,10982.9,28,6.88,setembro/2026
